experiment,trajectory,windows,rel_l2_raw,tke_raw,mvpe_raw
control_22k,10125_0.h5,29,0.04007447138428688,0.4327632188796997,0.027939943596720695
control_22k,11400_15.h5,42,0.08078278601169586,0.45966657996177673,0.07279437780380249
control_22k,13950_5.h5,42,0.04972229525446892,0.5286771059036255,0.033634867519140244
control_22k,20325_20.h5,42,0.10154503583908081,0.4598295986652374,0.0934295505285263
control_22k,20325_5.h5,42,0.04947124794125557,0.5467226505279541,0.031608711928129196
control_22k,22875_15.h5,42,0.10483652353286743,0.5274786949157715,0.07774274796247482
control_22k,25425_15.h5,42,0.1281704306602478,0.5625250339508057,0.09505239874124527
control_22k,26700_0.h5,42,0.06689391285181046,0.6712580919265747,0.03713138774037361
control_22k,3750_0.h5,42,0.047960203140974045,0.36540424823760986,0.047068435698747635
control_22k,3750_20.h5,42,0.10759703069925308,0.5611054301261902,0.1110830157995224
control_22k,8850_20.h5,42,0.10816808044910431,0.5310091972351074,0.1043502613902092
control_22k,8850_5.h5,42,0.04700212553143501,0.47599074244499207,0.03217163309454918
