horizon,base_frame_rel_l2,final_frame_rel_l2,correction_gain_rel_pct,base_frame_rmse,final_frame_rmse,correction_gain_rmse_pct,base_tke_contrib_rel_l2,final_tke_contrib_rel_l2,base_mvpe_probe_rel_l2,final_mvpe_probe_rel_l2,delta_rms,residual_target_rms,delta_to_target_rms_ratio,delta_target_cosine,alpha_star,help_fraction,base_sse,final_sse,sse_gain_pct,oracle_alpha_sse_gain_pct
1,0.08859069929022075,0.04118430927087505,53.511700888649315,0.010920588660757848,0.005652462419306998,48.24031382466943,0.7402176599143335,0.6575076076111367,0.13627647992323444,0.0622726419392712,0.01086576122042248,0.013068582622215023,0.8314414450693363,0.8418942430837039,1.0125718991714394,1.0,343.4775970244497,100.06304230841612,70.86766555511528,70.87859165374819
2,0.08106912858548432,0.04964536732557469,38.761686240125876,0.00987440496856481,0.006635674701792599,32.79924488698525,0.7015809554973446,0.6706100577966112,0.11723457292489775,0.07357222110815834,0.009129431916117208,0.011685370316898109,0.7812702266624119,0.7185698419754467,0.9197455853977421,0.9979633401221996,274.61635607156455,133.89983766972932,51.24112795567237,51.63426177966173
3,0.08194693882163046,0.057169913923362556,30.235449004628144,0.010137803669205206,0.007551861793334308,25.507910394102485,0.7204198981104428,0.670273680860797,0.11830559620176165,0.08587303519097039,0.008120822500942386,0.012066760162503281,0.6729911253376312,0.6407146433152107,0.9520402560936775,0.9979633401221996,292.83487785907704,172.92676051724885,40.94734828667929,41.05152541585366
4,0.08024431167753626,0.06393554702748633,20.323888770567446,0.009942778934068312,0.008375012707808986,15.76788779731864,0.728153633593721,0.6837632632376703,0.11323159231745797,0.09562807118883909,0.0063381411135299765,0.011942124621690602,0.5307381487225434,0.5070740218238161,0.9554128020461964,0.9938900203665988,286.816834255563,213.22993913811308,25.656407270670037,25.712406360857948
5,0.08116771198561044,0.06747912940391067,16.864566274981996,0.010159698546329806,0.008826786797334974,13.11959939477089,0.7471427447117202,0.7052397629512475,0.11480703490037163,0.10006475153541775,0.005973710473106824,0.012284967783155952,0.4862617939704685,0.4655674354228596,0.9574419401149463,0.9898167006109979,303.52151681307123,237.8622913264744,21.632478045052125,21.675303692621828
6,0.08347719879938895,0.07031427172817917,15.768290336194335,0.010495793922389828,0.009182109635458147,12.516292684913566,0.7710229142813674,0.7249311088238213,0.11781209426494123,0.10366032641535136,0.005944225281911201,0.01272260927732863,0.4672174671357438,0.4557271027147922,0.9754068175331868,0.9898167006109979,325.5320999132043,257.9662316344832,20.755516367429202,20.768719214881806
7,0.08697676743045611,0.07316436162274689,15.880569278173258,0.010894697394421435,0.009545248284146988,12.386292720396474,0.7859617809316993,0.7438788937225234,0.12285235329531638,0.10735710895955884,0.006037909891081264,0.013240012376183254,0.4560350639809472,0.45448417873655667,0.9965991973712458,0.9938900203665988,352.5479731660779,279.72796826689824,20.655346347680087,20.655586872184234
8,0.08800515433150397,0.07567775728931055,14.007585278196002,0.011089584384297144,0.009852807875969252,11.152595674182056,0.7955337422374551,0.7605946987406087,0.12422987987030308,0.11067316066394221,0.005980311733842893,0.013540985870968449,0.44164522368083536,0.43549762321118113,0.9860802287899372,0.9918533604887984,368.7584747260464,298.8343501012644,18.9620386831053,18.965817982258756
9,0.08894705818370198,0.07763878471124105,12.713487891984013,0.0112028575293193,0.010073213516275225,10.083534581133907,0.7974345528297617,0.7673625563805287,0.1252053730312815,0.11277315430841534,0.00590458150442081,0.013671208866476523,0.4318990048421807,0.41312636335312286,0.956534649817224,0.9816700610997964,375.88524387768615,311.8641007620368,17.03209800288994,17.06733920973762
10,0.09070440536310428,0.0795377763214846,12.311010691176337,0.01140452022701245,0.010289958589051984,9.77298137733619,0.8024667384605576,0.7781023202178178,0.12784294828680484,0.11444258683811966,0.00590963482073574,0.01388806102990449,0.4255190705175335,0.4056488814412504,0.9533036461747384,0.9857433808553971,387.9043704121046,324.22746664792555,16.415619060060994,16.455101501453697
11,0.09284220643110835,0.08120455368601792,12.534873084609329,0.011623268741994264,0.010473780337108673,9.889545104747938,0.8060752600239856,0.7814181850256062,0.13163676469807328,0.11645834641269634,0.005984302012086539,0.014102421396757147,0.42434570941573396,0.4071692972472867,0.9595225972896089,0.9898167006109979,399.9712871325346,333.7793158825221,16.549180748586863,16.5786836620849
12,0.09505521277163315,0.0826023621301077,13.100649904853706,0.011835566399377486,0.010608183479182597,10.370293053819937,0.8162564000183502,0.7800939312114066,0.13496393597081438,0.11826848761443201,0.006141671515301659,0.014285077755833608,0.42993616277612334,0.41530523231876015,0.9659695282134668,0.9959266802443992,410.3993435205393,339.70215839504584,17.22643718652909,17.247843599133905
13,0.09673311708218328,0.08389855804956077,13.268009364071693,0.01204456064707677,0.010738661239983337,10.842233646856819,0.8182589571238863,0.778670816496779,0.1370040860083969,0.118779920862413,0.006330233663134423,0.01452275155215905,0.43588390536043603,0.4275954178630592,0.9809846443159606,0.9898167006109979,424.16932253309915,346.64425924148816,18.276914235248938,18.283784137748373
14,0.09972648289807724,0.08534864743010659,14.417269164766527,0.012395083040952359,0.010889788973619339,12.144283845131568,0.826292892588573,0.7723265466109344,0.1427130733616183,0.12076815955756977,0.0068749647158645255,0.014981391695232812,0.45890027146491247,0.4602205558082652,1.0028770615871245,0.9898167006109979,451.38358144557645,355.7799896348349,21.180121683772075,21.18029599884681
15,0.10420323370889789,0.0867654692474395,16.73437938612589,0.012907492773083378,0.01101747926166784,14.642762499599263,0.8304457787784147,0.7640074661080385,0.14842294851810672,0.12176336291210836,0.007834710706797332,0.01563098689576078,0.5012294334993111,0.5087987945538306,1.015101589309459,0.9837067209775967,491.37633650976204,364.1988447081446,25.881891811265696,25.887621333943063
16,0.10476923775875646,0.08791851180875805,16.083658056956754,0.012885651391419655,0.011113311257060578,13.754369728947106,0.8079694980148313,0.7542652321920892,0.14499251207464403,0.1221857065874686,0.007850451336226602,0.01545990015971788,0.507794439493318,0.4815047289238201,0.9482276517329926,0.9938900203665988,480.6786246970837,369.56704231546325,23.115565509417287,23.1846803976001
17,0.10627388680148345,0.08970985685347846,15.586171209627553,0.01305676537608019,0.011321906719610851,13.287047798588572,0.8055289908944547,0.7528437585734562,0.14449954249642838,0.12359652110919142,0.007951520289314944,0.015578025152053643,0.5104318558804418,0.469374214049613,0.9195629321371239,0.9898167006109979,488.0521626020488,381.35106412230806,21.862642286198284,22.031215281469137
