horizon,pred_fluct_rms,target_fluct_rms,amplitude_ratio_global,amplitude_ratio_window_mean,amplitude_ratio_window_median,fluctuation_cosine_global,fluctuation_cosine_window_mean,fluctuation_cosine_window_median,fluctuation_scale_star,fluctuation_rel_l2
1,0.015027306397406749,0.014494911625252332,1.0367297701371918,1.001753436594409,0.9875129312341072,0.584184265348821,0.5470356628220678,0.5752440090265925,0.5634874990341167,0.9292610924939343
2,0.012266159808859083,0.01374576273562162,0.8923593433685421,0.9061448852022926,0.8957187969273253,0.60832338944071,0.5640681447561671,0.5888428909973281,0.6817022693395771,0.8429822518790422
3,0.01291697458402224,0.013140583732530542,0.9829833169469683,0.9828580284963018,0.9838683884723792,0.6193862628414674,0.564282841311372,0.6047796295387257,0.6301086215432516,0.865195628258419
4,0.011526330356158486,0.01273457398806824,0.905121001060434,0.9045828225585875,0.9079654020751526,0.6136286197450359,0.5590083581589442,0.6005759411437295,0.6779520296469892,0.8416814869026908
5,0.010777371775525499,0.012533962557870131,0.8598535160581234,0.8476741074730322,0.8564324752025488,0.5942664277554621,0.547002753582236,0.5838069008897124,0.6911251936025014,0.846985191320278
6,0.010692093437652083,0.012376626204976576,0.8638940257687391,0.8440093127490292,0.8561716410630315,0.5767427803853787,0.5276125571179264,0.560716238252658,0.6676082519174295,0.8659235549392091
7,0.010932045937129911,0.012350026788581646,0.8851839857738009,0.8676095065509952,0.8758608349935878,0.5548278219346305,0.49651438812946713,0.528735558073741,0.6267937862088828,0.8951543347344113
8,0.010824251597695308,0.012429658475007438,0.8708406284420325,0.8431327034008723,0.8543696533503068,0.5487485276528303,0.4807791872925214,0.513540840193255,0.6301365711824477,0.8958897112868599
9,0.010573502301632957,0.012489277897865662,0.8466063761332357,0.8266363764625345,0.8365523496971263,0.5465168616387952,0.4589054017221796,0.4802981383036687,0.6455383245929941,0.8895914998773264
10,0.01046691352460712,0.012504590459237545,0.8370456880396973,0.823652182865705,0.8327390151990602,0.5324681176388791,0.43762284863690076,0.46786130220290545,0.6361279022724343,0.8995805689816643
11,0.010348820208586563,0.012482195516870652,0.829086533262465,0.8301840827602126,0.8408407164890123,0.5141224590716074,0.426833409047878,0.44867410672399516,0.6201071160190356,0.913717935201596
12,0.010150674609468762,0.012388121404190202,0.819387724601679,0.8481901744631196,0.8468294951168446,0.49476032471828124,0.4181278838976054,0.44218250051421154,0.6038171061920585,0.927682688121168
13,0.010013871302539607,0.01231774787038282,0.8129628409278679,0.8508439644041094,0.8520649509802504,0.4728089755944153,0.4169021757237782,0.4515525190151417,0.5815874376924522,0.944540271612941
14,0.010297966144694769,0.012286307113397881,0.8381661022835026,0.8683113905269938,0.8625757650307269,0.43922798807179825,0.4097298473025918,0.4510574699333181,0.5240345402601752,0.9829701895099319
15,0.010983370250445679,0.012347974263056413,0.8894876209214775,0.9181363603236711,0.9070372628092963,0.40078369859722784,0.38898486035300517,0.4267426000761821,0.4505781633948208,1.0383660003263941
16,0.010435784868328088,0.012479133855143609,0.8362587491620425,0.9010256459880299,0.91899673727245,0.40993140552592255,0.37905817370984685,0.4196833530255821,0.4901968510783136,1.0068322833001393
17,0.010124935896739833,0.012711940301892396,0.7964902018327261,0.876839806404288,0.9002232574427165,0.40269672817330693,0.3628445125347831,0.3857469395833315,0.5055890546383379,0.9964480142060927
18,0.011304585286645675,0.013124607262465449,0.8613275095076726,0.9043082008821717,0.8859867871878687,0.3162089541104987,0.3225055438355405,0.3345853976463224,0.36711814103237106,1.0941508747785407
19,0.01532141374862827,0.013754799510091894,1.1138958250454287,1.1708575385357225,1.0898760205411826,0.19278948916003663,0.23635947367185187,0.24645366926832543,0.17307676788551923,1.3458339774569616
20,0.023987026385903852,0.014517892215597,1.652238908354333,1.6188377514755246,1.5725273948420915,0.12248064770145382,0.16611772023491378,0.16445373316662135,0.07413010738468041,1.823501803392131
