pred_horizon,diagonal_global_cosine,best_gt_horizon_global,best_offset_global,best_global_cosine,best_vs_diagonal_global_gain,diagonal_window_mean_cosine,best_gt_horizon_window_mean,best_offset_window_mean,best_window_mean_cosine,best_vs_diagonal_window_mean_gain
1,0.584184265348821,1,0,0.584184265348821,0.0,0.5470356628220678,1,0,0.5470356628220678,0.0
2,0.60832338944071,2,0,0.60832338944071,0.0,0.5640681447561671,2,0,0.5640681447561671,0.0
3,0.6193862628414674,2,-1,0.6332950253315193,0.013908762490051907,0.564282841311372,2,-1,0.5811382306271339,0.016855389315761915
4,0.6136286197450359,3,-1,0.6313306784935773,0.01770205874854136,0.5590083581589442,3,-1,0.579425355508469,0.020416997349524735
5,0.5942664277554621,4,-1,0.6080037327476997,0.013737304992237576,0.547002753582236,4,-1,0.5600727170999963,0.013069963517760241
6,0.5767427803853787,6,0,0.5767427803853787,0.0,0.5276125571179264,6,0,0.5276125571179264,0.0
7,0.5548278219346305,7,0,0.5548278219346305,0.0,0.49651438812946713,7,0,0.49651438812946713,0.0
8,0.5487485276528303,8,0,0.5487485276528303,0.0,0.4807791872925214,8,0,0.4807791872925214,0.0
9,0.5465168616387952,9,0,0.5465168616387952,0.0,0.4589054017221796,9,0,0.4589054017221796,0.0
10,0.5324681176388791,9,-1,0.5364630710046242,0.003994953365745069,0.43762284863690076,10,0,0.43762284863690076,0.0
11,0.5141224590716074,10,-1,0.516534313107046,0.002411854035438643,0.426833409047878,11,0,0.426833409047878,0.0
12,0.49476032471828124,12,0,0.49476032471828124,0.0,0.4181278838976054,12,0,0.4181278838976054,0.0
13,0.4728089755944153,13,0,0.4728089755944153,0.0,0.4169021757237782,13,0,0.4169021757237782,0.0
14,0.43922798807179825,14,0,0.43922798807179825,0.0,0.4097298473025918,14,0,0.4097298473025918,0.0
15,0.40078369859722784,15,0,0.40078369859722784,0.0,0.38898486035300517,15,0,0.38898486035300517,0.0
16,0.40993140552592255,16,0,0.40993140552592255,0.0,0.37905817370984685,16,0,0.37905817370984685,0.0
17,0.40269672817330693,17,0,0.40269672817330693,0.0,0.3628445125347831,17,0,0.3628445125347831,0.0
18,0.3162089541104987,18,0,0.3162089541104987,0.0,0.3225055438355405,18,0,0.3225055438355405,0.0
19,0.19278948916003663,18,-1,0.19889479825448736,0.006105309094450728,0.23635947367185187,19,0,0.23635947367185187,0.0
20,0.12248064770145382,19,-1,0.12939082875004787,0.006910181048594047,0.16611772023491378,20,0,0.16611772023491378,0.0
