pred_horizon,gt_f01,gt_f02,gt_f03,gt_f04,gt_f05,gt_f06,gt_f07,gt_f08,gt_f09,gt_f10,gt_f11,gt_f12,gt_f13,gt_f14,gt_f15,gt_f16,gt_f17,gt_f18,gt_f19,gt_f20,value
1,0.584184265348821,0.5215349003581153,0.37959879346560904,0.19687809025669212,0.03267875412067633,-0.09567413292231025,-0.18461783759427755,-0.23560973086504503,-0.25389059809380055,-0.24187108741150792,-0.2137232477281291,-0.17503576511011698,-0.13579950839629118,-0.10420322322738304,-0.07672980702065445,-0.05821314204993214,-0.04378208651634098,-0.03241482130661706,-0.02309296346828931,-0.01313765593513721,global_cosine
2,0.6008200590229961,0.60832338944071,0.5171928307300313,0.34782790063576485,0.16198499646592235,-0.006702741884409135,-0.13909591930883936,-0.23129394981128226,-0.2838882057565526,-0.29976771459040485,-0.2895267585097502,-0.2580481871240019,-0.21708472001923046,-0.17672888698337144,-0.14021217336337602,-0.1133430848050443,-0.09083206096959073,-0.07294704103178848,-0.05771510068081999,-0.04472178871107738,global_cosine
3,0.5434906239894832,0.6332950253315193,0.6193862628414674,0.49444437905612665,0.31122244444348385,0.11401095220333056,-0.060970878785280465,-0.19573687870010012,-0.28671018887332167,-0.3363697818373232,-0.3494519387571,-0.33338089715376906,-0.2960887221053053,-0.249155311484619,-0.20294887858846813,-0.1648880727819631,-0.13375160445486498,-0.11016160709072166,-0.09297001786239982,-0.08051218108396686,global_cosine
4,0.3712001578432963,0.5357017434459977,0.6313306784935773,0.6136286197450359,0.4935293586332872,0.30763580425770753,0.10418878446885507,-0.07662317512974216,-0.21898570810162007,-0.31854153255158835,-0.37664446258154927,-0.39751452954180105,-0.38027736878142815,-0.3377921076562741,-0.28351923754362396,-0.2309856734923712,-0.1874770856255076,-0.1520675251171393,-0.12456050990677496,-0.10525577695630763,global_cosine
5,0.1499734834542253,0.3375969773483775,0.5104051367170498,0.6080037327476997,0.5942664277554621,0.47731183400748756,0.2942558822174042,0.09651962886824925,-0.08217877780362937,-0.22657868480229865,-0.33066162595969856,-0.39500330116396803,-0.4136074029378053,-0.39168422653096285,-0.34331812426039204,-0.284487891106657,-0.22873660221725067,-0.18118092233101027,-0.14165325825876393,-0.11316874185261933,global_cosine
6,-0.09167508756891515,0.0710638947842553,0.27425407625729786,0.46464480339687103,0.5747832669546079,0.5767427803853787,0.4728390015807514,0.3055937035469099,0.11981781673210724,-0.05455848016604844,-0.19936085190680772,-0.3100125013966549,-0.3756358824220788,-0.39302487267278885,-0.3694888870970811,-0.31820493441998193,-0.25816673879136665,-0.20102757280471126,-0.15083165299136939,-0.11369356549655338,global_cosine
7,-0.24075330677053308,-0.13198162140586045,0.04433079500643468,0.2570214417174281,0.4414752221920584,0.55200663512268,0.5548278219346305,0.4621941676373451,0.3101157071553999,0.13532928429082192,-0.03112429554160368,-0.17515763767161244,-0.2820065977150373,-0.34344367428798867,-0.35765615692269,-0.3298680190290772,-0.27862402554144267,-0.21863171397945017,-0.16034397814050275,-0.11559628434450708,global_cosine
8,-0.315050095182249,-0.26064153782861077,-0.13248674508727173,0.05783289192860085,0.26538295158567954,0.44676408540991197,0.5480759017901945,0.5487485276528303,0.4611669899481667,0.31374934612492666,0.1448552503694494,-0.019843268047514982,-0.16051695311298234,-0.26330114281205863,-0.3199945507667476,-0.3266375358569951,-0.29573466203588805,-0.24223074680231363,-0.18066870337931862,-0.12904179272611205,global_cosine
9,-0.3538863699800167,-0.3491395050218095,-0.2728050049074636,-0.12557676122173977,0.0682186786119334,0.27842507570862274,0.45153725607856554,0.5461198510630417,0.5465168616387952,0.45937451678732694,0.3181672130602079,0.15469825223864528,-0.005048452471916812,-0.13955088101763302,-0.23654121821246116,-0.28373472852113923,-0.28540918445455715,-0.25196983376806387,-0.1982859949132024,-0.14532373461333378,global_cosine
10,-0.3593490346716273,-0.3971356766596211,-0.37186200933780766,-0.2754566125944502,-0.11905712124316908,0.0807342582931626,0.2847642238162068,0.4479397068861045,0.5364630710046242,0.5324681176388791,0.4514846090794484,0.31956689902587254,0.16532135836324358,0.01680490965326834,-0.10851979742647243,-0.19199203482189603,-0.23248516547888587,-0.23125136423050957,-0.19917892922517041,-0.1556102381363417,global_cosine
11,-0.3370375729043796,-0.4073935256155162,-0.4287338465479577,-0.38311948573861143,-0.273224603868082,-0.1070938248675817,0.09218351046359159,0.28655677625313625,0.438336842277905,0.516534313107046,0.5141224590716074,0.4413995609232308,0.3208604939310444,0.18045904429077247,0.04363950634631076,-0.0649839470256469,-0.14053204608007888,-0.1751021607515177,-0.1738206529523543,-0.1510723628430748,global_cosine
12,-0.30198353695935254,-0.3910422171197596,-0.4476412906366663,-0.44622082766981075,-0.38388494553727753,-0.26168673598473813,-0.09048916749262324,0.10145477820133221,0.28234969623481315,0.420718827058446,0.49434392115149006,0.49476032471828124,0.431713706231126,0.3243631603083247,0.1976607747351125,0.08095558426301298,-0.017886658184111278,-0.08304761147639281,-0.11433799894577144,-0.11894363547375589,global_cosine
13,-0.26313629313513986,-0.35622410502747387,-0.4313463626198867,-0.46180602326631737,-0.4421792291157592,-0.36648567099620327,-0.23636607462259113,-0.07042316757137346,0.10634882740984498,0.2713490841564064,0.3983976232255674,0.4666056410286612,0.4728089755944153,0.4197740768775823,0.32698295182731124,0.2236788241371865,0.11895698589851705,0.035177268623753324,-0.022970736069112107,-0.05582456700308587,global_cosine
