horizon,pred_fluct_rms,target_fluct_rms,amplitude_ratio_global,amplitude_ratio_window_mean,amplitude_ratio_window_median,fluctuation_cosine_global,fluctuation_cosine_window_mean,fluctuation_cosine_window_median,fluctuation_scale_star,fluctuation_rel_l2
1,0.015133997879848659,0.014494911625252332,1.04409038641415,1.092900899283285,1.0713791963113375,0.81841393363627,0.817211781321358,0.8486703395029994,0.7838535286653211,0.6173560516982213
2,0.013833439231296669,0.01374576273562162,1.006378438022056,1.0473518550316452,1.0302695885580089,0.7831530398746701,0.7709276744962077,0.8103999379061246,0.7781894069728732,0.6606821433284871
3,0.01260323886530938,0.013140583732530542,0.9591079910787433,0.9795284102646188,0.9765115422880206,0.7400193726347217,0.7171613589262563,0.762196374311393,0.7715704378632016,0.7073691757894348
4,0.011241703741500306,0.01273457398806824,0.8827703032730667,0.8904850337963993,0.9025276704712563,0.6917004923017239,0.661705014860376,0.7123514108730002,0.7835565942092648,0.7470328651499739
5,0.010575568083686466,0.012533962557870131,0.843752965980102,0.8466638615231561,0.8603220694146406,0.6654432702388323,0.6334553711707538,0.6824947503569695,0.7886707331047479,0.7674500646225744
6,0.010253742366535595,0.012376626204976576,0.828476371243451,0.8200784596059812,0.8278765138711326,0.6465260171895386,0.610331159562888,0.6515843551530637,0.7803795492913996,0.7842895131501997
7,0.010125489935408667,0.012350026788581646,0.8198759491574789,0.8022547654884767,0.8093831911365263,0.6272701939839559,0.5857255134942138,0.6271094789086256,0.7650793935699071,0.8022649691126329
8,0.010073121640226968,0.012429658475007438,0.8104101701974514,0.786417600146095,0.7853950003715615,0.6153464261522775,0.5650955777524778,0.6010781138385516,0.7593024480459717,0.8120336446616859
9,0.01000278823582808,0.012489277897865662,0.8009100540182147,0.7702970392225824,0.7696639239541995,0.6074985484046052,0.5468338190536906,0.5817450377163724,0.7585103287900407,0.8175289133663848
10,0.00987686933287297,0.012504590459237545,0.7898594812096873,0.7579688681881784,0.7521371459653242,0.5939068525054116,0.5292805331456535,0.5676113934795434,0.7519145704193234,0.8280531886559168
11,0.00966605284728122,0.012482195516870652,0.7743872329364501,0.747770215973137,0.7407141211634602,0.5807622472959105,0.521064203657728,0.5572894634114206,0.7499636132864429,0.8367830347109719
12,0.009392174617315471,0.012388121404190202,0.7581597169477716,0.7413365019462811,0.7311575241735836,0.5696189045509852,0.5216611519943684,0.5569619988403627,0.7513178184198163,0.843256747092708
13,0.00910155839149672,0.01231774787038282,0.7388979290102856,0.7360279702574279,0.7331095141003928,0.5602936272759366,0.5284403870547838,0.5673516983080866,0.7582828497386913,0.8473314273836351
14,0.00884614895855655,0.012286307113397881,0.720000637857251,0.7332086262447343,0.7334585543261078,0.548028471584877,0.5322849733109262,0.5822555309246048,0.7611499806664482,0.8539550458336534
15,0.008655058968455516,0.012347974263056413,0.7009294629282123,0.7318110766193779,0.7491055388693317,0.5395617163498518,0.5341461385710875,0.5937709990929866,0.7697803343802551,0.8572704963343718
16,0.00858303516903418,0.012479133855143609,0.6877909371487715,0.73557311551657,0.7595073554033042,0.5407470046681006,0.5366584502251367,0.6008925477444184,0.7862083890051828,0.8539406273400145
17,0.0086815793741546,0.012711940301892396,0.6829468332904457,0.7501672140530354,0.7690555134049332,0.5261699101323396,0.525783414974282,0.5946116911618373,0.7704405152554072,0.8647104887222362
18,0.009117092727588216,0.013124607262465449,0.6946564224943962,0.7791344100058242,0.7999209910177739,0.4856412891644472,0.5027388221500813,0.5751525126305305,0.699110054176984,0.8987991233972306
19,0.010424686396343724,0.013754799510091894,0.7578944635794319,0.8207785266606417,0.8150396028271817,0.39169132514120536,0.4628537547010277,0.5289011165154699,0.5168151292348816,0.9902942211338676
20,0.013679409799782931,0.014517892215597,0.9422448931730422,0.8997427940710606,0.8813356943567588,0.2763906769397567,0.41965343785255005,0.4856668974385601,0.2933321039385011,1.1691749360024897
