pred_horizon,diagonal_global_cosine,best_gt_horizon_global,best_offset_global,best_global_cosine,best_vs_diagonal_global_gain,diagonal_window_mean_cosine,best_gt_horizon_window_mean,best_offset_window_mean,best_window_mean_cosine,best_vs_diagonal_window_mean_gain
1,0.81841393363627,1,0,0.81841393363627,0.0,0.817211781321358,1,0,0.817211781321358,0.0
2,0.7831530398746701,2,0,0.7831530398746701,0.0,0.7709276744962077,1,-1,0.7720801442035584,0.0011524697073507228
3,0.7400193726347217,3,0,0.7400193726347217,0.0,0.7171613589262563,2,-1,0.7245711741878287,0.007409815261572361
4,0.6917004923017239,4,0,0.6917004923017239,0.0,0.661705014860376,4,0,0.661705014860376,0.0
5,0.6654432702388323,5,0,0.6654432702388323,0.0,0.6334553711707538,5,0,0.6334553711707538,0.0
6,0.6465260171895386,6,0,0.6465260171895386,0.0,0.610331159562888,6,0,0.610331159562888,0.0
7,0.6272701939839559,7,0,0.6272701939839559,0.0,0.5857255134942138,7,0,0.5857255134942138,0.0
8,0.6153464261522775,8,0,0.6153464261522775,0.0,0.5650955777524778,8,0,0.5650955777524778,0.0
9,0.6074985484046052,9,0,0.6074985484046052,0.0,0.5468338190536906,9,0,0.5468338190536906,0.0
10,0.5939068525054116,10,0,0.5939068525054116,0.0,0.5292805331456535,10,0,0.5292805331456535,0.0
11,0.5807622472959105,11,0,0.5807622472959105,0.0,0.521064203657728,11,0,0.521064203657728,0.0
12,0.5696189045509852,12,0,0.5696189045509852,0.0,0.5216611519943684,12,0,0.5216611519943684,0.0
13,0.5602936272759366,13,0,0.5602936272759366,0.0,0.5284403870547838,13,0,0.5284403870547838,0.0
14,0.548028471584877,14,0,0.548028471584877,0.0,0.5322849733109262,14,0,0.5322849733109262,0.0
15,0.5395617163498518,15,0,0.5395617163498518,0.0,0.5341461385710875,15,0,0.5341461385710875,0.0
16,0.5407470046681006,16,0,0.5407470046681006,0.0,0.5366584502251367,16,0,0.5366584502251367,0.0
17,0.5261699101323396,17,0,0.5261699101323396,0.0,0.525783414974282,17,0,0.525783414974282,0.0
18,0.4856412891644472,18,0,0.4856412891644472,0.0,0.5027388221500813,18,0,0.5027388221500813,0.0
19,0.39169132514120536,18,-1,0.39471916633322895,0.003027841192023595,0.4628537547010277,19,0,0.4628537547010277,0.0
20,0.2763906769397567,19,-1,0.28579303638714404,0.00940235944738732,0.41965343785255005,20,0,0.41965343785255005,0.0
