pred_horizon,gt_f01,gt_f02,gt_f03,gt_f04,gt_f05,gt_f06,gt_f07,gt_f08,gt_f09,gt_f10,gt_f11,gt_f12,gt_f13,gt_f14,gt_f15,gt_f16,gt_f17,gt_f18,gt_f19,gt_f20,value
1,0.81841393363627,0.7237086023765005,0.5247418292686503,0.26210310478795645,0.05258673309849871,-0.10819197221122087,-0.21880306314867906,-0.28510119669692446,-0.3102701143727375,-0.30048848666383493,-0.2702331646175345,-0.22881455332579353,-0.18931139203200661,-0.1570036320078562,-0.13038587314742076,-0.11199789222298655,-0.09556867134264946,-0.08117081023803772,-0.06849730550069824,-0.05420727394523255,global_cosine
2,0.77270625364976,0.7831530398746701,0.667742438226346,0.43516430264030526,0.20848354365870594,0.005298530021693808,-0.1542884591783322,-0.266953795340108,-0.3324527645068624,-0.3561031933973482,-0.3476861222345885,-0.3164571515732569,-0.27549106623791336,-0.23365340239001878,-0.19656831901327762,-0.16779975411636572,-0.14210999336031488,-0.12055311039301295,-0.1031945511126663,-0.08802029449000776,global_cosine
3,0.6164301201803712,0.7341031246440025,0.7400193726347217,0.5987207804864615,0.4018814033898508,0.1802570876105357,-0.025022431922546846,-0.18918467830681715,-0.3040549972444917,-0.3728018273964614,-0.40104910525992665,-0.39569553910117117,-0.364581752412631,-0.31825466579560097,-0.2702133968018,-0.22833478666513463,-0.19080712213929382,-0.1598290116115492,-0.13396818179812545,-0.11449767600704269,global_cosine
4,0.35545323315346256,0.545039801060811,0.6769930700176862,0.6917004923017239,0.588281552271,0.40005280000897264,0.17781708623964965,-0.028832584051589324,-0.19550572581113523,-0.3175973952915131,-0.3959938111362661,-0.4340982142479105,-0.43097361897662806,-0.39553425253833513,-0.34405671077035066,-0.29043412197431684,-0.24064373383100618,-0.1977241809977461,-0.15922007449502548,-0.13035231807401085,global_cosine
5,0.09030219154299814,0.2881750328034228,0.4919261883430867,0.6370607816362579,0.6654432702388323,0.5752536644850691,0.3958357552855362,0.18482052971269622,-0.015309541953142011,-0.18353204920826915,-0.31162966260675296,-0.39994812342378455,-0.44070923595581696,-0.436529458147942,-0.39930250293580416,-0.3441326083727839,-0.28487458806956806,-0.23045107654580407,-0.17938214464112262,-0.13999049777473188,global_cosine
6,-0.12953890050891015,0.03250837081533439,0.24709705693653372,0.46504157461372303,0.6094453420103879,0.6465260171895386,0.5628829222060734,0.39804203490754586,0.1994796355259449,0.0036298665648611113,-0.1643311163052094,-0.2982868104649267,-0.38691959325133274,-0.42587862143534,-0.41942195319162867,-0.3778414208738001,-0.3178445308245919,-0.2554176155001661,-0.19411721334368276,-0.1455463785447659,global_cosine
7,-0.28481774820589356,-0.17739548006915373,0.004385541910629199,0.23539899163777506,0.44522838172299445,0.591658661432923,0.6272701939839559,0.5538265895910758,0.4028238696152146,0.21272503340493332,0.023972617865246355,-0.144181428783257,-0.27544365967139717,-0.35994218646728743,-0.3947811283573364,-0.381582413069521,-0.33449876148229896,-0.27169129482357474,-0.20405082352395287,-0.14809840819875325,global_cosine
8,-0.3785768315005719,-0.3291299858251796,-0.1991036078942801,0.0036623355400802558,0.22753784310659889,0.4380076182307138,0.5775901443245176,0.6153464261522775,0.5507073614186856,0.406959071804162,0.22730786260522526,0.04308108438429647,-0.1199042608957466,-0.24484203614646421,-0.32348690962573123,-0.34889810023035484,-0.3289417673989274,-0.27861929983077516,-0.21288460944716972,-0.1523199646396844,global_cosine
9,-0.4181643858056603,-0.42309463746493914,-0.3487844829377023,-0.19276504455452334,0.008823752427320433,0.23535550459018673,0.43760714080462637,0.5709688313399325,0.6074985484046052,0.5431351630951975,0.40794105685697934,0.2352318487880931,0.05885722832704805,-0.09445365394853751,-0.21048378453654867,-0.2758447292342282,-0.29239631570514335,-0.2679464341316564,-0.21658674081964666,-0.15878978320356898,global_cosine
10,-0.41670094827431325,-0.4680768853945561,-0.4477032717971211,-0.34275573723734976,-0.18052736803130812,0.02796396209403423,0.24981020587469147,0.44201658585223097,0.5656202041202473,0.5939068525054116,0.5325187122087235,0.40328208169296625,0.2393974080619058,0.07495270296422475,-0.0672364592726448,-0.16682251969801543,-0.22176518563828182,-0.23134022830858547,-0.20583734209880455,-0.16155194111880755,global_cosine
11,-0.3899652618721105,-0.4752583509907673,-0.5022530391691579,-0.4476271645753558,-0.33070590049586973,-0.15666917523467297,0.05393246316267642,0.26710214506286695,0.44589601363928505,0.5557348934701759,0.5807622472959105,0.521637410656511,0.3994391390304354,0.24628153195784835,0.09290829854915122,-0.03191740186224032,-0.12119062622086274,-0.16663072679433544,-0.173991047229052,-0.15292459204513023,global_cosine
12,-0.35329618182979705,-0.4563561194944898,-0.5187363292519739,-0.5092052011677306,-0.4396624278730365,-0.30735564901767837,-0.12519390132136457,0.08047110518663586,0.2803284293345367,0.4442808264576117,0.5467824683981481,0.5696189045509852,0.5140602816280521,0.39867275930376317,0.25534024015681983,0.119302084291823,0.004616194954026192,-0.07267424629501085,-0.11425506354772295,-0.12315027985040138,global_cosine
13,-0.3172505844061827,-0.42236885301014493,-0.5033822645770374,-0.5272431753591895,-0.5022699094355779,-0.41609989660483554,-0.2727220568979115,-0.09257588613717965,0.10053983527985132,0.2865882630260525,0.44097936059478066,0.5372312587551045,0.5602936272759366,0.5071290063197902,0.4001942522899489,0.2737009844046727,0.1476149310056594,0.04713962770739808,-0.024758425180249087,-0.06513726171554879,global_cosine
14,-0.2852409058969956,-0.383421816432192,-0.46653978906623,-0.5072098499533547,-0.5162889056947361,-0.4744646912392188,-0.3759552017071393,-0.23196254299451488,-0.06377198082097375,0.11704312445987251,0.2913847259650998,0.43507818438625967,0.5279078470763306,0.548028471584877,0.5009971312122238,0.40917898780906625,0.2922531639234646,0.18224990449410447,0.08883588102597553,0.021557319276078072,global_cosine
15,-0.25548169292144124,-0.34537812784067906,-0.4215327042433913,-0.4641821377526226,-0.491572837086464,-0.4842935865316743,-0.4293976615789065,-0.32705089862145303,-0.19262904526191055,-0.03278713348855509,0.1363622768569747,0.2982212136582014,0.4354616847892667,0.5186276114622427,0.5395617163498518,0.5012054813467534,0.41563889090746364,0.3144521364045985,0.21258958993281754,0.127841514862774,global_cosine
16,-0.2225206718412355,-0.3025637504952201,-0.36839661726612,-0.4043544915258794,-0.4368607098508639,-0.4529115567075422,-0.4362337147351857,-0.3786610515749165,-0.2857968759541282,-0.15815575650672592,-0.009764069416088761,0.15047160420184102,0.3084720485131877,0.43655467823843386,0.5190329896607065,0.5407470046681006,0.5029371480324033,0.42765543016422586,0.3315132528690341,0.23890102970111743,global_cosine
17,-0.1818057212475445,-0.2494612751824128,-0.3040270184747196,-0.3324999191163156,-0.362171278671605,-0.3879335354762876,-0.39627666016146773,-0.3771635528061442,-0.32646885660594244,-0.23828246093972766,-0.12187081204644185,0.018638671711110482,0.17126122950758293,0.3163826466640694,0.43714914445487896,0.5098356699024512,0.5261699101323396,0.4920805827466058,0.42035132862042396,0.3359943498432306,global_cosine
18,-0.1198568305312834,-0.1751674848421654,-0.2225808233206053,-0.250304736046319,-0.27850849241393555,-0.3071487151617121,-0.326523392202811,-0.3317301908679598,-0.31400890636123613,-0.26416271134253444,-0.18587217416994212,-0.07791726694271996,0.04895669199631765,0.18441932170912545,0.31461324912390476,0.4156837186785922,0.4757855383172885,0.4856412891644472,0.450473798256242,0.3896368529050287,global_cosine
19,-0.04015327180874215,-0.08634705962520832,-0.13083934081428863,-0.16422535739773483,-0.1943557252544651,-0.22380850734408392,-0.24548735543996128,-0.25991157028966794,-0.2581478621351122,-0.2348761908064341,-0.1889880790762015,-0.11521657667186705,-0.024667065744025732,0.08130112721650436,0.19061152975425202,0.28545938012423266,0.35951658815687665,0.39471916633322895,0.39169132514120536,0.3613533959349691,global_cosine
20,0.017425637563291418,-0.015682790522813586,-0.051275783995149836,-0.08458470759409871,-0.11490334513817413,-0.1451522977438278,-0.16889610141618835,-0.18694082360801256,-0.19253914022452484,-0.1847517247293402,-0.16085368213996812,-0.11461347227991919,-0.055829058238355087,0.019353870972385733,0.10006100883094352,0.17281054931887488,0.23693431158181635,0.27467260332530585,0.28579303638714404,0.2763906769397567,global_cosine
