pred_horizon,gt_f01,gt_f02,gt_f03,gt_f04,gt_f05,gt_f06,gt_f07,gt_f08,gt_f09,gt_f10,gt_f11,gt_f12,gt_f13,gt_f14,gt_f15,gt_f16,gt_f17,gt_f18,gt_f19,gt_f20,value
1,0.817211781321358,0.7313497269877349,0.5581544390414752,0.3307294714040459,0.16326434847464316,0.028814272168584117,-0.07779770532213696,-0.16221317930772308,-0.22499274262582303,-0.26158460840403897,-0.2783679691632824,-0.2788123151724723,-0.270442875556947,-0.2569941996084422,-0.2393893750410963,-0.22013942154440033,-0.1986611619620349,-0.17957441285088352,-0.16597679080201777,-0.15160243110642632,window_mean_cosine
2,0.7720801442035584,0.7709276744962077,0.6646860652368686,0.460162285779115,0.2794017807196342,0.11669564209987988,-0.020134937566950412,-0.1327709911290809,-0.2225901844349177,-0.2849415297996462,-0.3213273146071738,-0.3330323154014351,-0.32790395035218806,-0.31260799123039196,-0.29266850024963686,-0.2707056625359922,-0.24416714453679023,-0.2179228729136661,-0.19815674287395244,-0.18173092777883165,window_mean_cosine
3,0.6391615728254876,0.7245711741878287,0.7171613589262563,0.5856226292083381,0.425785979774573,0.249792660642029,0.08329269233205686,-0.06005565129902789,-0.18027557886675288,-0.27480840332483336,-0.3415453158159352,-0.377226202952292,-0.38455781893462354,-0.3706057460348141,-0.34755938390574326,-0.3224927623402927,-0.2918401779017901,-0.2594716352451343,-0.2314011737551495,-0.2087335786301449,window_mean_cosine
4,0.41729859410469106,0.5603722998314864,0.6585700446451932,0.661705014860376,0.5729312707555987,0.4189038888585162,0.23881929494838802,0.06835261348075443,-0.0821098621085531,-0.21067159168628088,-0.31480021527708846,-0.3861905962214986,-0.41929748066204947,-0.41719938303510495,-0.39426510475684906,-0.3658639822365438,-0.3330979035988361,-0.2975070463470076,-0.2615276454976355,-0.2301438774476627,window_mean_cosine
5,0.2110026201480071,0.3557378223584997,0.5076228894533836,0.6168705950520411,0.6334553711707538,0.5548818013547091,0.404548822082435,0.22948975731839405,0.057658496167371315,-0.09804539589295783,-0.23328063964649254,-0.34106074087916183,-0.41010939661200163,-0.4366042490525738,-0.42695759916651294,-0.39942265651408027,-0.3637841398694282,-0.3261185993704707,-0.2867987358899629,-0.25028222245092036,window_mean_cosine
6,0.039805320290043585,0.1571885709034446,0.3132671699778284,0.4772612160272065,0.5855698487870713,0.610331159562888,0.5361608274724474,0.3949336221229628,0.2227452758869228,0.04856623236262779,-0.10993224840942223,-0.24590533558632063,-0.34923688965772526,-0.4132031102503391,-0.43243192105778094,-0.41878981266400267,-0.3848731752056935,-0.34457904512312215,-0.3036831829687044,-0.2666957107421189,window_mean_cosine
7,-0.10088479653605335,-0.013949927245659757,0.12177920121336817,0.295855942906899,0.45234249882702643,0.5628721089251167,0.5857255134942138,0.5177928466852784,0.38167550474706596,0.21065438684260196,0.03907653419158987,-0.1160601671972565,-0.24442496984064277,-0.3407477718135086,-0.3948054029071943,-0.4082303049367694,-0.38846331734397194,-0.3505431778723536,-0.30793501219617564,-0.27128827194712324,window_mean_cosine
8,-0.21983116411414014,-0.16427775242840187,-0.05499403541148355,0.10470643636282097,0.27300754498978724,0.4326164514881901,0.5397497269130863,0.5650955777524778,0.5019691227153534,0.3691261793907542,0.20600344846877167,0.041820730517666646,-0.10394137370645465,-0.2239562560586299,-0.30930314920221963,-0.3553168306717939,-0.36184494296691416,-0.3383958971963495,-0.2995768161925211,-0.26287650455718087,window_mean_cosine
9,-0.3153124201965474,-0.2952927981443614,-0.21613446916596132,-0.079028668283643,0.07908491245893991,0.25349003174441737,0.4118575308965695,0.5187682884851987,0.5468338190536906,0.4864392300596858,0.3645607201799643,0.21274674195396107,0.06093071043841122,-0.07351808522923133,-0.18077092906711456,-0.25490701858798565,-0.2922215897422613,-0.294092854397482,-0.2698693466271595,-0.23779803309020928,window_mean_cosine
10,-0.38347649149141727,-0.39942087127652603,-0.3563105283508752,-0.24674225720032128,-0.10835317217556237,0.058446244584910864,0.23547382467366584,0.39301096843644834,0.5012985764447813,0.5292805331456535,0.4790004680444599,0.3695781868399433,0.23234999557886168,0.09504218518804666,-0.024310335992854478,-0.11704993448639502,-0.18074394768063348,-0.21103469495100227,-0.2101328257613471,-0.19106354262040937,window_mean_cosine
11,-0.41991882494286953,-0.46479163289090464,-0.4592276460583463,-0.38411187365887617,-0.27255041294154486,-0.12445704591569054,0.048332043684654456,0.2246359853343109,0.38266533726709906,0.4874487986880771,0.521064203657728,0.4797231551924504,0.38309988700015796,0.25997784779522354,0.13871899339449587,0.03600326800884356,-0.04535618356763495,-0.0994289831222261,-0.1240140080293134,-0.12436704790953876,window_mean_cosine
12,-0.4286442084193359,-0.48901167325284134,-0.5138443248436282,-0.4754931625456852,-0.39877548765903525,-0.27711922206678,-0.12088387989320737,0.05153494721672935,0.22773515419782334,0.380308206367296,0.48572049350319035,0.5216611519943684,0.48722845518690555,0.3992562731975251,0.2898745746872074,0.18500989557413985,0.09332162580741447,0.023064828258570664,-0.023169182234691117,-0.04488900876072108,window_mean_cosine
13,-0.4199063193891696,-0.48238911680070584,-0.5231195109446963,-0.514964267826182,-0.4762029423333546,-0.38970803753559796,-0.25897040938801125,-0.10209104633940767,0.06990334420184868,0.24037851517525816,0.3902391725884003,0.4919040049634613,0.5284403870547838,0.49563688032025915,0.4166247410593807,0.3206567778196104,0.22460127819521675,0.14378480757054818,0.08193646782700705,0.0414171373714033,window_mean_cosine
