trajectory,horizon,windows,fluctuation_cosine_global,fluctuation_cosine_window_mean,amplitude_ratio_global,amplitude_ratio_window_mean
10125_0.h5,18,29,0.5735878655492701,0.5405718101779287,0.7925500691413986,0.7916856059961199
10125_0.h5,19,29,0.5361667518346162,0.5066715312067319,0.7759148367340859,0.777449723236792
10125_0.h5,20,29,0.5049804819335428,0.47724773972127826,0.7603092125420038,0.762497053331533
11400_15.h5,18,42,0.7400322617933589,0.7208926505137281,0.841596411051921,0.8362389088085962
11400_15.h5,19,42,0.7298309025846396,0.709163551309044,0.8419304801472381,0.8357806619346907
11400_15.h5,20,42,0.70155417116707,0.6789838687272807,0.8483571917615799,0.8428726476445821
13950_5.h5,18,42,0.4214341794642059,0.41309954681644967,0.7765544065051894,0.7774454192934986
13950_5.h5,19,42,0.3919516889442066,0.38273546931585833,0.7771634686554086,0.7785189506658412
13950_5.h5,20,42,0.36114187913822077,0.35269014298960255,0.7614884212906478,0.7652049522717658
20325_20.h5,18,42,0.674762790950063,0.6381458689660128,0.7933292720637969,0.7898708939504769
20325_20.h5,19,42,0.62217089701655,0.5810523638875549,0.806047982388077,0.813683112315789
20325_20.h5,20,42,0.488816399811625,0.4528148422833604,0.958636424328969,0.9898458118039317
20325_5.h5,18,42,0.11026267697438324,0.10387972235149186,0.7929642528624573,0.8065039933456704
20325_5.h5,19,42,0.08518973759892794,0.07794286404156095,0.8433393281206013,0.8627545188608601
20325_5.h5,20,42,0.07949801011070008,0.07597607712571967,0.8708113306485741,0.8921049013280102
22875_15.h5,18,42,0.42926634360198707,0.4087832251858073,0.5994139613222756,0.6008589249533383
22875_15.h5,19,42,0.3178813497946385,0.301127006975775,0.6642102940120048,0.6698296685126224
22875_15.h5,20,42,0.17913438285811328,0.17203756609472784,0.9534149250886798,0.9617068040053424
25425_15.h5,18,42,0.3543423815576559,0.3397780374230575,0.5426080009555994,0.550596667419054
25425_15.h5,19,42,0.18155551740975615,0.1734252858487309,0.6607365000698624,0.6727388208706445
25425_15.h5,20,42,0.07532156699260525,0.0720259805486531,0.9412986171588036,0.9575400178785033
26700_0.h5,18,42,0.1042033839958031,0.09440274358889585,0.7928144217362801,0.8072514630685023
26700_0.h5,19,42,0.07125177189510382,0.06626732985696183,0.9934709084743334,1.0190875910904262
26700_0.h5,20,42,0.04346577483837511,0.03890862313236707,1.118761941421545,1.1559515975753523
3750_0.h5,18,42,0.8114914495882674,0.8027195733264781,0.8992059448208369,0.8919959345545562
3750_0.h5,19,42,0.8165760579922217,0.8077601864669975,0.9061210102167245,0.8991199855250798
3750_0.h5,20,42,0.8125418935326081,0.8033753740824642,0.9164879362211127,0.9094592062582556
3750_20.h5,18,42,0.6973395507619039,0.6948563800865986,0.8909501161714616,0.8909983223651814
3750_20.h5,19,42,0.6983955734386873,0.6962444213373798,0.8995729321582298,0.8998176287910898
3750_20.h5,20,42,0.6978302513314238,0.6957161717566673,0.9175336950410138,0.9178771793823611
8850_20.h5,18,42,0.6982091446568989,0.6776098872788503,0.8240239372969811,0.8161803209489561
8850_20.h5,19,42,0.6970021231698262,0.6743217163273263,0.8287748306992159,0.8203423767769322
8850_20.h5,20,42,0.6901209650342575,0.6662052813026866,0.828149445875061,0.819374115840635
8850_5.h5,18,42,0.6193557404918925,0.6098366306657235,0.7968962018885661,0.7938713593629354
8850_5.h5,19,42,0.6017410259022841,0.5910959749473191,0.7896325238015158,0.7868079850490739
8850_5.h5,20,42,0.5801588722107646,0.5676863941870653,0.7834996484282843,0.7799984170178392
