model,description,original_arm,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,correction_help_fraction,delta_rel_pct_vs_current80,delta_tke_contrib_pct_vs_current80
current_80pt_residual,同事当前80分原始残差模型,BASELINE,1,0.0393681626816766,0.0082360809825481,0.0036990063723409,0.0063841866394126,0.5679456171994767,1.0617034880919185,0.8562995910644531,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,2,0.0497472389259115,0.0105728774056126,0.0042459194252024,0.00805647467567,0.5914745166487627,1.0101946255059429,0.806744384765625,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,3,0.0579906126122623,0.0124814449627571,0.0047770498517121,0.0094500442761946,0.6018859464144944,0.9181216068911812,0.7757110595703125,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,4,0.0653090286674459,0.0141675218166505,0.0052660940485729,0.0106876194953246,0.6223997812649315,0.8161326681730178,0.7472808837890625,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,5,0.0688781800375635,0.0149235978327023,0.0056417247122005,0.0112814633359438,0.6434908443126208,0.7616076202617975,0.7300254821777343,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,6,0.0718435824107403,0.0154489366321927,0.0059626367307285,0.0117094551506067,0.6620681188191823,0.7341083280698337,0.7055999755859375,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,7,0.0745330675507923,0.0159653370563069,0.0062225475629099,0.0121163543505083,0.6838967321142363,0.7084148400987603,0.6982963562011719,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,8,0.0769489276928317,0.0164338614884639,0.0064530073416777,0.012484252223777,0.7051475750077445,0.686842943254631,0.6928115844726562,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,9,0.0788967954874566,0.0167684881618058,0.0066465777091085,0.0127545911435028,0.7216214959799014,0.6701131196781888,0.6904991149902344,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,10,0.0807464670629238,0.0171084142747371,0.0068384978295437,0.0130281021557382,0.7341922473514989,0.650354188434756,0.6875160217285157,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,11,0.0824800416490128,0.0174413837675121,0.0070652452285341,0.013306381135849,0.7353135269544816,0.6332156458267035,0.6856956481933594,0.0,0.0
current_80pt_residual,同事当前80分原始残差模型,BASELINE,12,0.0842540514970487,0.017737349133232,0.0073267248745921,0.0135700856972632,0.7298175932820584,0.6109489581105284,0.6837936401367187,0.0,0.0
