model,description,metric,mean,p95,max,max_row,max_col
current_80pt_residual,同事当前80分原始残差模型,u_rmse,0.013736510649323463,0.03154357522726059,0.03885576128959656,27,15
current_80pt_residual,同事当前80分原始残差模型,v_rmse,0.005687423050403595,0.014336907304823399,0.016937293112277985,16,46
current_80pt_residual,同事当前80分原始残差模型,velocity_rmse,0.010646804235875607,0.023186413571238518,0.028166908770799637,27,15
current_80pt_residual,同事当前80分原始残差模型,mean_field_rmse,0.005641155876219273,0.012124858796596527,0.01666000671684742,10,14
current_80pt_residual,同事当前80分原始残差模型,fluctuation_rmse,0.00901230052113533,0.01970982365310192,0.02310764789581299,28,15
current_80pt_residual,同事当前80分原始残差模型,tke_abs_error,9.868033521343023e-05,0.00030967991915531456,0.00044086098205298185,28,15
current_80pt_residual,同事当前80分原始残差模型,target_tke_mean,0.00021619016479235142,0.0008194572874344885,0.0010893363505601883,20,49
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,u_rmse,0.013715862296521664,0.03148825839161873,0.0387246310710907,27,15
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,v_rmse,0.005669326521456242,0.014317463152110577,0.01690080016851425,16,46
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,velocity_rmse,0.010628510266542435,0.023112405091524124,0.028062812983989716,27,15
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,mean_field_rmse,0.0056342072784900665,0.012122775427997112,0.016619866713881493,10,14
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,fluctuation_rmse,0.00899533275514841,0.01964692398905754,0.023008203133940697,28,15
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,tke_abs_error,9.899742144625634e-05,0.0003104995412286371,0.0004407240776345134,28,15
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,target_tke_mean,0.00021619016479235142,0.0008194572874344885,0.0010893363505601883,20,49
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,u_rmse,0.013816962949931622,0.03195713460445404,0.0391102135181427,27,15
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,v_rmse,0.005880672950297594,0.0144907645881176,0.01708444021642208,16,46
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,velocity_rmse,0.01074014138430357,0.02356293797492981,0.02853509411215782,27,15
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,mean_field_rmse,0.0056604347191751,0.0121819032356143,0.016667377203702927,10,14
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,fluctuation_rmse,0.009110167622566223,0.020042264834046364,0.02358664758503437,28,15
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,tke_abs_error,9.514339035376906e-05,0.00029643691959790885,0.00041553337359800935,27,15
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,target_tke_mean,0.00021619016479235142,0.0008194572874344885,0.0010893363505601883,20,49
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,u_rmse,0.013900097459554672,0.032235946506261826,0.03945028409361839,27,15
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,v_rmse,0.006150942761451006,0.0146177988499403,0.017228825017809868,16,46
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,velocity_rmse,0.010851984843611717,0.023974647745490074,0.02924441546201706,27,15
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,mean_field_rmse,0.005686241202056408,0.012253805063664913,0.01676078699529171,10,14
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,fluctuation_rmse,0.00922553613781929,0.020432086661458015,0.024376891553401947,28,15
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,tke_abs_error,9.225576650351286e-05,0.0002876009966712445,0.00038189973565749824,28,15
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,target_tke_mean,0.00021619016479235142,0.0008194572874344885,0.0010893363505601883,20,49
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,u_rmse,0.013808820396661758,0.031878888607025146,0.03934613615274429,27,15
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,v_rmse,0.0056649018079042435,0.014366410672664642,0.01706060767173767,16,46
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,velocity_rmse,0.010690834373235703,0.02344699203968048,0.02848699502646923,27,15
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,mean_field_rmse,0.005693858955055475,0.012312490493059158,0.016809869557619095,10,14
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,fluctuation_rmse,0.009031000547111034,0.019791854545474052,0.023105420172214508,28,15
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,tke_abs_error,0.00010131337330676615,0.0003226890985388309,0.00044439584598876536,28,15
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,target_tke_mean,0.00021619016479235142,0.0008194572874344885,0.0010893363505601883,20,49
