experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
tke_weight_0p09,10125_0.h5,0,1,0.026342517104899918,0.0023852554177654643,0.7661139054982449,1.3514616989654307
tke_weight_0p09,10125_0.h5,0,2,0.030184076182541614,0.0027345320924379757,0.6276047544630885,1.1811187329470048
tke_weight_0p09,10125_0.h5,0,3,0.034922571397110205,0.0031639174868572434,0.6460185856013849,0.9744840831770959
tke_weight_0p09,10125_0.h5,0,4,0.037543040653124145,0.0034006344949608484,0.7132799741178694,0.8799539840809836
tke_weight_0p09,10125_0.h5,0,5,0.03770386118290955,0.0034171787702780123,0.784412485277793,0.8818424768618921
tke_weight_0p09,10125_0.h5,0,6,0.03667775401560792,0.0033237743824515425,0.773817966727407,0.9376228825822832
tke_weight_0p09,10125_0.h5,0,7,0.03652557096461845,0.0033148462519858118,0.7579336822486767,1.0068174470548514
tke_weight_0p09,10125_0.h5,0,8,0.03791457806546655,0.0034437161034008594,0.7923059004841992,0.9985141240226917
tke_weight_0p09,10125_0.h5,0,9,0.039073386657692645,0.003553419366153934,0.8511039319112083,1.005168637198752
tke_weight_0p09,10125_0.h5,0,10,0.04080504847519385,0.003714833590750326,0.8404864994071034,1.0001763723993666
tke_weight_0p09,10125_0.h5,0,11,0.04010642204052732,0.0036519240478264663,0.7692330606596316,1.0300631919898486
tke_weight_0p09,10125_0.h5,0,12,0.0420165519114379,0.003830134860380666,0.7834402504792588,0.9849743163140526
tke_weight_0p09,10125_0.h5,0,13,0.04162487770443727,0.0037953110003269143,0.7773335092058644,0.9714744693063926
tke_weight_0p09,10125_0.h5,0,14,0.042340741217083526,0.0038626439456911185,0.7413533963553269,0.9141590217702954
tke_weight_0p09,10125_0.h5,0,15,0.04269847110052931,0.0038997515606370254,0.6587598923168956,0.8799775774017266
tke_weight_0p09,10125_0.h5,0,16,0.04333541311899125,0.0039623379266625685,0.7097396659779078,0.8488000893438555
tke_weight_0p09,10125_0.h5,0,17,0.045252257840515946,0.004140849945678028,0.8097404688534329,0.8232765134161402
tke_weight_0p09,10125_0.h5,0,18,0.04804173143884932,0.004399060537197451,0.8239346268313136,0.7756439416123692
tke_weight_0p09,10125_0.h5,0,19,0.05003706016860087,0.004582090926876697,0.8285648780834088,0.7293607972133697
tke_weight_0p09,10125_0.h5,0,20,0.051147959694139246,0.004685735996398055,0.8906645774105575,0.8130917342548917
tke_weight_0p09,10125_0.h5,20,1,0.023342950429851947,0.0021403253424519776,0.5456691777701386,1.0440820527092214
tke_weight_0p09,10125_0.h5,20,2,0.0314359488119359,0.0028866009701357417,0.710242697123265,0.8710010019597884
tke_weight_0p09,10125_0.h5,20,3,0.03348540301431629,0.0030780925053557804,0.6857936456429838,0.7684092339958556
tke_weight_0p09,10125_0.h5,20,4,0.03630190058097531,0.0033394844703756154,0.7624877652956692,0.6821915513825246
tke_weight_0p09,10125_0.h5,20,5,0.03860689302331371,0.0035555456574871557,0.8973017428690586,0.6276524144111643
tke_weight_0p09,10125_0.h5,20,6,0.03701609036176249,0.0034120161798827657,0.8217207651078108,0.6792769004376237
tke_weight_0p09,10125_0.h5,20,7,0.03772786090536865,0.0034810783303720794,0.7922817420037354,0.6645655934097257
tke_weight_0p09,10125_0.h5,20,8,0.038181811461547005,0.0035254110385117333,0.733222737004354,0.6687901529771699
tke_weight_0p09,10125_0.h5,20,9,0.03922032319847215,0.0036235475062012606,0.7391977228696102,0.6191396155144409
tke_weight_0p09,10125_0.h5,20,10,0.040283170299910666,0.003723365458467582,0.762755964783683,0.5563557980073094
tke_weight_0p09,10125_0.h5,20,11,0.04079514693408674,0.0037717837061602187,0.7905600172397019,0.5326095148038498
tke_weight_0p09,10125_0.h5,20,12,0.0404362074045799,0.0037401098907370606,0.7746016891048989,0.5218083294211758
tke_weight_0p09,10125_0.h5,20,13,0.041483079040908255,0.003840413275404011,0.7839839049917272,0.4898200788942392
tke_weight_0p09,10125_0.h5,20,14,0.043251476931370686,0.004006977534114368,0.7925724880010677,0.47701693707098614
tke_weight_0p09,10125_0.h5,20,15,0.04498933524640835,0.00417110691687616,0.8023189157781785,0.45407084824072014
tke_weight_0p09,10125_0.h5,20,16,0.04562739986437005,0.004230096141869834,0.7959912981444199,0.4456440916540588
