experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
tke_weight_0p12,1,0.04399536546404699,0.008829633313268697,0.0048219159911186155,0.00711383505122904,0.5953462507768356,1.1627815024338153,0.08120438820611678,0.01006335327164304,0.8348991394042968,0.7781185669728542
tke_weight_0p12,2,0.05320221733503937,0.011036241652643044,0.0051960634213647295,0.008625476940273442,0.6079563587093877,1.1120482389180735,0.08086266579202424,0.009169012075737712,0.7891014099121094,0.7621310552020135
tke_weight_0p12,3,0.06070654301865673,0.01287273087324519,0.0055889682946614104,0.00992330002402755,0.6095756727322705,1.016802662286717,0.08405343885912438,0.008405670453940637,0.7596977233886719,0.7888294007021223
tke_weight_0p12,4,0.06751897500678931,0.01449182929643733,0.005966137034546488,0.011081694533600592,0.6250169873186494,0.9057996299383022,0.0868433756448526,0.007504082977798214,0.7313545227050782,0.8046199271229
tke_weight_0p12,5,0.07078664801198589,0.015188101237370577,0.006270126332656173,0.011618797343617067,0.6442138475151984,0.8413393367718945,0.08804857272183357,0.007203254210691464,0.7150527954101562,0.8102181459070923
tke_weight_0p12,6,0.07354594310557541,0.015678627498418765,0.0065328575916676745,0.012010361954312265,0.6612070300286563,0.807533186033934,0.08717304021838972,0.006855138767515293,0.6905433654785156,0.7896358923663053
tke_weight_0p12,7,0.07609756539524694,0.01619947440565535,0.00670412810296688,0.012396941248559522,0.6826104422608594,0.7776556948972524,0.08894691798528635,0.006768240994446308,0.6842475891113281,0.8015579735428103
tke_weight_0p12,8,0.07838274051739184,0.016668421661740443,0.006843278801556188,0.012741011448260425,0.7036808573076568,0.7506272865746603,0.0911610749910013,0.006690906678601361,0.678704833984375,0.8149471048856967
tke_weight_0p12,9,0.08021723990785265,0.01700370287303685,0.0069534328142569985,0.012989921849205013,0.7202261458502484,0.729749004862329,0.09276539743533184,0.006604735674528364,0.6778671264648437,0.8250506341333261
tke_weight_0p12,10,0.08194274080777827,0.017334473379148417,0.007086359114575792,0.013241987253300325,0.7326667033784571,0.7080516550298328,0.09448086115208473,0.006536261841684092,0.6763847351074219,0.8330860006370642
tke_weight_0p12,11,0.08360299876961311,0.017664891137290663,0.007284058007656356,0.013511215340435385,0.7333357557717275,0.6893799631779376,0.09620647332738329,0.0065206209550876144,0.6747840881347656,0.8350955589415298
tke_weight_0p12,12,0.08533447883774088,0.017953624642079256,0.007549250397698079,0.01377177946664519,0.7267049044163683,0.6656718860241672,0.09806309305775766,0.006551823517771944,0.6725921630859375,0.8344227578028118
tke_weight_0p12,13,0.08725736718813766,0.018275527168410886,0.007842311943552595,0.014062303330239185,0.7173509569626096,0.643651678840704,0.09990760685399573,0.006638904024900117,0.6685470581054688,0.834960964339938
tke_weight_0p12,14,0.08903180195609724,0.018500593623520238,0.008183983401406707,0.014304711614309778,0.7053873016292991,0.622794262166999,0.10215040479677992,0.006791982260564567,0.6683631896972656,0.834177700825893
tke_weight_0p12,15,0.09082591807240895,0.018709358111906715,0.008507591882259653,0.014533051995273738,0.6963327243264184,0.6022389992146747,0.10459362691449739,0.006946041909272507,0.6784370422363282,0.8328993655131377
tke_weight_0p12,16,0.09261516933845292,0.01893269539830346,0.008832140560524674,0.014772502528783097,0.6906228126021918,0.5814927013224246,0.10756155852229492,0.007270634570433153,0.6842521667480469,0.8540518422774976
tke_weight_0p12,17,0.09464873974539241,0.019258116638575476,0.009155651337497033,0.015078146568441177,0.6932708988994565,0.5552909057040784,0.11009645819757127,0.007436406488883573,0.6924407958984375,0.8585947428171025
tke_weight_0p12,18,0.0969001091900594,0.01963207005423014,0.00941147970083257,0.015394708908800181,0.702525736235408,0.523264862329103,0.1130859449688963,0.007611781513756545,0.6961601257324219,0.8730365190358025
tke_weight_0p12,19,0.09948715078354194,0.020119271339862622,0.009646141860453806,0.015777089909723794,0.7161119473574538,0.49027418069387707,0.11557008039302286,0.007781400967401532,0.6954582214355469,0.8727195178404026
tke_weight_0p12,20,0.1020328381881078,0.020606894209073162,0.00985820186839552,0.01615283617545182,0.7314665757731086,0.4521069163937013,0.11688906028992566,0.007952888460505595,0.6860153198242187,0.8888404051646553
