model,description,original_arm,step,rel_l2,tke,mvpe,final_est,best_alpha
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,0,0.08042041957378387,0.449158251285553,0.07111691683530807,,
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,1000,0.0822814468294382,0.4717399895191193,0.07383860414847732,81.56850413565738,1.0
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,2000,0.08183112796396017,0.47041104435920716,0.07380629945546388,81.59319621729347,1.0
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,3000,0.08106409423053265,0.4604184851050377,0.07240084055811166,81.73346770400556,1.0
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,4000,0.08033710028976201,0.45363845229148864,0.0712995307520032,81.83588386879327,1.0
original_loss_continuation,原训练目标 / TKE权重0.06 / 固定时间窗口 / 继续训练5000步,R0,5000,0.0802410738542676,0.45036581456661223,0.07102766502648591,81.87163570924422,1.0
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,0,0.08042041957378387,0.449158251285553,0.07111691683530807,,
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,1000,0.0832511318847537,0.45634050816297533,0.07405102932825684,81.6248591933612,1.0
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,2000,0.08278069850057364,0.45180399864912035,0.07383564421907067,81.67435583450023,1.0
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,3000,0.08174949157983065,0.44872921258211135,0.07252618707716466,81.77840569525772,1.0
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,4000,0.08123288713395596,0.4388990134000778,0.07150568515062332,81.894570680619,1.0
tke_weight_0p09,TKE损失权重0.09 / 固定时间窗口 / 继续训练5000步,R1,5000,0.08117895629256963,0.43517672196030616,0.07126062288880348,81.93332800466558,1.0
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,0,0.08042041957378387,0.449158251285553,0.07111691683530807,,
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,1000,0.0839307501912117,0.446408873796463,0.07416607048362493,81.63938941355582,1.0
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,2000,0.08391884658485652,0.44105615466833115,0.07407844597473741,81.67613137100244,1.0
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,3000,0.08240164667367936,0.4407166428864002,0.07265040371567011,81.7862234009834,1.0
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,4000,0.08208808768540621,0.4291164606809616,0.0717444616369903,81.90327688135707,1.0
tke_weight_0p12,TKE损失权重0.12 / 固定时间窗口 / 继续训练5000步,R2,5000,0.08205875977873803,0.4252567753195763,0.07152209738269448,81.94195410465417,1.0
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,0,0.08042041957378387,0.449158251285553,0.07111691683530807,,
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,1000,0.08262224979698658,0.4849523276090622,0.07492522038519382,81.4305576999254,1.0
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,2000,0.08201378583908081,0.4717543676495552,0.07413069754838944,81.57241274788608,1.0
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,3000,0.0813329566270113,0.4728734724223614,0.07285940200090409,81.62314888954246,1.0
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,4000,0.08097889851778746,0.46212894916534425,0.07236028779298068,81.73007916296196,1.0
random_temporal_phase,TKE权重0.06 / 随机时间窗口起点 / 继续训练5000步,R3,5000,0.08072149362415075,0.46379426270723345,0.07202550079673528,81.73758141170791,1.0
