experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
aoa_final,10125_0.h5,0,1,0.025557134999334877,0.002314140842235148,0.7628980697020185,1.2937162866635705
aoa_final,10125_0.h5,0,2,0.02975319711903563,0.002695496522159425,0.6447566598867778,1.1399906798186863
aoa_final,10125_0.h5,0,3,0.034634501643970646,0.0031378189238668807,0.6544474650580965,0.9401183990675014
aoa_final,10125_0.h5,0,4,0.03729320262811357,0.0033780042606691265,0.695270991468822,0.8314150014500293
aoa_final,10125_0.h5,0,5,0.037452078989780195,0.003394359230366125,0.7646099931876523,0.8278778521521294
aoa_final,10125_0.h5,0,6,0.036634889954152886,0.003319889998764051,0.7549906934430243,0.8889807535015167
aoa_final,10125_0.h5,0,7,0.03670687298498562,0.003331300158299111,0.7250517872020238,0.9630793891048489
aoa_final,10125_0.h5,0,8,0.03810395553745808,0.0034609169344055586,0.7826737120927896,0.9703931317868969
aoa_final,10125_0.h5,0,9,0.03907997077573286,0.003554018140269884,0.8609628571774633,0.9954834192727405
aoa_final,10125_0.h5,0,10,0.04073378582568662,0.003708345940470575,0.871333256405416,1.0003290658692072
aoa_final,10125_0.h5,0,11,0.03989201896397495,0.003632401395060324,0.7918603361148713,1.0320103965847536
aoa_final,10125_0.h5,0,12,0.04170376665539303,0.0038016220562953687,0.811301942385895,0.9848787748659331
aoa_final,10125_0.h5,0,13,0.041254620491171415,0.003761551351002864,0.804438373908598,0.9693397642016282
aoa_final,10125_0.h5,0,14,0.04177745260679422,0.0038112564810963115,0.7567617241370358,0.9036189937011491
aoa_final,10125_0.h5,0,15,0.04200563965142082,0.0038364736386112467,0.6646305966578646,0.8614234199330534
aoa_final,10125_0.h5,0,16,0.042743204946560684,0.003908189858530438,0.7044705105226498,0.8286758023671689
aoa_final,10125_0.h5,0,17,0.04476580142507773,0.004096336298899534,0.7989598016109792,0.7936624928564813
aoa_final,10125_0.h5,0,18,0.04778661327755803,0.004375700008714263,0.8088517547900332,0.7399723802281646
aoa_final,10125_0.h5,0,19,0.04962989452661204,0.004544805163332505,0.807062839444195,0.6936617510425112
aoa_final,10125_0.h5,0,20,0.050182811748671625,0.004597317445648993,0.8560610830384652,0.7681404986346141
aoa_final,10125_0.h5,20,1,0.022119330331181068,0.0020281310800090583,0.52019689907056,0.9898400429512454
aoa_final,10125_0.h5,20,2,0.0304142381849956,0.0027927825552831235,0.6991811738257558,0.8229267931576458
