experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
residual,10125_0.h5,0,1,0.02599855022320251,0.0023541099936272335,0.9238144902936878,1.3688877562734982,0.03940858872385108
residual,10125_0.h5,0,2,0.03077097060207826,0.0027877019034134695,0.7842013405574157,1.2193802808302243,0.03596790138524429
residual,10125_0.h5,0,3,0.03605694784478573,0.00326668980103387,0.7190159770734177,1.004556897829847,0.05114277897457723
residual,10125_0.h5,0,4,0.03845182559835003,0.0034829518933247702,0.7640789362522915,0.9267078501333127,0.05149215626266895
residual,10125_0.h5,0,5,0.03855993812124818,0.0034947667903808778,0.8493109250372364,0.9387247519995928,0.04338180198847651
residual,10125_0.h5,0,6,0.038502971207974204,0.003489177371517216,0.8698891838198677,1.0180985438286476,0.04577611593323693
residual,10125_0.h5,0,7,0.039360611396009805,0.003572137867148491,0.9067186066209191,1.0908305009398493,0.05795521999883155
residual,10125_0.h5,0,8,0.04106409569804326,0.003729781388646061,0.9420765326325218,1.0970611367146346,0.06911110560156938
residual,10125_0.h5,0,9,0.04222221226039507,0.003839780463422197,0.9977948657197545,1.1352707937315687,0.08196858117326479
residual,10125_0.h5,0,10,0.044737362924153194,0.004072825906658669,1.0627814059569485,1.1800890307367324,0.08533789085904336
residual,10125_0.h5,0,11,0.045120894966761735,0.004108521104726365,1.0442935373996798,1.249697641545659,0.08897785093519198
residual,10125_0.h5,0,12,0.0482448226372086,0.004397890084011203,1.0739334664279225,1.206584107932599,0.09868363039359772
residual,10125_0.h5,0,13,0.04725838766980345,0.004308968301468393,1.080718228241024,1.1841362138893767,0.08198397542786817
residual,10125_0.h5,0,14,0.047003733027261706,0.004288037468965685,0.9892880485424123,1.1060908897783808,0.06875132792269092
residual,10125_0.h5,0,15,0.04695588541154699,0.004288591199990378,0.8679252345525881,1.071084081697503,0.06049381833361925
residual,10125_0.h5,0,16,0.046963389325578586,0.004294058953087729,0.8175618109865175,1.0398831537714917,0.05606698028228088
residual,10125_0.h5,0,17,0.04860754731697467,0.004447878830187926,0.9032295709388556,1.010724411237947,0.0576320925448667
residual,10125_0.h5,0,18,0.05001196569555695,0.0045794699335313235,0.8541046498043552,0.9116567396241197,0.06853908829086601
residual,10125_0.h5,0,19,0.0509715848225733,0.0046676690348526825,0.8352825206515041,0.842607851979102,0.0745972063389209
residual,10125_0.h5,0,20,0.05120130751174544,0.004690623264449042,0.9903782654811525,0.9124631962432351,0.07116108292292851
residual,10125_0.h5,20,1,0.02217669323995658,0.0020333907102232374,0.5334844381835161,0.9905619476397964,0.03332918706619666
residual,10125_0.h5,20,2,0.030933929198917222,0.002840503099489739,0.6896702650334123,0.8399247438342311,0.04828423093786557
residual,10125_0.h5,20,3,0.03404552835556699,0.003129581138006443,0.6793910402977014,0.7257433167011428,0.06543830233608619
residual,10125_0.h5,20,4,0.037507849076870756,0.003450422085477402,0.762856070815293,0.6545151491516122,0.07658225117032741
