experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
residual,10125_0.h5,0,1,0.0260114932825851,0.002355281958416776,0.9768916579941266,1.3900895094021635
residual,10125_0.h5,0,2,0.031151262242413203,0.0028221544965189474,0.9603241007750728,1.3112927427800085
residual,10125_0.h5,0,3,0.036274708448241905,0.003286418490922974,0.8624251871175571,1.127669647618349
residual,10125_0.h5,0,4,0.039008813185007755,0.0035334036193304997,0.9114724509217639,1.0556255908587262
residual,10125_0.h5,0,5,0.03883592719948021,0.003519780250259377,0.9692181247741878,1.036777363297344
residual,10125_0.h5,0,6,0.0384684015336562,0.0034860446334041124,0.9313055954174347,1.061109590087587
residual,10125_0.h5,0,7,0.03956164077122515,0.0035903821122998474,0.8864099543878903,1.0863503913044523
residual,10125_0.h5,0,8,0.04210016446372912,0.0038238857378086063,0.9011358551250926,1.073112105325156
residual,10125_0.h5,0,9,0.044517511993209705,0.004048520048581905,0.9844547322692867,1.1122548503067275
residual,10125_0.h5,0,10,0.04775000936107763,0.004347092954466366,1.0754543261971166,1.1687843742632484
residual,10125_0.h5,0,11,0.04847142466122447,0.004413606408815596,1.081651949165682,1.2658791790716528
residual,10125_0.h5,0,12,0.05194417641586066,0.004735114897183921,1.1553103061180219,1.2599549705988409
residual,10125_0.h5,0,13,0.05068557458795311,0.00462145547087198,1.203963697202281,1.2706889597582516
residual,10125_0.h5,0,14,0.05082263639694641,0.00463642683476499,1.115638128760288,1.2159812227866442
residual,10125_0.h5,0,15,0.05040276259757299,0.004603402581734739,0.9842852792281707,1.196255660448102
residual,10125_0.h5,0,16,0.04965108238543254,0.004539805961822723,0.8929235615788018,1.1376729355710897
residual,10125_0.h5,0,17,0.05119614288704714,0.004684750675643561,0.928231454861529,1.0665306034136304
residual,10125_0.h5,0,18,0.05249001134686095,0.004806378342273857,0.9040494321533428,0.9572721559896685
residual,10125_0.h5,0,19,0.05277972661954919,0.004833247709829056,0.8854984855847233,0.8394562285042729
residual,10125_0.h5,0,20,0.05219445276958892,0.0047816066880725415,0.9512287178486751,0.8836734884128858
residual,10125_0.h5,20,1,0.02254945636277427,0.0020675695241180736,0.5714347379324971,0.9932734300221422
residual,10125_0.h5,20,2,0.03141513106846673,0.002884689384172371,0.7405687512374401,0.851910657459459
residual,10125_0.h5,20,3,0.03395664699246573,0.003121410859825508,0.7343492430994834,0.7475629626887917
residual,10125_0.h5,20,4,0.03712130074485261,0.0034148627309762616,0.8080626974296202,0.711541512399133
residual,10125_0.h5,20,5,0.03974039668414487,0.003659936964412069,0.9137198546226301,0.6587985641771386
residual,10125_0.h5,20,6,0.03827330935390168,0.003527902312127191,0.843662253740374,0.6864263678497236
residual,10125_0.h5,20,7,0.04076888818635649,0.003761668162816322,0.8259932582736076,0.6603280018718297
residual,10125_0.h5,20,8,0.04263890277649304,0.003936944130313578,0.7692393027135018,0.6601751029302885
residual,10125_0.h5,20,9,0.043852655835076686,0.004051526574306364,0.7780159658377991,0.6154651225161527
residual,10125_0.h5,20,10,0.04604372072532966,0.004255811994231262,0.7990170638270105,0.5546152219195092
residual,10125_0.h5,20,11,0.04670248339579155,0.004317956402855352,0.8126185569462774,0.525058085434736
residual,10125_0.h5,20,12,0.046826988652096724,0.004331219336640916,0.7892376631893216,0.5279528578307694
residual,10125_0.h5,20,13,0.04825044086649912,0.004466920921300598,0.8133673381531195,0.5185763959006546
residual,10125_0.h5,20,14,0.049924883141963604,0.0046252266820982655,0.8546037660711641,0.5316361200177292
residual,10125_0.h5,20,15,0.05054993346663726,0.004686647979470939,0.8827746541168272,0.535535021719028
residual,10125_0.h5,20,16,0.04994325541961997,0.0046302172091977675,0.8620279852085028,0.5284833182650445
residual,10125_0.h5,20,17,0.049092472705398967,0.004551338578876132,0.7734538758047033,0.47849316312268353
residual,10125_0.h5,20,18,0.04991351583804876,0.004628813887457637,0.7792334754838987,0.41715635697992987
residual,10125_0.h5,20,19,0.05101964121678344,0.0047323205742517485,0.8112108045839885,0.37719738657403024
residual,10125_0.h5,20,20,0.05243967301210809,0.004868378397469231,0.8253614205484622,0.39384098192577705
residual,10125_0.h5,40,1,0.023306757924258428,0.0021648745716493197,0.7585998000999777,1.2744452365455536
residual,10125_0.h5,40,2,0.027234908424554418,0.0025316770394514768,0.7494272196955425,1.1400272614136067
residual,10125_0.h5,40,3,0.03243320130960919,0.003018001037245783,0.732058682109786,0.9851582408774732
residual,10125_0.h5,40,4,0.034888189754168956,0.0032465092956746313,0.689483782234417,0.9454022880661321
residual,10125_0.h5,40,5,0.03815232349354832,0.0035501341991051047,0.7355142451344764,0.8574263017329261
residual,10125_0.h5,40,6,0.039144821265519825,0.003640836687759936,0.7247403874763416,0.7954985968239154
residual,10125_0.h5,40,7,0.041033029804740745,0.0038144580059755085,0.7519783052789747,0.7386506311108373
residual,10125_0.h5,40,8,0.040259710266151535,0.0037439111086650856,0.6854570178100043,0.7899467176133612
residual,10125_0.h5,40,9,0.03894174406669683,0.0036205472490188034,0.6548155341254672,0.8560359300684295
residual,10125_0.h5,40,10,0.039834548418309045,0.003701530809608888,0.6640690622125188,0.8447855042130297
residual,10125_0.h5,40,11,0.03984755396118483,0.0037022841594463707,0.6396134260600956,0.8282936856414489
residual,10125_0.h5,40,12,0.04030435759317344,0.0037409891268370375,0.6077411827150685,0.7735807008817106
residual,10125_0.h5,40,13,0.04105576862404377,0.0038083195750425384,0.6487019208953398,0.7325464819907987
residual,10125_0.h5,40,14,0.04210232979773608,0.0039038543834034045,0.6384362078978125,0.6931884574598282
residual,10125_0.h5,40,15,0.042587886914663975,0.003943647175246116,0.6168622904630837,0.6639762758187729
residual,10125_0.h5,40,16,0.04352181368982172,0.004027240419908086,0.6280256176464208,0.6563911889667329
residual,10125_0.h5,40,17,0.04430334105807985,0.004095435837199485,0.6543160731804175,0.6791183384639857
residual,10125_0.h5,40,18,0.045640243757437124,0.004215517304325367,0.6905445641659548,0.7141925315411275
residual,10125_0.h5,40,19,0.04720169292141132,0.0043573890169796735,0.695771226551183,0.7054836272527383
residual,10125_0.h5,40,20,0.049229678854524096,0.004539304090957776,0.7044397145362885,0.6586445619343778
residual,10125_0.h5,60,1,0.023283393562572967,0.0021441992078039124,0.75406386789093,1.3070342191067117
residual,10125_0.h5,60,2,0.02776573258684861,0.0025540764742610286,0.6797968081481769,1.1500567552403056
residual,10125_0.h5,60,3,0.03436879734796732,0.003158273183299354,0.633539278959323,0.9423892188047109
residual,10125_0.h5,60,4,0.04146284000634354,0.003806969297087623,0.7980778328032685,0.8021033169112801
residual,10125_0.h5,60,5,0.04842131040528587,0.004445272602568522,0.927266934398027,0.670454552541926
residual,10125_0.h5,60,6,0.052071745784018304,0.004778874349175285,0.9275274305508373,0.6094320037054227
residual,10125_0.h5,60,7,0.04720239197743464,0.004327506583399677,0.8321510526198377,0.6740041662193199
residual,10125_0.h5,60,8,0.04293179897451041,0.003932550836358675,0.6148190342000547,0.7199202773307866
residual,10125_0.h5,60,9,0.038008323162168546,0.0034765176957065663,0.40815006522905883,0.7846340608619746
residual,10125_0.h5,60,10,0.040848622112745155,0.003731148119943459,0.42900517753192974,0.754280099783756
residual,10125_0.h5,60,11,0.04334239974269685,0.003954153521451835,0.49208525552940974,0.7262806322122006
residual,10125_0.h5,60,12,0.04423921026822851,0.004030938885048705,0.5032948561628272,0.7203602480269331
residual,10125_0.h5,60,13,0.04313251609005189,0.003926013167582089,0.5191645762315837,0.7498692556451351
residual,10125_0.h5,60,14,0.04237849487526586,0.0038543020518532656,0.5149106519448637,0.753741742420036
residual,10125_0.h5,60,15,0.04301153856490432,0.0039099825302727625,0.5352900559060859,0.7134208729386315
residual,10125_0.h5,60,16,0.044582137869280385,0.0040520004844249655,0.6049293873612729,0.6617749944466607
residual,10125_0.h5,60,17,0.04650038856912163,0.004225189735544009,0.6293182209127526,0.6107222172355941
residual,10125_0.h5,60,18,0.04723802650027439,0.004290397452232848,0.6788041573682081,0.5785181781432305
residual,10125_0.h5,60,19,0.05057802891646856,0.004593562483930805,0.771089830447914,0.5458592498138444
residual,10125_0.h5,60,20,0.05388507291957187,0.004890254552287615,0.7768667506296337,0.5625218761655072
residual,10125_0.h5,80,1,0.022844574356604794,0.0020726227188077673,0.4110717329417447,1.1783789326867717
residual,10125_0.h5,80,2,0.028683637128448226,0.002602609693707209,0.43859474824843503,1.05193806544631
residual,10125_0.h5,80,3,0.032235601078378154,0.00292388343615475,0.5167101095422101,0.9909400340856025
residual,10125_0.h5,80,4,0.03475236749785668,0.0031534922245191944,0.5543766765655191,0.933672054054702
residual,10125_0.h5,80,5,0.03527723064414493,0.003202496481917904,0.48534734813097463,0.8942713895436355
residual,10125_0.h5,80,6,0.03721856826355828,0.003378496944237862,0.44016407532666046,0.889796852624008
residual,10125_0.h5,80,7,0.037892774384402104,0.003437712781991639,0.4204275907556941,0.9159073605156509
residual,10125_0.h5,80,8,0.0380764130686842,0.0034515740851886424,0.3706870837434873,0.9480043979473141
residual,10125_0.h5,80,9,0.03919919608579739,0.0035500101209169368,0.4001194277510591,0.9629363258266264
residual,10125_0.h5,80,10,0.04263884259146615,0.0038588762609588372,0.4644443364133019,0.910669550196509
residual,10125_0.h5,80,11,0.044872854339815436,0.004058741009214905,0.5122669551834715,0.8868508804561944
residual,10125_0.h5,80,12,0.04721327654979295,0.004269033902414947,0.5538205942815734,0.8611269665732363
residual,10125_0.h5,80,13,0.04428798202775978,0.004000171258359178,0.454932586788262,0.8962904199147136
residual,10125_0.h5,80,14,0.04495826040744327,0.004059184603835195,0.5037459528577692,0.8407260785099829
residual,10125_0.h5,80,15,0.04534180207861163,0.004091379426039892,0.5455510269838979,0.8089319115316714
residual,10125_0.h5,80,16,0.04535848900399454,0.004087005397071623,0.5310467181840411,0.8082967961901413
residual,10125_0.h5,80,17,0.045062509301347836,0.004056799346563491,0.5168695780749263,0.8432428090289328
residual,10125_0.h5,80,18,0.046010260588652103,0.004136897508475134,0.5335245421469593,0.772463894455041
residual,10125_0.h5,80,19,0.04823850964779673,0.004336265515169146,0.5497660026820004,0.7503785461791395
residual,10125_0.h5,80,20,0.05087446707569493,0.004572260518635708,0.635051092237358,0.744633778931388
residual,10125_0.h5,100,1,0.024567969302950923,0.0022061822000542853,0.6707381936706178,1.173468489945944
residual,10125_0.h5,100,2,0.030978248460753366,0.002779728894350402,0.6132976219500853,1.1084199854108403
residual,10125_0.h5,100,3,0.035701596464277535,0.0031991744439753165,0.5656738557088289,0.9946860694319561
residual,10125_0.h5,100,4,0.03776298145595118,0.003382066640948874,0.5804109117812318,0.930837510393733
residual,10125_0.h5,100,5,0.036879135513792884,0.003302061507941338,0.5465202936413494,0.9367177971606434
residual,10125_0.h5,100,6,0.037009321623529406,0.0033110418593480604,0.47778428518344007,0.8931750824317698
residual,10125_0.h5,100,7,0.03696606907345543,0.003304664758566282,0.4234013949599875,0.8908550680709117
residual,10125_0.h5,100,8,0.037726975535191776,0.0033705750729747823,0.4063860342854157,0.8620856204769857
residual,10125_0.h5,100,9,0.03783591251917074,0.003376598171691312,0.38425317457415487,0.8938213619037776
residual,10125_0.h5,100,10,0.03891321874721238,0.003471106193819092,0.3852365040511249,0.8985652279232331
residual,10125_0.h5,100,11,0.0413497491223411,0.0036856368924868105,0.4200845634074388,0.9034828247758603
residual,10125_0.h5,100,12,0.04444490775196924,0.003958461812483935,0.45513958052880865,0.9020269383119284
residual,10125_0.h5,100,13,0.046527123731492585,0.004140833499570825,0.4838207069618585,0.8750671075251696
residual,10125_0.h5,100,14,0.0473630579722447,0.004215217639510677,0.5209759871509626,0.8132917939955336
residual,10125_0.h5,100,15,0.04867772375766426,0.004331169189289249,0.5624769435942034,0.7784234010333609
residual,10125_0.h5,100,16,0.04834687809738519,0.004300420752992269,0.6091856397325356,0.7510698538087152
residual,10125_0.h5,100,17,0.048689961376446614,0.004336632468126334,0.6441153170445442,0.6923546943358927
residual,10125_0.h5,100,18,0.04952002788047371,0.004411512236819726,0.7506206629862331,0.6186181909763356
residual,10125_0.h5,100,19,0.049243162275780045,0.004391038244252098,0.7490501787046623,0.6154058102072415
residual,10125_0.h5,100,20,0.0512536654170617,0.004575094036169578,0.7791799343618225,0.5889892683575852
residual,10125_0.h5,120,1,0.02243421045793034,0.0020023280516478703,0.7281743900206781,1.2182011634986718
residual,10125_0.h5,120,2,0.0263042221229092,0.002350352943041136,0.6276378928411159,1.124311432121449
residual,10125_0.h5,120,3,0.02953911283030388,0.0026414273938690585,0.5766823870314974,1.0023951690285506
residual,10125_0.h5,120,4,0.03301862428058874,0.0029556088436016236,0.5558230611791943,0.9113436694044362
residual,10125_0.h5,120,5,0.03519490963351206,0.0031544599612250424,0.6163436369349818,0.8680012641189288
residual,10125_0.h5,120,6,0.03503771164787417,0.0031425409035145493,0.7012363369784267,0.9064984489893638
residual,10125_0.h5,120,7,0.035644698625706045,0.0032008118671054417,0.7478564407280741,0.924999968094897
residual,10125_0.h5,120,8,0.03621978817584216,0.0032552543408684424,0.671799780359706,0.9098875628279565
residual,10125_0.h5,120,9,0.03808866254580321,0.0034266150195739957,0.6981323210173388,0.8496373196974929
residual,10125_0.h5,120,10,0.040956559308715175,0.0036874783936722204,0.7403667924676531,0.8178216765197451
residual,10125_0.h5,120,11,0.04311112006259382,0.0038857421530321045,0.7227527432924683,0.7986403045489604
residual,10125_0.h5,120,12,0.04303813917567993,0.0038809904417763533,0.707934838124074,0.7886499232313555
residual,10125_0.h5,120,13,0.043179618774238836,0.003896931138780745,0.7100125386908813,0.8048949144042273
residual,10125_0.h5,120,14,0.04359645124952493,0.0039372413374703695,0.7127895673760979,0.8018998076790116
residual,10125_0.h5,120,15,0.04311120883613569,0.0038927503998360275,0.7198230447787788,0.791484338745765
residual,10125_0.h5,120,16,0.043077237242038255,0.0038895658462789287,0.7637904324876444,0.7759480971440343
residual,10125_0.h5,120,17,0.043771584665642876,0.003952556633635363,0.8334923255701077,0.792167053727578
residual,10125_0.h5,120,18,0.04557488950784092,0.0041155099150802415,0.883265064282586,0.755586218194709
residual,10125_0.h5,120,19,0.04695580952421771,0.004241759109827723,0.8835484683707826,0.6756525954768104
residual,10125_0.h5,120,20,0.04913692550355936,0.004442280943196208,0.8230252933347384,0.6175138271053897
residual,10125_0.h5,140,1,0.02385177422046225,0.002157436491603152,0.7618423914661706,1.101991890693147
residual,10125_0.h5,140,2,0.029183929061193332,0.0026420093264275567,0.7161082630613369,0.994630326855738
residual,10125_0.h5,140,3,0.0329154047205983,0.0029824264363259973,0.6398897389635804,0.8204582587350091
residual,10125_0.h5,140,4,0.034697473466298485,0.0031502811823886996,0.681056297745958,0.7881938218255975
residual,10125_0.h5,140,5,0.03692004283690441,0.0033581305256683335,0.7626613867483212,0.7815499505771272
residual,10125_0.h5,140,6,0.03696479200342955,0.003369025320462074,0.7464043700963257,0.838203308622139
residual,10125_0.h5,140,7,0.0390659522181589,0.003567502245280594,0.6975029864724334,0.9067126301633112
residual,10125_0.h5,140,8,0.04138034606849368,0.0037827287050318232,0.7427920990811108,0.9606802717289976
residual,10125_0.h5,140,9,0.044096055712956585,0.004036649612548076,0.8276782424185037,0.9408100173918592
residual,10125_0.h5,140,10,0.046496338740826704,0.004263508527464586,0.8676343065898816,0.9573264366637515
residual,10125_0.h5,140,11,0.0476778014564545,0.004379000479193218,0.8668887039769182,0.9411964355257428
residual,10125_0.h5,140,12,0.04907468677779641,0.004512989015143958,0.8634228376827208,0.9091642000156241
residual,10125_0.h5,140,13,0.051042136946758354,0.004698270675878798,0.8935248883521223,0.9245820341387194
