experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
control_best,12675_10.h5,0,1,0.0338355626939385,0.003759254943666748,1.0448252042937434,1.62767463643743
control_best,12675_10.h5,0,2,0.038337057712972765,0.004256153590551681,0.8762578754402323,1.4270036190719662
control_best,12675_10.h5,0,3,0.049008760635007816,0.0054392945144092165,0.7901312732158079,1.1261792861111586
control_best,12675_10.h5,0,4,0.0539499408652502,0.005987733503060903,0.7567278311990834,1.0031388816460411
control_best,12675_10.h5,0,5,0.05777611933175731,0.006415547363101021,0.731610679297788,0.8377201346749701
control_best,12675_10.h5,0,6,0.0595273854022159,0.006617118897463741,0.7324131353686248,0.7904437482192803
control_best,12675_10.h5,0,7,0.06434578434376141,0.00715540427051014,0.7754021008080788,0.6911879183304264
control_best,12675_10.h5,0,8,0.06790761960149891,0.007556631377890493,0.8421026337406494,0.6763044461734765
control_best,12675_10.h5,0,9,0.07116387447516677,0.007921760755166407,0.8750095154826375,0.6625575100085179
control_best,12675_10.h5,0,10,0.0746707899555063,0.008315119790419444,0.8786219381939294,0.6879676483909745
control_best,12675_10.h5,0,11,0.07578929346453511,0.008445952119748674,0.8747574115009377,0.7195198986772599
control_best,12675_10.h5,0,12,0.07857016895746137,0.008755794105115624,0.8647372143334738,0.7447867957235964
control_best,12675_10.h5,0,13,0.08069305252724723,0.008997545059980424,0.8890807606331932,0.6840695587907345
control_best,12675_10.h5,0,14,0.0815075455198002,0.009078574474313329,0.8831752905869974,0.7102108467078143
control_best,12675_10.h5,0,15,0.08039530205825002,0.008953202383852504,0.8718186413728563,0.7174178723071165
control_best,12675_10.h5,0,16,0.0795200410900311,0.00885353911018441,0.857948104449033,0.6834564062287352
control_best,12675_10.h5,0,17,0.08407853694050867,0.009366878033646773,0.9009407651259486,0.6044204034291936
control_best,12675_10.h5,0,18,0.08552286337175051,0.009541862079355104,0.9013920510298763,0.5952631408129112
control_best,12675_10.h5,0,19,0.08417933727663224,0.009398304013666698,0.8988079347841896,0.5567592456548985
control_best,12675_10.h5,0,20,0.08526351241255224,0.009523906752924655,0.8996512547349409,0.5344250218869716
control_best,12675_10.h5,20,1,0.029877994842302056,0.003338914716608126,0.5110745615829633,1.002423829082181
control_best,12675_10.h5,20,2,0.03797564049135256,0.004241031714970338,0.6167097611827705,0.9670516805132255
control_best,12675_10.h5,20,3,0.048392542994352465,0.005402429545639744,0.6410167725246237,0.8332850373077327
control_best,12675_10.h5,20,4,0.055115012905854056,0.0061525649419908405,0.6952209948800702,0.7180427844655746
control_best,12675_10.h5,20,5,0.05853945696479382,0.006524803338446038,0.7436921358936086,0.7109405220866367
control_best,12675_10.h5,20,6,0.06326487313405622,0.007052736332377414,0.7562454779742965,0.670749231787671
control_best,12675_10.h5,20,7,0.06668052339806516,0.007436535887782397,0.7857205844090615,0.6009597953841929
control_best,12675_10.h5,20,8,0.0660502961708675,0.0073560801764517465,0.8112142784455365,0.5777065435471771
control_best,12675_10.h5,20,9,0.06732881675525695,0.007496403178153644,0.8442076516796437,0.5060017323027737
control_best,12675_10.h5,20,10,0.06969390062853491,0.0077476454004108365,0.8236705788875641,0.5007512357319361
control_best,12675_10.h5,20,11,0.07519460343705213,0.008344499198067146,0.8508270612455436,0.4836132508161404
control_best,12675_10.h5,20,12,0.08099372367557851,0.008994317976837054,0.816126591073358,0.5343255419328611
control_best,12675_10.h5,20,13,0.08837530714712626,0.009806453304072213,0.8174319790076734,0.5365011913667483
control_best,12675_10.h5,20,14,0.09263423181292195,0.010278209440134066,0.8167973898431008,0.5078376055179858
control_best,12675_10.h5,20,15,0.09752780081195077,0.010819346924289291,0.7984059081672678,0.4982159613988884
control_best,12675_10.h5,20,16,0.10324515089443047,0.011457063806681269,0.8460407418545739,0.4870489292273081
control_best,12675_10.h5,20,17,0.10685247300828705,0.011873404284599572,0.8623531099814735,0.47507631530234223
control_best,12675_10.h5,20,18,0.10800561285222524,0.012001507054386936,0.8833446279473837,0.48659059672111804
control_best,12675_10.h5,20,19,0.11617665439047492,0.012918955759335903,0.9395049103784991,0.4305742979007605
control_best,12675_10.h5,20,20,0.1165998352906886,0.012952884052284773,0.9262629119507436,0.42087659934043403
control_best,12675_10.h5,40,1,0.037334966941832685,0.004143767724118593,0.8864376023342584,1.4796477501216603
control_best,12675_10.h5,40,2,0.04747073193149496,0.005274734183162278,1.0091293696672938,1.4666521944456927
control_best,12675_10.h5,40,3,0.05743900151912685,0.006385366622685178,1.0278728156889894,1.3100299767842203
control_best,12675_10.h5,40,4,0.06762719209791998,0.007528741132515596,0.9604772874163182,1.0738898899397806
control_best,12675_10.h5,40,5,0.07442152458376917,0.008295384994201077,0.926721402266668,0.9508427242581717
control_best,12675_10.h5,40,6,0.0796302454936933,0.008879748697763574,0.8643116120729698,0.8108419797359645
control_best,12675_10.h5,40,7,0.08477077317366787,0.009461041837606567,0.8820455988321065,0.7282282024629255
control_best,12675_10.h5,40,8,0.08919342788808308,0.00995369006011969,0.9241446094927588,0.6894832758254998
control_best,12675_10.h5,40,9,0.09477578253126613,0.010587188907182023,0.8920384109136734,0.6361823778569936
control_best,12675_10.h5,40,10,0.0981648860784859,0.010975338695414807,0.8174435612335955,0.6156777867147423
control_best,12675_10.h5,40,11,0.10538894265282309,0.011787215191913896,0.8440622997718428,0.523576601462361
control_best,12675_10.h5,40,12,0.11170849589143354,0.01250448483360455,0.8827976784014165,0.49010154092100194
control_best,12675_10.h5,40,13,0.11294659771261698,0.012643120275676696,0.8924697659186741,0.5142821409854725
control_best,12675_10.h5,40,14,0.1085088332012398,0.012136100644807317,0.87594448721114,0.587277629575372
control_best,12675_10.h5,40,15,0.11009505735437009,0.012323945440028463,0.8902477520713381,0.591214997319432
control_best,12675_10.h5,40,16,0.10681839471320231,0.011951506519385105,0.8545775842880431,0.5757057973368588
control_best,12675_10.h5,40,17,0.1070843412259068,0.011975374633033765,0.8826224760297319,0.5808536631106608
control_best,12675_10.h5,40,18,0.11417603050843729,0.012774582126983994,0.8938713397661601,0.5283486694458869
control_best,12675_10.h5,40,19,0.11709523544240803,0.01311301296196495,0.860042967552065,0.5189316916707669
control_best,12675_10.h5,40,20,0.12094698559689557,0.01355112159657279,0.854549571631093,0.49652524404767995
control_best,12675_10.h5,60,1,0.0343979034704794,0.0038538503824254596,1.1044390814979108,1.7003316763813203
control_best,12675_10.h5,60,2,0.0432085307600068,0.004842417739668853,1.024898185673009,1.6322859003655437
control_best,12675_10.h5,60,3,0.05237944585081623,0.005864201760547218,0.8039727810915211,1.374982970959337
control_best,12675_10.h5,60,4,0.06288118247319165,0.007038050194185203,0.6934174075058359,1.1474587324116472
control_best,12675_10.h5,60,5,0.0702532041616249,0.007869831652724108,0.6110441422008376,1.0910992576215555
control_best,12675_10.h5,60,6,0.07636528983064453,0.008556751823279736,0.6084270088685756,1.008912958795514
control_best,12675_10.h5,60,7,0.08567818521136097,0.009602030304561346,0.6774104380682626,0.8807753639699781
control_best,12675_10.h5,60,8,0.09389119122642736,0.010529063205767714,0.7316419303934862,0.7997424155251054
control_best,12675_10.h5,60,9,0.10007673052384221,0.011218443590844647,0.7713053750275531,0.7610331820425735
control_best,12675_10.h5,60,10,0.10664583318906581,0.011962962033290517,0.8094116465111418,0.7405440381184746
