experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
fluct_ramp_end_1p60,10125_0.h5,0,1,0.027044260912770686,0.0024487967343731994,0.8549226620499036,1.3941173850899145
fluct_ramp_end_1p60,10125_0.h5,0,2,0.03151945013436803,0.002855510548249956,0.7455004977520612,1.318859000983893
fluct_ramp_end_1p60,10125_0.h5,0,3,0.03682528702212894,0.0033362998458209775,0.7333533630700988,1.1819450319146396
fluct_ramp_end_1p60,10125_0.h5,0,4,0.03987706407971029,0.003612049458650932,0.8325428963545882,1.1404472571718578
fluct_ramp_end_1p60,10125_0.h5,0,5,0.040430353410345746,0.0036642863890899062,0.9512108796422419,1.1995105163404205
fluct_ramp_end_1p60,10125_0.h5,0,6,0.039838908743109594,0.003610241353623346,1.0558772810596435,1.3278745811552362
fluct_ramp_end_1p60,10125_0.h5,0,7,0.04005349493488721,0.0036350199068060076,1.1905397425922633,1.4722407152632748
fluct_ramp_end_1p60,10125_0.h5,0,8,0.04177286584386219,0.0037941577654727297,1.2414588647833793,1.5061466685944882
fluct_ramp_end_1p60,10125_0.h5,0,9,0.043269293135073085,0.0039350042916151875,1.347109273190389,1.5631462925449922
fluct_ramp_end_1p60,10125_0.h5,0,10,0.045125298353684166,0.004108142996541312,1.381515185473733,1.5999604863077008
fluct_ramp_end_1p60,10125_0.h5,0,11,0.044530686996338345,0.00405477922074006,1.399595072057824,1.6930678525254859
fluct_ramp_end_1p60,10125_0.h5,0,12,0.046552543193542475,0.004243625676395058,1.4299829288308996,1.6645879792293141
fluct_ramp_end_1p60,10125_0.h5,0,13,0.0461701242489476,0.004209741628377481,1.4687116934314253,1.6855211791051372
fluct_ramp_end_1p60,10125_0.h5,0,14,0.04709582197558542,0.004296438522147161,1.3604267002863235,1.6350306360629598
fluct_ramp_end_1p60,10125_0.h5,0,15,0.047679468195457084,0.004354677713583806,1.2531227503221583,1.626522023066132
fluct_ramp_end_1p60,10125_0.h5,0,16,0.0488912397949098,0.004470330378275041,1.3331862394791236,1.6330945397318
fluct_ramp_end_1p60,10125_0.h5,0,17,0.05160314274582273,0.004721993576297082,1.450174397116955,1.6557522358572798
fluct_ramp_end_1p60,10125_0.h5,0,18,0.055642553636778086,0.005095048712055865,1.4179803257881887,1.6524031266921353
fluct_ramp_end_1p60,10125_0.h5,0,19,0.05900899779423579,0.005403686637184291,1.4374311313718047,1.625746665074138
fluct_ramp_end_1p60,10125_0.h5,0,20,0.06263943701238157,0.005738486277032413,1.8528160535046603,1.9219150671681549
fluct_ramp_end_1p60,10125_0.h5,20,1,0.023525280903996172,0.0021570433034348835,0.5708555790216401,1.0808330959855155
fluct_ramp_end_1p60,10125_0.h5,20,2,0.03173590060651622,0.0029141439956830014,0.7378229553321295,0.9853341395672677
fluct_ramp_end_1p60,10125_0.h5,20,3,0.0340725569925652,0.003132065702547557,0.7436621009387864,0.9526478334228458
fluct_ramp_end_1p60,10125_0.h5,20,4,0.03729688207806208,0.0034310148091362728,0.8449375155516584,0.8982446541072118
fluct_ramp_end_1p60,10125_0.h5,20,5,0.03989135281870081,0.003673839441059628,0.9489027605583497,0.8573915586786967
fluct_ramp_end_1p60,10125_0.h5,20,6,0.038632499146575246,0.0035610111945692156,0.9321096659387971,0.954516112624325
fluct_ramp_end_1p60,10125_0.h5,20,7,0.039463255779805105,0.003641199931413602,0.9088545376730163,0.9559559727369689
fluct_ramp_end_1p60,10125_0.h5,20,8,0.03981002283109651,0.0036757473927997177,0.9271904906010906,0.9854476280735547
fluct_ramp_end_1p60,10125_0.h5,20,9,0.040370547008822685,0.0037298161516297447,0.8943086362749655,0.9342182333119288
fluct_ramp_end_1p60,10125_0.h5,20,10,0.0412788370283707,0.0038153947371289423,0.8903792232415725,0.8588523848173274
fluct_ramp_end_1p60,10125_0.h5,20,11,0.041894224994847885,0.003873400810961311,0.9334665735099468,0.8385555287463397
fluct_ramp_end_1p60,10125_0.h5,20,12,0.04183136477433954,0.0038691536911499977,0.9343851234271754,0.8401541862858809
fluct_ramp_end_1p60,10125_0.h5,20,13,0.04310211366392886,0.003990299981100458,0.9089492206410523,0.8068561955326979
fluct_ramp_end_1p60,10125_0.h5,20,14,0.045318952416487035,0.004198516145254482,0.9222868021256915,0.8050354002981646
