model,metric,mean,p95,max,max_row,max_col
fluct_ramp_end_1p00,u_rmse,0.013736511271332574,0.03154357317835092,0.03885576128959656,27,15
fluct_ramp_end_1p00,v_rmse,0.005687422957834087,0.01433690688572824,0.016937293112277985,16,46
fluct_ramp_end_1p00,velocity_rmse,0.010646804256850828,0.023186413198709482,0.028166908770799637,27,15
fluct_ramp_end_1p00,mean_field_rmse,0.005641156027124339,0.012124858843162655,0.01666000671684742,10,14
fluct_ramp_end_1p00,fluctuation_rmse,0.009012300981780186,0.019709822814911602,0.02310764789581299,28,15
fluct_ramp_end_1p00,tke_abs_error,9.86803368324754e-05,0.0003096799220656976,0.00044086098205298185,28,15
fluct_ramp_end_1p00,target_tke_mean,0.0002161901499250106,0.0008194572641514241,0.0010893363505601883,20,49
fluct_ramp_end_1p20,u_rmse,0.0138852222345065,0.0318790316581726,0.03896910697221756,27,15
fluct_ramp_end_1p20,v_rmse,0.005879393340535444,0.015051900362595913,0.017618631944060326,16,47
fluct_ramp_end_1p20,velocity_rmse,0.010800207112993121,0.023569781053811308,0.028362832963466644,27,15
fluct_ramp_end_1p20,mean_field_rmse,0.005641156029341232,0.012124858843162655,0.01666000671684742,10,14
fluct_ramp_end_1p20,fluctuation_rmse,0.009191346453121696,0.020173084363341327,0.023326287046074867,28,15
fluct_ramp_end_1p20,tke_abs_error,9.689303421524242e-05,0.00029804014338878903,0.000434744986705482,27,15
fluct_ramp_end_1p20,target_tke_mean,0.0002161901499250106,0.0008194572641514241,0.0010893363505601883,20,49
fluct_ramp_end_1p40,u_rmse,0.014102653818497402,0.03257181420922279,0.03910107910633087,27,15
fluct_ramp_end_1p40,v_rmse,0.006154221587507891,0.016211067512631416,0.018672674894332886,16,47
fluct_ramp_end_1p40,velocity_rmse,0.011026851790603587,0.024049779959022997,0.028583437204360962,27,15
fluct_ramp_end_1p40,mean_field_rmse,0.005641156025163241,0.012124858843162655,0.01666000671684742,10,14
fluct_ramp_end_1p40,fluctuation_rmse,0.009453185805753606,0.020845641661435363,0.023647496476769447,21,43
fluct_ramp_end_1p40,tke_abs_error,0.00010404651251738617,0.0003240136080421507,0.0004317994462326169,27,15
fluct_ramp_end_1p40,target_tke_mean,0.0002161901499250106,0.0008194572641514241,0.0010893363505601883,20,49
fluct_ramp_end_1p60,u_rmse,0.014383911935965443,0.033185872994363305,0.03925149515271187,27,15
fluct_ramp_end_1p60,v_rmse,0.006498888250334289,0.01772630028426647,0.02001222036778927,16,47
fluct_ramp_end_1p60,velocity_rmse,0.011319933170511831,0.024701009690761565,0.028828155249357224,27,15
fluct_ramp_end_1p60,mean_field_rmse,0.005641156031273908,0.012124858843162655,0.01666000671684742,10,14
fluct_ramp_end_1p60,fluctuation_rmse,0.00978798468602804,0.021702249348163602,0.024830743670463562,21,43
fluct_ramp_end_1p60,tke_abs_error,0.00011914783742629498,0.0004012950739706866,0.000501367321703583,20,47
fluct_ramp_end_1p60,target_tke_mean,0.0002161901499250106,0.0008194572641514241,0.0010893363505601883,20,49
