experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2,delta_rel_pct_vs_current80,delta_tke_contrib_pct_vs_current80
B_angle_aug_2deg,1,0.03918402586010213,0.008233809428590096,0.003696372999566413,0.006381958596632492,0.5636557353979934,1.0598025679868353,0.08120438820611678,0.009482209159841144,0.8572998046875,0.7781185669728542,-0.46773029024346346,-0.7553331994419724
B_angle_aug_2deg,2,0.049590002139306325,0.010557864160350476,0.004234638275076675,0.008043651439152415,0.5870280186285569,1.0089361673155195,0.08086266579202424,0.008497249254157744,0.808154296875,0.7621310552020135,-0.3160713840609938,-0.7517649357742797
B_angle_aug_2deg,3,0.05783707709668664,0.012459778309944412,0.004768749996455379,0.00943363800613672,0.597651627751129,0.9167463632642935,0.08405343885912438,0.0077146292675126255,0.7764556884765625,0.7888294007021223,-0.26475925785140725,-0.7035084784068757
B_angle_aug_2deg,4,0.06518395296377881,0.014148701237613866,0.005258703373888628,0.01067332440914741,0.62031089417437,0.815475373695745,0.0868433756448526,0.0068332648629213875,0.7469169616699218,0.8046199271229,-0.19151364860128559,-0.3356182237590268
B_angle_aug_2deg,5,0.06874305853399805,0.014902293387374352,0.0056297404185463576,0.011264375823444365,0.6424381020797204,0.7592941548613744,0.08804857272183357,0.006574580335431932,0.7303321838378907,0.8102181459070923,-0.19617461363203695,-0.1635986342626148
B_angle_aug_2deg,6,0.07172241217505196,0.015435362603958532,0.005948689540351856,0.011696951012190593,0.6615289687009348,0.7306582665199005,0.08717304021838972,0.0062401151365248575,0.7053207397460938,0.7896358923663053,-0.16865839873583818,-0.08143423658717257
B_angle_aug_2deg,7,0.07442822973594054,0.01595764756791862,0.006208335071714052,0.012107640981309564,0.68370843520829,0.7034360795925997,0.08894691798528635,0.00617594955278162,0.698529052734375,0.8015579735428103,-0.1406594660555859,-0.02753294424497799
B_angle_aug_2deg,8,0.07685029556088341,0.01642734677585354,0.006438234792246223,0.012476149031937611,0.7053688379661907,0.6805056975051805,0.0911610749910013,0.006132277399850915,0.6919845581054688,0.8149471048856967,-0.12817869579951555,0.03137824850971451
B_angle_aug_2deg,9,0.07882409607891776,0.016769335937043845,0.006632473953093644,0.012751477140078632,0.72193162312541,0.6636905197082357,0.09276539743533184,0.006082281906357777,0.6903289794921875,0.8250506341333261,-0.09214494465798079,0.042976428395813226
B_angle_aug_2deg,10,0.08069009677475175,0.017112228556315185,0.006824528794281608,0.01302694437363474,0.7345251219775097,0.6453151294790455,0.09448086115208473,0.006044205376630833,0.6880416870117188,0.8330860006370642,-0.06981146076411467,0.04533889144316605
B_angle_aug_2deg,11,0.08244462069488707,0.01744903392567173,0.007050998470958895,0.013307617449729829,0.7359014463092767,0.6288447386692344,0.09620647332738329,0.006048969410684058,0.6858894348144531,0.8350955589415298,-0.042944879049047695,0.07995492170939876
B_angle_aug_2deg,12,0.08423462055285776,0.017746244756946777,0.007315181582500348,0.013572786828032283,0.7304039087343975,0.6071537649902498,0.09806309305775766,0.006084444436846511,0.6838104248046875,0.8344227578028118,-0.023062326197655605,0.08033725930097119
B_angle_aug_2deg,13,0.08615560762862921,0.018073991750432828,0.007582281421502814,0.013859295966057955,0.722210141144348,0.5867770110717248,0.09990760685399573,0.006156900694103332,0.6798599243164063,0.834960964339938,-0.02210807889242252,0.06869069140721724
B_angle_aug_2deg,14,0.08790196332186521,0.018315871777915237,0.007884635818193007,0.014100330509788837,0.7116718156131114,0.5672782468960225,0.10215040479677992,0.006289466798252746,0.6795394897460938,0.834177700825893,-0.015151232583209509,0.10178331615439311
B_angle_aug_2deg,15,0.08962711721064483,0.01854729256675469,0.008156796682745644,0.014327166392564237,0.7039301841488947,0.5468842462431075,0.10459362691449739,0.006450190337202815,0.6891708374023438,0.8328993655131377,-0.010715994594221559,0.09039271121623683
B_angle_aug_2deg,16,0.09130071456226671,0.018787596444420646,0.008430970815316902,0.014561164943903573,0.6991755184345697,0.526889092591546,0.10756155852229492,0.006756366030659731,0.6951461791992187,0.8540518422774976,-0.0058159189316288,0.0959447888951223
B_angle_aug_2deg,17,0.09316687779645128,0.0191168416882856,0.008700012067322524,0.014851663982640663,0.701851758031861,0.5000582995635152,0.11009645819757127,0.006906336042114876,0.7036201477050781,0.8585947428171025,-0.01161599483129779,0.06604166873544112
B_angle_aug_2deg,18,0.09521304145071322,0.01947202383709606,0.008919804904424485,0.015144679459226467,0.7104262849136841,0.46821957473268105,0.1130859449688963,0.007028649662458466,0.7068138122558594,0.8730365190358025,0.001976092110103055,0.05380186074417212
B_angle_aug_2deg,19,0.09757975757077242,0.01992521294539877,0.009121443010144614,0.015495399857809459,0.723170422779374,0.4355692332406842,0.11557008039302286,0.007161046058904253,0.7048240661621094,0.8727195178404026,-0.003955474167331467,0.017121596527167354
B_angle_aug_2deg,20,0.10006012139403224,0.020404886696708258,0.00934982341388319,0.015871020744997782,0.7383673477298787,0.39901997262649275,0.11688906028992566,0.007289843779496064,0.697247314453125,0.8888404051646553,-0.027876243547689437,0.016905397155588968
