experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
B_angle_aug_2deg,10125_0.h5,0,1,0.025148770063938942,0.0022771643198056563,0.7381126871806027,1.289386233983732
B_angle_aug_2deg,10125_0.h5,0,2,0.0292698774992176,0.002651710089760286,0.6215617343297637,1.1355133407577682
B_angle_aug_2deg,10125_0.h5,0,3,0.03420464731780378,0.0030988749525339703,0.6470656884396737,0.9445596392085597
B_angle_aug_2deg,10125_0.h5,0,4,0.037027344061732276,0.0033539228917685536,0.716681453224633,0.8526381720965798
B_angle_aug_2deg,10125_0.h5,0,5,0.0373366440521326,0.0033838971236772606,0.7850999137610569,0.8547129259156637
B_angle_aug_2deg,10125_0.h5,0,6,0.03650985172404735,0.003308558910555242,0.779699858374136,0.9198939658565284
B_angle_aug_2deg,10125_0.h5,0,7,0.036514538205443224,0.0033138449835748,0.7711493719028624,0.9992282554980771
B_angle_aug_2deg,10125_0.h5,0,8,0.03797747145324679,0.0034494286019527954,0.8054240127709773,0.9963031474417122
B_angle_aug_2deg,10125_0.h5,0,9,0.0391606872523243,0.0035613586734466077,0.8622701402359013,1.0046597176042027
B_angle_aug_2deg,10125_0.h5,0,10,0.04088564311749248,0.0037221708123842488,0.8540671928934643,1.0004341322377959
B_angle_aug_2deg,10125_0.h5,0,11,0.04026414937277072,0.003666286042946279,0.7820677711689995,1.030857614775404
B_angle_aug_2deg,10125_0.h5,0,12,0.042253278948585875,0.003851714367411281,0.7971748511813278,0.9864721223624165
B_angle_aug_2deg,10125_0.h5,0,13,0.04183875005890795,0.0038148116486015366,0.7928237404095442,0.9731731713184756
B_angle_aug_2deg,10125_0.h5,0,14,0.04255166583928114,0.003881886091471034,0.7537666111656718,0.9144742158988116
B_angle_aug_2deg,10125_0.h5,0,15,0.042828452925068795,0.003911623105683893,0.6595767482603845,0.8754556930655957
B_angle_aug_2deg,10125_0.h5,0,16,0.04346430034075109,0.003974122623987108,0.7094957706102322,0.8451116846663325
B_angle_aug_2deg,10125_0.h5,0,17,0.045390923717297076,0.0041535386957147705,0.8137781966344391,0.8140581396327742
B_angle_aug_2deg,10125_0.h5,0,18,0.048138832996298425,0.0044079518826315445,0.8272005895482265,0.7603323131010427
B_angle_aug_2deg,10125_0.h5,0,19,0.049950326229848525,0.004574148358059299,0.8310113829202188,0.7068747332732668
B_angle_aug_2deg,10125_0.h5,0,20,0.050634196249673226,0.0046386694099738125,0.8756741555465087,0.7700911338926572
B_angle_aug_2deg,10125_0.h5,20,1,0.021914951884534913,0.0020093915307767417,0.5243933214959032,0.9743780285879992
B_angle_aug_2deg,10125_0.h5,20,2,0.030468522772266853,0.0027977672288241723,0.699001372811676,0.8128519100751292
B_angle_aug_2deg,10125_0.h5,20,3,0.03265421994508765,0.0030016873214349705,0.6777105720205302,0.7146653219292635
B_angle_aug_2deg,10125_0.h5,20,4,0.03565904586474898,0.0032803469787515372,0.7528102046217504,0.6269440881623188
B_angle_aug_2deg,10125_0.h5,20,5,0.03827271995276999,0.0035247696090467033,0.8929546379897608,0.5755738315796902
B_angle_aug_2deg,10125_0.h5,20,6,0.03665225104092007,0.0033784787198901166,0.8174569109775284,0.6238603358028214
B_angle_aug_2deg,10125_0.h5,20,7,0.03769078673415717,0.0034776575667527345,0.8025927627623007,0.6151094617257435
B_angle_aug_2deg,10125_0.h5,20,8,0.03819937851160855,0.003527033043069151,0.7476050839718462,0.6224562282165431
B_angle_aug_2deg,10125_0.h5,20,9,0.038888355169110884,0.003592877133628262,0.7482290450286487,0.5797143535394895
B_angle_aug_2deg,10125_0.h5,20,10,0.04009293696843541,0.003705782229287982,0.7716600401453912,0.5238573969176574
B_angle_aug_2deg,10125_0.h5,20,11,0.04057820195284768,0.0037517256941939224,0.7977065247626556,0.503282125400049
B_angle_aug_2deg,10125_0.h5,20,12,0.0402951631001073,0.003727064127248115,0.7839805773822972,0.4965704234198551
B_angle_aug_2deg,10125_0.h5,20,13,0.04145806589669971,0.0038380976128905473,0.7938159852233961,0.4676074480742085
B_angle_aug_2deg,10125_0.h5,20,14,0.04316577670487598,0.00399903794669224,0.801510764761472,0.451575881795883
B_angle_aug_2deg,10125_0.h5,20,15,0.04480195559396742,0.004153734342685022,0.8086909008041803,0.4199983829132712
B_angle_aug_2deg,10125_0.h5,20,16,0.045455174843622305,0.004214129236064022,0.8041551061429947,0.40383694309172
B_angle_aug_2deg,10125_0.h5,20,17,0.045672204998038896,0.004234247271212582,0.7825690406537956,0.367500454129799
B_angle_aug_2deg,10125_0.h5,20,18,0.04798251727959854,0.0044497394865876125,0.8050670887800451,0.32739647443110537
B_angle_aug_2deg,10125_0.h5,20,19,0.04968429640280915,0.004608460829530295,0.8298949254699335,0.2973874672679857
B_angle_aug_2deg,10125_0.h5,20,20,0.05140239637904405,0.004772080025215029,0.8597644076828603,0.2992592777763557
B_angle_aug_2deg,10125_0.h5,40,1,0.022718636653925907,0.0021102462622410957,0.6746566040362437,1.188483630039261
B_angle_aug_2deg,10125_0.h5,40,2,0.026913128742653294,0.002501765345983229,0.669063270514621,1.0535427785403086
B_angle_aug_2deg,10125_0.h5,40,3,0.03152110836498778,0.0029331282111977296,0.6783773526670299,0.9103796296782417
B_angle_aug_2deg,10125_0.h5,40,4,0.03335779065143279,0.003104098498550043,0.6725766807586826,0.8718197719764198
B_angle_aug_2deg,10125_0.h5,40,5,0.03567133168519087,0.0033192739772358168,0.7078849095657839,0.7998427545266723
B_angle_aug_2deg,10125_0.h5,40,6,0.036332775185705615,0.0033792899440511517,0.6731960052265356,0.7838128866155274
B_angle_aug_2deg,10125_0.h5,40,7,0.03824564123801099,0.003555340492968987,0.6806687509153994,0.7461887240653959
B_angle_aug_2deg,10125_0.h5,40,8,0.03708691122430246,0.0034488598651312313,0.5756955482924078,0.77916143476219
B_angle_aug_2deg,10125_0.h5,40,9,0.03581627011682988,0.003329961236957054,0.54315946705975,0.8193229479575569
B_angle_aug_2deg,10125_0.h5,40,10,0.036577631263767826,0.0033988895178015746,0.5596125460815322,0.7965083485934329
B_angle_aug_2deg,10125_0.h5,40,11,0.03682331754745312,0.0034212987172813057,0.5447584513017173,0.7800186501534875
B_angle_aug_2deg,10125_0.h5,40,12,0.03782065531121239,0.0035104556613268375,0.5415116817713805,0.7330579485255567
B_angle_aug_2deg,10125_0.h5,40,13,0.038869624994964484,0.0036055336120584852,0.5868831152013699,0.693313110886718
B_angle_aug_2deg,10125_0.h5,40,14,0.04003689673045543,0.003712341230281805,0.5755738260950995,0.648653433304814
B_angle_aug_2deg,10125_0.h5,40,15,0.04027160984114714,0.0037291594370691657,0.5653576417276935,0.6091538403380592
B_angle_aug_2deg,10125_0.h5,40,16,0.041377252440044775,0.0038287959384895615,0.5987299086179252,0.5917196893912255
B_angle_aug_2deg,10125_0.h5,40,17,0.042321457260423266,0.003912228933696493,0.6180201332325024,0.6130462891080545
B_angle_aug_2deg,10125_0.h5,40,18,0.043336711258290014,0.00400275373621563,0.6319431107794338,0.6486704298625239
B_angle_aug_2deg,10125_0.h5,40,19,0.04515311412417895,0.00416827599583571,0.5844554410948875,0.6446490216332084
B_angle_aug_2deg,10125_0.h5,40,20,0.046083865815511764,0.004249239188451009,0.5999179666997,0.5978975318582831
B_angle_aug_2deg,10125_0.h5,60,1,0.022392366179127314,0.0020621432908010376,0.6818792050566598,1.2697365327667638
B_angle_aug_2deg,10125_0.h5,60,2,0.027256227697231676,0.0025072088309160824,0.6739625019558871,1.1496952184824525
B_angle_aug_2deg,10125_0.h5,60,3,0.03332461059835368,0.003062319083530532,0.6530652297916457,0.973828081134093
B_angle_aug_2deg,10125_0.h5,60,4,0.0402908467459548,0.0036993610783063982,0.8287647705444534,0.8301486635349615
B_angle_aug_2deg,10125_0.h5,60,5,0.047213505938279714,0.004334391255874191,0.9227308173111594,0.6882646828611779
B_angle_aug_2deg,10125_0.h5,60,6,0.05100063236845713,0.0046805731236332394,0.9225339144369872,0.6251006239680116
B_angle_aug_2deg,10125_0.h5,60,7,0.04649368736335438,0.004262532675200613,0.820677737907416,0.6981966059921756
B_angle_aug_2deg,10125_0.h5,60,8,0.04171092344178812,0.0038207186930062044,0.58892624085935,0.742406763217025
B_angle_aug_2deg,10125_0.h5,60,9,0.035837621206160956,0.0032779695058806966,0.3465570353154462,0.8038982890172262
B_angle_aug_2deg,10125_0.h5,60,10,0.037554340364022505,0.0034302456043240758,0.3412421021839718,0.7740328954560983
B_angle_aug_2deg,10125_0.h5,60,11,0.0395299143644043,0.0036063381588149453,0.40297343992510465,0.7491408606284082
B_angle_aug_2deg,10125_0.h5,60,12,0.04014483847724893,0.003657872495254695,0.4259158693868122,0.7385169361343594
B_angle_aug_2deg,10125_0.h5,60,13,0.039293703828810526,0.003576596327302159,0.45805770083365527,0.7515308545589526
B_angle_aug_2deg,10125_0.h5,60,14,0.03912476793609208,0.003558377280227003,0.4794631556419629,0.7353791021854243
B_angle_aug_2deg,10125_0.h5,60,15,0.03978567341685323,0.0036167338627120242,0.5248731054040735,0.6623610631254357
B_angle_aug_2deg,10125_0.h5,60,16,0.04088825428101776,0.003716269207182581,0.5837555232160542,0.6230507537757163
B_angle_aug_2deg,10125_0.h5,60,17,0.04309101289470349,0.003915401805863553,0.5926260342451976,0.5943883006209896
B_angle_aug_2deg,10125_0.h5,60,18,0.043939257151240224,0.003990786468050057,0.6269580961015253,0.5777470857818524
B_angle_aug_2deg,10125_0.h5,60,19,0.04725673401415112,0.0042919181536119465,0.7094509796279482,0.5257352073408486
B_angle_aug_2deg,10125_0.h5,60,20,0.05023898261973701,0.004559359394858165,0.7431167148451059,0.5056858178613745
B_angle_aug_2deg,10125_0.h5,80,1,0.022705088830968237,0.002059967597076616,0.3549196366724071,1.1720228573850056
B_angle_aug_2deg,10125_0.h5,80,2,0.028026855418567434,0.0025430166080350285,0.3728150166701616,1.0553414262450143
B_angle_aug_2deg,10125_0.h5,80,3,0.030842858872587933,0.002797556774634079,0.42740777950569786,1.002568234345889
B_angle_aug_2deg,10125_0.h5,80,4,0.033079164620610356,0.003001662791207497,0.4087340405417888,0.9068573699128998
B_angle_aug_2deg,10125_0.h5,80,5,0.03441316606913168,0.003124055977629365,0.38151938793352996,0.8660829149634388
B_angle_aug_2deg,10125_0.h5,80,6,0.036774914603683415,0.003338224504858328,0.3932343641387103,0.8659645356373685
B_angle_aug_2deg,10125_0.h5,80,7,0.03712689310797869,0.0033682304097921354,0.3877719329149701,0.9030368292811133
B_angle_aug_2deg,10125_0.h5,80,8,0.03625352177105344,0.003286331514895357,0.3433374637169586,0.9324328559798603
B_angle_aug_2deg,10125_0.h5,80,9,0.035712867787519705,0.00323427658605985,0.3452914848949493,0.942045935918442
B_angle_aug_2deg,10125_0.h5,80,10,0.03859906022899038,0.0034932701771502213,0.39626732443929974,0.8807383814792471
B_angle_aug_2deg,10125_0.h5,80,11,0.040246782529284146,0.0036403137073368406,0.4356509323437412,0.8555208661509985
B_angle_aug_2deg,10125_0.h5,80,12,0.042606805072092406,0.0038525158306799453,0.49761012965854545,0.8349642323617236
B_angle_aug_2deg,10125_0.h5,80,13,0.04029201305399912,0.003639248057385305,0.362601121844406,0.8846171319002633
