filename	size_bytes	sha256
10125_0.h5	63007417	1d12c4e6a8bc0b8410c9921452fc262112244a386eba753e1ca4ec70fafc2b7a
10125_10.h5	92013762	7a83a11d7893d5976b753f6ffd1c4e68c6d59e89fbdece2e2014283d221e8de7
10125_15.h5	92081067	4f6beecc26513f2bbc65357ac9a92327324fe8e7ba8fa6f9265db4172d2fd183
10125_20.h5	97178191	31e64531053b583e2ce5dd38fd8513d9eb80ca3ab51db2a921909695af1623a2
10125_5.h5	89270360	6d5ba60d7c7044182e4151b071690205e121cc36c00ea16683fb0de58c5cf321
11400_0.h5	89574593	9e056bc6dc152dad856208785c918633aac4ac368e282eca96c09a408815f76d
11400_10.h5	92136887	c1b51797305343f1e79c58efefc95f690323a0780474cad03340e259b3b0a0ae
11400_15.h5	91973209	3c97281b99888046acdd3b4574eabd9bdcfcfca2ab91f6f2f5427afaa4690e79
11400_20.h5	97236776	46afe94cf6852748fed26a618697d23f9798a6a51f75071e8887601eeb58a6dc
11400_5.h5	89097843	eae6855bf81d00aa9b3f170b9aaf27e484231ef7f2818f14fa500815670b3034
12675_0.h5	89452813	7128d68c21a97a9e33869c6132138a40fdff1cb5564e5aca13485f86685b03ae
12675_10.h5	92320472	a624bb2861c25ec9eb8d48bcfe50dc7e942bc43a006bc39b12a7d5cdf2cc6853
12675_15.h5	91939932	4ea7232b777499e477216e4d32e64c88e179a8df18fa6f6a288966dd4d6e7070
12675_20.h5	97279539	c871349bb61d3eede206a53df0afd2ac8b93c68a13fbd348acf6e3a914f44fc9
12675_5.h5	89268658	143a9f3a70011f1b1f72de16b8c4d37f0ca372003c80fd93ea089c769122b7b4
13950_0.h5	89795144	b3ac171583865aea47b95abc10fc7fdad19ba03c877a3fa83399c4731eb608ce
13950_10.h5	92592923	6e1348479784dcd28c3e4a49833cb978c9cb9f32a10bb6a1316df9a51c18fabf
13950_15.h5	91904602	a97ae56e179173fa2fe093ee59ab005c26e5900aa8d6b4b9ceabaee022c0effd
13950_20.h5	97288709	0c8ae6f2ae41e11d1cd72fa9c2655d425112860d49fffdb1fefd2ed92644c86f
13950_5.h5	89639951	61bbec3206641def39cc8e985fc1938e901bc978feafd66df5102f020a5165fc
16500_0.h5	89259224	b58099698b02315f1c332f2e2dbfa1e16298af6a488ceb74e3b174d1d023564f
16500_10.h5	92649728	96a23573e6ab83ad7fd4ea476a1f00069bd1003fee5ebe0c61c0b75aca725d0f
16500_15.h5	91475354	bc8936272415cfa60038fe5e5f7b6f419bb00e56b70e07c5c9705fb9fb9e1f28
16500_20.h5	97127286	b56cb47b1f8d52427b58372d1b5ff737d2e6d984bc0aaa16d81b8f31022cf9d4
16500_5.h5	90488153	c27dc3642b2dc81188b80a39bce89435c66fdeeaf3cfe7ee1e2297996928c689
17775_10.h5	92850426	e3996791b5d5c4fea0de1f40442f2efd5f4c857768ac3ff1a2db7f4dd3296112
17775_15.h5	91228822	4d4b77c0340c84cd3b782fdad1cf10cf5637ff285ff8884dcd978f5fd2db633c
17775_20.h5	97166258	984e5103231860125a6c260964c3dd314d781013b353fb5267682fb8a00bc15e
17775_5.h5	90254067	2152659ded6f48f699f54ac74d6b6b588774e7c6e89df9aff9a1d26d24270657
19050_0.h5	88595842	3c85f08485e2eb87e94880899593abbfb7667c9d75057cbad89134b66e790ee1
19050_10.h5	92710610	fce769ea6eaba3ae9a4d60ce78028639d0795f37206273b799a616e5d7744c13
19050_15.h5	91055494	06d03ca19294d7bdd8f1ec5039e6846faf67ae1652ff8f743e1f12464cc67fcb
19050_20.h5	97128083	f15c91acb2e8a97ace41f6f20d12827ede428226dd8aa305f69e415ce6a0332f
19050_5.h5	89871804	56fe4a3aa535b4012ab05dc9b6244b239910ed1e28d13b4968ce709e68cf0c48
20325_0.h5	88336541	164fca40de703a3da96aadf07f8bf84faf1106abedc5abb427896d6a1bf29fb8
20325_10.h5	91928614	09e661919ebb203288aff07f869996b0a6411196c05324f9ef465e09964bba85
20325_15.h5	90887824	277b8a0ddca5252d0b86d31bb83720611d63e5b70f574fe9194e2bf542e4dbe1
20325_20.h5	97061234	75f89d57ffe30d5484e3fccad345b3246422645fbb9ab847bb0e624aba9948bf
20325_5.h5	89893029	5eea7900ae7da943a06c2bca51c0b90c3bcefa49ffb4d11163f7221c9d579993
