experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
dense_stride1_5k,1,0.03903710952169472,0.008175040010057847,0.0037224657392419622,0.006351693882181225,0.5691334339898716,1.065915291870188,0.08120487846142334,0.009457786680474716,0.8588470458984375,0.7781264523276497
dense_stride1_5k,2,0.04948363984372713,0.010528914220587717,0.004248156227670009,0.008028227263823117,0.5916542013049726,1.0111280751707656,0.08086436354281422,0.00842185364407067,0.8100692749023437,0.7621498185578108
dense_stride1_5k,3,0.057781060222476845,0.01245767390691465,0.004761437959089933,0.0094304011210893,0.6011389796602508,0.9099911987349721,0.08405429185821359,0.007572839053851245,0.7791374206542969,0.7888419475159265
dense_stride1_5k,4,0.06519870230075754,0.014189586344650632,0.005237314244213348,0.010695181651681651,0.6229665415836024,0.802173169894173,0.08684397467519014,0.0065914650626414314,0.7507072448730469,0.8046276515994741
dense_stride1_5k,5,0.06887795801150041,0.014988832880089769,0.005612908701096701,0.011317461181601362,0.6455547950095497,0.7467149613818357,0.08804911097902446,0.0063072219627333115,0.7333610534667969,0.8102252572514604
dense_stride1_5k,6,0.07190532409859082,0.015532464517440782,0.005929412632149956,0.011756176847680043,0.6653075226194968,0.7191346325265789,0.08717273867311244,0.00592355356596186,0.7097953796386719,0.7896370695236615
dense_stride1_5k,7,0.07464875986146348,0.016067755492697004,0.006188156551198454,0.012175098522706805,0.6873819839420452,0.6898280631802887,0.08894695139754252,0.005800800262426159,0.7032455444335938,0.8015581605000094
dense_stride1_5k,8,0.07714182499515587,0.016560827815022557,0.006419252344436894,0.012559216109701734,0.7092592981936123,0.6642267015796467,0.09116042059228917,0.005710128982744104,0.6975776672363281,0.8149502614136939
dense_stride1_5k,9,0.07919339531165252,0.016937315297358896,0.006613754836766229,0.012857184810894578,0.7263134612863096,0.6454557968274571,0.09276502574918523,0.005624983712131234,0.6968208312988281,0.825051002858746
dense_stride1_5k,10,0.08112347917347026,0.017304282227690555,0.006807306025243586,0.013148718544726795,0.7397362242784061,0.6251211874115304,0.094480688719321,0.005561304568471385,0.6940216064453125,0.8330913128615738
dense_stride1_5k,11,0.08291376176391849,0.017639837362958606,0.007035084761262938,0.013428631348536316,0.7418388667597121,0.6073859323148585,0.09620637502389366,0.00554840699074977,0.6914283752441406,0.8351004130984769
dense_stride1_5k,12,0.08471518934053779,0.017926183409245584,0.007303210272556235,0.013687310398816162,0.7361200602141201,0.5850639621272001,0.09806324690381958,0.005579176471753615,0.6891700744628906,0.834428308668057
dense_stride1_5k,13,0.08664439503670716,0.01824229848053653,0.007578381058085477,0.01396805844264933,0.7283251801558448,0.5644111972889709,0.09990767134829234,0.005654678339276913,0.6844764709472656,0.8349659599892302
dense_stride1_5k,14,0.08838809310770034,0.018471214186576112,0.007888286310981015,0.014202302884574414,0.7180242553580365,0.5449868346886322,0.10214990092201628,0.0057770242827486,0.6845741271972656,0.8341810863202301
dense_stride1_5k,15,0.09012043954194857,0.01869551548031707,0.008169386763287566,0.014426731770622085,0.7102967510133569,0.5254778894873293,0.10459332204015155,0.005936713049610499,0.6930519104003906,0.8329068264255955
dense_stride1_5k,16,0.09179969583710203,0.01894287419815757,0.008442173591007683,0.014664630541338755,0.7059505775025261,0.5057849685994961,0.10756152724579704,0.006258815527217312,0.6996200561523438,0.8540594267635402
dense_stride1_5k,17,0.09365339852612628,0.019273337642813207,0.00870528213439572,0.014953987443710622,0.7092422462481798,0.47833681958124824,0.11009646199974377,0.006414588839912088,0.7069351196289062,0.8586009544902934
dense_stride1_5k,18,0.09560554078892165,0.01959900600880516,0.008920347387358564,0.015226516903815133,0.7175129256811396,0.445516015123058,0.11308499102662592,0.006562683854793002,0.7099990844726562,0.8730301859631624
dense_stride1_5k,19,0.09783876437289458,0.02000588901406428,0.00912231259765402,0.015547542930835968,0.7288064863715291,0.41405572064524804,0.11556954168954672,0.006777170487731489,0.7083511352539062,0.872718832773454
dense_stride1_5k,20,0.10018463895579174,0.02044897267926335,0.00934267612025253,0.0158972651850121,0.7419920978660306,0.38329726185329943,0.1168886060764092,0.0069944820869823525,0.7006156921386719,0.8888393076736018
