experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
dense_stride1_5k,10125_0.h5,0,1,0.025302859609376734,0.0022911167800664925,0.7526782151765641,1.3051968396121063
dense_stride1_5k,10125_0.h5,0,2,0.029397309222014188,0.002663254790796506,0.6269126046237962,1.1415503585138838
dense_stride1_5k,10125_0.h5,0,3,0.03433998535349289,0.0031111363170504766,0.6505519781039393,0.950655010750001
dense_stride1_5k,10125_0.h5,0,4,0.03713294871076428,0.0033634885211389757,0.7354840075616818,0.8669958923537365
dense_stride1_5k,10125_0.h5,0,5,0.03755390608070323,0.003403588029815956,0.8171789350649067,0.8868519028138272
dense_stride1_5k,10125_0.h5,0,6,0.03681777572020844,0.0033364632879537815,0.8366386582017191,0.9693846753677827
dense_stride1_5k,10125_0.h5,0,7,0.036718884821438195,0.0033323902820122445,0.8602004363147909,1.0456135957604005
dense_stride1_5k,10125_0.h5,0,8,0.037870251128316705,0.0034396899637188145,0.8887285460110732,1.037095853490069
dense_stride1_5k,10125_0.h5,0,9,0.03880563438109651,0.0035290693876551746,0.9434392658466912,1.0422491400007108
dense_stride1_5k,10125_0.h5,0,10,0.040380011347668526,0.0036761388150387624,0.9362603866028874,1.0351293808946365
dense_stride1_5k,10125_0.h5,0,11,0.03981604198099549,0.0036254832468659124,0.8691410613411928,1.0652004798457049
dense_stride1_5k,10125_0.h5,0,12,0.04203129378376729,0.0038314786964773334,0.8790498073897938,1.0152526340725192
dense_stride1_5k,10125_0.h5,0,13,0.04163971070882635,0.0037966634575071017,0.8670331829203666,0.9963075331640924
dense_stride1_5k,10125_0.h5,0,14,0.0424212602382588,0.0038699895022570987,0.8034563305021625,0.9339806167552478
dense_stride1_5k,10125_0.h5,0,15,0.042880719683861285,0.00391639675141211,0.6893176618961933,0.8957338141546561
dense_stride1_5k,10125_0.h5,0,16,0.04351401761130696,0.003978668481809964,0.7177970881115399,0.8579462435126275
dense_stride1_5k,10125_0.h5,0,17,0.04544734309779213,0.004158701403606198,0.8011967256511119,0.8117613527314999
dense_stride1_5k,10125_0.h5,0,18,0.04836141886951719,0.0044283335113049545,0.8263542788632088,0.7611461914200303
dense_stride1_5k,10125_0.h5,0,19,0.0500074623273279,0.004579380535828642,0.8305315140339142,0.7108071382633991
dense_stride1_5k,10125_0.h5,0,20,0.05075203004854057,0.004649464328798469,0.8832451790708986,0.7899627741870289
dense_stride1_5k,10125_0.h5,20,1,0.02187379033929781,0.0020056174106769624,0.5311836229224438,0.9828240747717878
dense_stride1_5k,10125_0.h5,20,2,0.03033809173319597,0.0027857904195294943,0.698176357577403,0.8091786470602262
