experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
A_train65_fixed_stride20,10125_0.h5,0,1,0.027272236872985616,0.002469439442587356,0.9539904246321773,1.4441195162651137,0.03575024912567541
A_train65_fixed_stride20,10125_0.h5,0,2,0.03146709500441068,0.0028507674253461317,0.7828356074900664,1.3055533043315597,0.03040583300263365
A_train65_fixed_stride20,10125_0.h5,0,3,0.03683381718955854,0.0033370726625070487,0.7559704816071535,1.1163989946728137,0.04082894019166532
A_train65_fixed_stride20,10125_0.h5,0,4,0.039646397642342075,0.0035911557795536065,0.8694458068278376,1.0694654901965155,0.042760362194028435
A_train65_fixed_stride20,10125_0.h5,0,5,0.04059949455388986,0.003679616000083735,0.9791700286798712,1.0776941739375894,0.03808038314453144
A_train65_fixed_stride20,10125_0.h5,0,6,0.03963350499055305,0.0035916274622025002,1.0206236000092683,1.1002544046422387,0.035789644925344505
A_train65_fixed_stride20,10125_0.h5,0,7,0.038359171429423425,0.0034812530587209015,1.0090210768307593,1.0940145363542433,0.04549699531933238
A_train65_fixed_stride20,10125_0.h5,0,8,0.03914186278856324,0.003555188270045786,0.9668010714993993,1.0716986444493382,0.056404788786163076
A_train65_fixed_stride20,10125_0.h5,0,9,0.040159338313901304,0.003652178188359045,0.9818490616681389,1.0796516677712087,0.06703539449138915
A_train65_fixed_stride20,10125_0.h5,0,10,0.04181711201468551,0.0038069704162895157,0.9645840947283455,1.0668010288023395,0.06792681932697318
A_train65_fixed_stride20,10125_0.h5,0,11,0.04186934158836613,0.003812448172482366,0.898051512888856,1.0930029633195313,0.07094225827814125
A_train65_fixed_stride20,10125_0.h5,0,12,0.04455682776239723,0.004061700723097107,0.8759787337743424,1.0478962751767087,0.08150865360880422
A_train65_fixed_stride20,10125_0.h5,0,13,0.044374114712054,0.004045983435489436,0.8615560010055834,1.0376945278876768,0.06811353174828552
A_train65_fixed_stride20,10125_0.h5,0,14,0.044800715828194886,0.004087061510547756,0.8132236005064128,0.976090887299453,0.05921803892067229
A_train65_fixed_stride20,10125_0.h5,0,15,0.0447561047242081,0.00408768006787252,0.7177872683896599,0.9446423660637271,0.05263905448486461
A_train65_fixed_stride20,10125_0.h5,0,16,0.04470619868441292,0.004087674579627608,0.7564024914915265,0.8969623465284609,0.04833235139161286
A_train65_fixed_stride20,10125_0.h5,0,17,0.04634387865695697,0.00424073972387189,0.8454763762245762,0.854145965562508,0.05380163126290318
A_train65_fixed_stride20,10125_0.h5,0,18,0.047992986874870344,0.004394597120051963,0.8610112834108803,0.7921086294608288,0.06638921606108267
A_train65_fixed_stride20,10125_0.h5,0,19,0.04963740747064317,0.004545493153245641,0.8787824282933494,0.7320459428983125,0.06736867758463075
A_train65_fixed_stride20,10125_0.h5,0,20,0.050845354352861596,0.004658013898609476,0.9558136954651816,0.7986659340432868,0.06443668196475642
A_train65_fixed_stride20,10125_0.h5,20,1,0.022995646729363276,0.002108480914134438,0.6003443264318096,1.0329802358093472,0.03152188766809715
A_train65_fixed_stride20,10125_0.h5,20,2,0.03138510687073705,0.0028819324170194904,0.7575311730793602,0.8466868124009431,0.048245907337147474
A_train65_fixed_stride20,10125_0.h5,20,3,0.03441730866267257,0.003163756452439758,0.7453658058035995,0.7362604881745196,0.061632566036473824
A_train65_fixed_stride20,10125_0.h5,20,4,0.03734465525402916,0.003435409559182117,0.7816742204123207,0.6596630931634089,0.07165352444815118
A_train65_fixed_stride20,10125_0.h5,20,5,0.040646552167128897,0.003743390382706731,0.9062531934298564,0.6037401721153463,0.09081992590853052
A_train65_fixed_stride20,10125_0.h5,20,6,0.038997136159081715,0.00359462218304198,0.8409751270935644,0.618868662132108,0.07784548758689008
A_train65_fixed_stride20,10125_0.h5,20,7,0.04077945634711071,0.003762643267010156,0.8116352409284674,0.5745852204983707,0.06451892679026419
A_train65_fixed_stride20,10125_0.h5,20,8,0.04187190852936279,0.0038661258563290834,0.7667574477781135,0.5840133016046395,0.06648015887106738
A_train65_fixed_stride20,10125_0.h5,20,9,0.04217763097155447,0.0038967718024926104,0.7889314884491483,0.552259354890847,0.06063307061018326
A_train65_fixed_stride20,10125_0.h5,20,10,0.04384473845976323,0.004052560498620671,0.8051682560213025,0.5052425283350757,0.07195814999775328
