experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
A_train65_fixed_stride20,10125_0.h5,0,1,0.02727223687298559,0.002469439442587356,0.9539904246321773,1.4441195162651137
A_train65_fixed_stride20,10125_0.h5,0,2,0.03146709500441066,0.0028507674253461317,0.7828356074900664,1.3055533043315597
A_train65_fixed_stride20,10125_0.h5,0,3,0.036833817189558506,0.0033370726625070487,0.7559704816071533,1.1163989946728137
A_train65_fixed_stride20,10125_0.h5,0,4,0.039646397642342034,0.0035911557795536065,0.8694458068278377,1.0694654901965155
A_train65_fixed_stride20,10125_0.h5,0,5,0.04059949455388981,0.003679616000083735,0.979170028679871,1.0776941739375894
A_train65_fixed_stride20,10125_0.h5,0,6,0.039633504990553,0.0035916274622025002,1.0206236000092683,1.1002544046422387
A_train65_fixed_stride20,10125_0.h5,0,7,0.038359171429423376,0.0034812530587209015,1.0090210768307595,1.0940145363542433
A_train65_fixed_stride20,10125_0.h5,0,8,0.03914186278856319,0.003555188270045786,0.9668010714993993,1.0716986444493382
A_train65_fixed_stride20,10125_0.h5,0,9,0.040159338313901255,0.003652178188359045,0.981849061668139,1.0796516677712087
A_train65_fixed_stride20,10125_0.h5,0,10,0.041817112014685465,0.0038069704162895157,0.9645840947283456,1.0668010288023395
A_train65_fixed_stride20,10125_0.h5,0,11,0.041869341588366076,0.003812448172482366,0.898051512888856,1.0930029633195313
A_train65_fixed_stride20,10125_0.h5,0,12,0.044556827762397166,0.004061700723097107,0.8759787337743427,1.0478962751767087
A_train65_fixed_stride20,10125_0.h5,0,13,0.04437411471205395,0.004045983435489436,0.8615560010055834,1.0376945278876768
A_train65_fixed_stride20,10125_0.h5,0,14,0.04480071582819484,0.004087061510547756,0.8132236005064127,0.976090887299453
A_train65_fixed_stride20,10125_0.h5,0,15,0.044756104724208046,0.00408768006787252,0.7177872683896599,0.9446423660637271
A_train65_fixed_stride20,10125_0.h5,0,16,0.04470619868441286,0.004087674579627608,0.7564024914915264,0.8969623465284609
A_train65_fixed_stride20,10125_0.h5,0,17,0.04634387865695691,0.00424073972387189,0.8454763762245762,0.854145965562508
A_train65_fixed_stride20,10125_0.h5,0,18,0.04799298687487028,0.004394597120051963,0.8610112834108803,0.7921086294608288
A_train65_fixed_stride20,10125_0.h5,0,19,0.04963740747064312,0.004545493153245641,0.8787824282933493,0.7320459428983125
A_train65_fixed_stride20,10125_0.h5,0,20,0.05084535435286154,0.004658013898609476,0.9558136954651816,0.7986659340432868
A_train65_fixed_stride20,10125_0.h5,20,1,0.022995646729363255,0.002108480914134438,0.6003443264318097,1.0329802358093472
A_train65_fixed_stride20,10125_0.h5,20,2,0.03138510687073701,0.0028819324170194904,0.7575311730793602,0.8466868124009431
A_train65_fixed_stride20,10125_0.h5,20,3,0.03441730866267253,0.003163756452439758,0.7453658058035995,0.7362604881745196
A_train65_fixed_stride20,10125_0.h5,20,4,0.03734465525402913,0.003435409559182117,0.7816742204123206,0.6596630931634089
A_train65_fixed_stride20,10125_0.h5,20,5,0.040646552167128855,0.003743390382706731,0.9062531934298567,0.6037401721153463
A_train65_fixed_stride20,10125_0.h5,20,6,0.03899713615908166,0.00359462218304198,0.8409751270935644,0.618868662132108
A_train65_fixed_stride20,10125_0.h5,20,7,0.04077945634711066,0.003762643267010156,0.8116352409284674,0.5745852204983707
A_train65_fixed_stride20,10125_0.h5,20,8,0.04187190852936274,0.0038661258563290834,0.7667574477781134,0.5840133016046395
A_train65_fixed_stride20,10125_0.h5,20,9,0.042177630971554414,0.0038967718024926104,0.7889314884491483,0.552259354890847
A_train65_fixed_stride20,10125_0.h5,20,10,0.04384473845976319,0.004052560498620671,0.8051682560213026,0.5052425283350757
A_train65_fixed_stride20,10125_0.h5,20,11,0.04387551036356863,0.004056583871511841,0.8136026218074381,0.4893759318308166
A_train65_fixed_stride20,10125_0.h5,20,12,0.04338608936058194,0.0040129565147975655,0.7998331708998989,0.4899968506191062
A_train65_fixed_stride20,10125_0.h5,20,13,0.04462143620885373,0.004130955559376027,0.8024916343614305,0.46082120064339116
A_train65_fixed_stride20,10125_0.h5,20,14,0.04612633143450764,0.004273314737493476,0.7977155660288108,0.4448791302316144
