experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
B_train65_stratified_random_start,10125_0.h5,0,1,0.02571365393008034,0.002328313277847763,0.8831830701712003,1.3996430210801136,0.03577252874383825
B_train65_stratified_random_start,10125_0.h5,0,2,0.030583708944965406,0.002770736898158334,0.7435715837544268,1.27588134617543,0.030918477099124365
B_train65_stratified_random_start,10125_0.h5,0,3,0.03681697335272477,0.003335546643437658,0.7493068425388142,1.12507963394275,0.042343634574514274
B_train65_stratified_random_start,10125_0.h5,0,4,0.039734976250003426,0.003599179196503553,0.8602973589738222,1.0871508745995515,0.0420755190186223
B_train65_stratified_random_start,10125_0.h5,0,5,0.040549997027182094,0.003675129937061529,1.0070796122094134,1.0811779501871543,0.03808865762306414
B_train65_stratified_random_start,10125_0.h5,0,6,0.03983886397087124,0.0036102372963187747,1.0984158878082664,1.1170770530043415,0.038401737054163165
B_train65_stratified_random_start,10125_0.h5,0,7,0.038941342374343046,0.003534087473729806,1.0811006613194032,1.1266987056754698,0.04664589560759069
B_train65_stratified_random_start,10125_0.h5,0,8,0.039754859171110206,0.0036108656802033884,0.9989569192236476,1.0875654706279259,0.05837987503755433
B_train65_stratified_random_start,10125_0.h5,0,9,0.040520359970890305,0.0036850102886011966,0.9920794412122437,1.0879529532621068,0.06963963584814331
B_train65_stratified_random_start,10125_0.h5,0,10,0.04218100977293609,0.0038400991507589717,0.9961695145226948,1.0907459913998305,0.06919999042085101
B_train65_stratified_random_start,10125_0.h5,0,11,0.041905902585857725,0.003815777264910934,0.9579288049892793,1.1339686900339052,0.07281820670315292
B_train65_stratified_random_start,10125_0.h5,0,12,0.04451680113230312,0.004058051985057152,0.9527878229719825,1.085804753454478,0.08524867018690416
B_train65_stratified_random_start,10125_0.h5,0,13,0.04438921061783815,0.004047359863732404,0.9405130738535687,1.070960301246269,0.07325325499049733
