experiment,horizon,frame_rel_l2,u_rmse,v_rmse,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio,base_frame_rel_l2,delta_rms,correction_help_fraction,base_tke_contrib_rel_l2
B_train65_stratified_random_start,1,0.040759011291021274,0.008361649204227509,0.0041803361082823785,0.0066103096520801485,0.5945405374729822,1.0725841603797919,0.08120487846142334,0.009274929913381908,0.8471687316894532,0.7781264523276497
B_train65_stratified_random_start,2,0.05155164206452403,0.010810088900002861,0.004686783091914009,0.008331385172245251,0.6198995882771265,1.0241626115118398,0.08086436354281422,0.008276185675893675,0.796820068359375,0.7621498185578108
B_train65_stratified_random_start,3,0.06057784604954873,0.01289916110869508,0.005147391757874962,0.009820488766276118,0.6341034813645248,0.9231427096764042,0.08405429185821359,0.007334326482890444,0.7622329711914062,0.7888419475159265
B_train65_stratified_random_start,4,0.06814001063650936,0.014677125612685532,0.005572002072472441,0.011101018497106178,0.654051198277298,0.8117300653037861,0.08684397467519014,0.006245141700386764,0.7314773559570312,0.8046276515994741
B_train65_stratified_random_start,5,0.0720686612091684,0.015498755164240473,0.005927070501877497,0.01173331957238226,0.6753855111065761,0.7450398967129269,0.08804911097902446,0.005817465653963229,0.7124824523925781,0.8102252572514604
B_train65_stratified_random_start,6,0.07524410333017033,0.01604496501776501,0.0062393073915904835,0.01217312324648154,0.6946230089548278,0.7121082638659222,0.08717273867311244,0.005336679442616806,0.6882682800292969,0.7896370695236615
B_train65_stratified_random_start,7,0.07822316244012417,0.016626288114815025,0.00650205748565598,0.01262359314980513,0.715611890427129,0.6810289983749187,0.08894695139754252,0.005159274722856568,0.6805030822753906,0.8015581605000094
B_train65_stratified_random_start,8,0.08090506112282192,0.017149989775110553,0.006718612616282781,0.013024244791427842,0.7358588521697045,0.6508548083780912,0.09116042059228917,0.005000797085289067,0.67314453125,0.8149502614136939
B_train65_stratified_random_start,9,0.08316288099035088,0.017572645262897327,0.006903494714464487,0.013350207878686142,0.7519738011434066,0.6295328959351038,0.09276502574918523,0.004867048012968575,0.6710151672363281,0.825051002858746
B_train65_stratified_random_start,10,0.08528209175359736,0.01797213178048048,0.007086006491987374,0.01366032592472528,0.7646365634228596,0.6076903434628114,0.094480688719321,0.004757755303094804,0.6676727294921875,0.8330913128615738
B_train65_stratified_random_start,11,0.08724110119532573,0.018328609767791874,0.007298004316089722,0.013949888942526753,0.7657687486805778,0.5869197086469761,0.09620637502389366,0.004697287369667329,0.6656059265136719,0.8351004130984769
B_train65_stratified_random_start,12,0.08915887588203017,0.018620833903890504,0.007556310458287279,0.014209737559474843,0.7591644579683121,0.5602497610536176,0.09806324690381958,0.0046928176604923025,0.66243896484375,0.834428308668057
B_train65_stratified_random_start,13,0.091150692002464,0.01892090560924863,0.007838966404607413,0.014481886330286187,0.7512811831289106,0.5350488951585927,0.09990767134829234,0.004741323765405288,0.6572998046875,0.8349659599892302
B_train65_stratified_random_start,14,0.09302628765551017,0.019140630474507824,0.008172400183282517,0.014716518945004853,0.7416658220948754,0.5127008184933882,0.10214990092201628,0.004862033985396722,0.6575721740722656,0.8341810863202301
B_train65_stratified_random_start,15,0.09488181287744549,0.019352617379718547,0.00848181018834862,0.014940965556431736,0.735372258939899,0.4909728400731491,0.10459332204015155,0.0050014182412128115,0.6668724060058594,0.8329068264255955
B_train65_stratified_random_start,16,0.09679469041982394,0.019612363033461245,0.008800716159695835,0.015200285995332593,0.7347119820421675,0.4738045813452892,0.10756152724579704,0.005401141178088946,0.6719223022460937,0.8540594267635402
B_train65_stratified_random_start,17,0.09891406266983646,0.019977010115655905,0.009091282277755295,0.015519863830183014,0.7405846751930066,0.4551304623457483,0.11009646199974377,0.005636229660543264,0.677996826171875,0.8586009544902934
B_train65_stratified_random_start,18,0.10092301849439829,0.020293077301813803,0.009324592689329588,0.015791722755913756,0.7502240479537149,0.428742553660793,0.11308499102662592,0.005825481244278413,0.6834877014160157,0.8730301859631624
B_train65_stratified_random_start,19,0.10311153000202258,0.020657918475885027,0.009531516617122565,0.01608725279186592,0.7625548417130791,0.3931463824648771,0.11556954168954672,0.006001191894021826,0.6806640625,0.872718832773454
B_train65_stratified_random_start,20,0.10556410428722536,0.021045767331365765,0.009779777699832197,0.01640988077994654,0.7768178063509197,0.3558877816648527,0.1168886060764092,0.0060410129384161435,0.6724624633789062,0.8888393076736018
