experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
B_train65_stratified_random_start,10125_0.h5,0,1,0.02571365393008031,0.002328313277847763,0.8831830701712001,1.3996430210801136
B_train65_stratified_random_start,10125_0.h5,0,2,0.030583708944965374,0.002770736898158334,0.7435715837544268,1.27588134617543
B_train65_stratified_random_start,10125_0.h5,0,3,0.03681697335272473,0.003335546643437658,0.749306842538814,1.12507963394275
B_train65_stratified_random_start,10125_0.h5,0,4,0.03973497625000339,0.003599179196503553,0.8602973589738221,1.0871508745995515
B_train65_stratified_random_start,10125_0.h5,0,5,0.040549997027182046,0.003675129937061529,1.0070796122094134,1.0811779501871543
B_train65_stratified_random_start,10125_0.h5,0,6,0.03983886397087119,0.0036102372963187747,1.0984158878082662,1.1170770530043415
B_train65_stratified_random_start,10125_0.h5,0,7,0.038941342374343,0.003534087473729806,1.081100661319403,1.1266987056754698
B_train65_stratified_random_start,10125_0.h5,0,8,0.03975485917111015,0.0036108656802033884,0.9989569192236476,1.0875654706279259
B_train65_stratified_random_start,10125_0.h5,0,9,0.04052035997089026,0.0036850102886011966,0.9920794412122437,1.0879529532621068
B_train65_stratified_random_start,10125_0.h5,0,10,0.04218100977293604,0.0038400991507589717,0.996169514522695,1.0907459913998305
B_train65_stratified_random_start,10125_0.h5,0,11,0.04190590258585767,0.003815777264910934,0.9579288049892793,1.1339686900339052
B_train65_stratified_random_start,10125_0.h5,0,12,0.04451680113230306,0.004058051985057152,0.9527878229719825,1.085804753454478
B_train65_stratified_random_start,10125_0.h5,0,13,0.04438921061783809,0.004047359863732404,0.9405130738535686,1.070960301246269
B_train65_stratified_random_start,10125_0.h5,0,14,0.04478104314732641,0.004085266819206328,0.8679566022258093,1.0077577768385113
B_train65_stratified_random_start,10125_0.h5,0,15,0.04491361202143787,0.004102065578930693,0.7562919411574285,0.9695770011513948
B_train65_stratified_random_start,10125_0.h5,0,16,0.04506118399535257,0.0041201323701437,0.8020277423530313,0.9391640790665132
B_train65_stratified_random_start,10125_0.h5,0,17,0.0470134388918241,0.004302008455963653,0.904414090154659,0.9145195892601528
B_train65_stratified_random_start,10125_0.h5,0,18,0.04883871547988406,0.004472038361657311,0.913038115878568,0.8226384719900893
B_train65_stratified_random_start,10125_0.h5,0,19,0.05033364463133187,0.004609250335745908,0.9148240832283472,0.7329272102320064
B_train65_stratified_random_start,10125_0.h5,0,20,0.051722695966616425,0.004738388388721938,0.9589715074329133,0.808270885977653
B_train65_stratified_random_start,10125_0.h5,20,1,0.02249122234381461,0.00206223002142981,0.5817094188947636,0.9904228562663164
B_train65_stratified_random_start,10125_0.h5,20,2,0.03106894900581842,0.00285290127165627,0.72189785424687,0.8072844778807264
B_train65_stratified_random_start,10125_0.h5,20,3,0.03491480102065006,0.0032094876475490934,0.7179888437007939,0.732968752059149
B_train65_stratified_random_start,10125_0.h5,20,4,0.0379765872691649,0.0034935422496778046,0.7644388691401535,0.6909880152882246
B_train65_stratified_random_start,10125_0.h5,20,5,0.04116673642258575,0.003791297342468193,0.8997297333909959,0.6299648281079018
B_train65_stratified_random_start,10125_0.h5,20,6,0.03971032667863076,0.0036603616376483,0.8329091617563563,0.6387386459760945
B_train65_stratified_random_start,10125_0.h5,20,7,0.041461523578883684,0.003825576319756968,0.8112794987706303,0.5944816171182138
B_train65_stratified_random_start,10125_0.h5,20,8,0.042288207734226646,0.0039045636819840792,0.7790487228612127,0.5987741209275965
B_train65_stratified_random_start,10125_0.h5,20,9,0.04232847330242799,0.003910708055620882,0.7928469135157333,0.5626312102639425
B_train65_stratified_random_start,10125_0.h5,20,10,0.04389757411571254,0.004057444087843482,0.804016452180066,0.508042267595149
B_train65_stratified_random_start,10125_0.h5,20,11,0.043879182397516134,0.004056923375566919,0.8127586794308305,0.4915733563409205
B_train65_stratified_random_start,10125_0.h5,20,12,0.0433106636339236,0.0040059800814375235,0.8013708339633036,0.49168417822549937
B_train65_stratified_random_start,10125_0.h5,20,13,0.04450748004152148,0.004120405745139592,0.8072712530275874,0.4703897188102325
