experiment,trajectory,window_start,horizon,frame_rel_l2,velocity_rmse,tke_contrib_rel_l2,tke_contrib_ratio
control_best,10125_0.h5,0,1,0.027289415331619847,0.0024709949132116346,0.9545583307773611,1.444912540557361
control_best,10125_0.h5,0,2,0.03147895902288882,0.002851842248344775,0.7835382827869407,1.3062984481379738
control_best,10125_0.h5,0,3,0.03683950116017419,0.0033375876192615578,0.7563646503816754,1.11684946333981
control_best,10125_0.h5,0,4,0.039648484690016694,0.003591344823546624,0.8696774742456336,1.0697457832005013
control_best,10125_0.h5,0,5,0.04059772052921546,0.003679455216565418,0.9793098636702463,1.077866284265786
control_best,10125_0.h5,0,6,0.03963052750935198,0.0035913576399081485,1.0206112473100357,1.1003065809355717
control_best,10125_0.h5,0,7,0.03835470607857205,0.003480847809709252,1.0089356265357112,1.094075197604153
control_best,10125_0.h5,0,8,0.039138019473616725,0.00355483918834036,0.9666014410376551,1.0717047420168826
control_best,10125_0.h5,0,9,0.040156411416483476,0.0036519120098970088,0.9816884426744124,1.079600396199459
control_best,10125_0.h5,0,10,0.04181200214810589,0.0038065052213020474,0.9643921115074591,1.0667126554719122
control_best,10125_0.h5,0,11,0.04186603017446637,0.0038121466488999223,0.8978646860731709,1.0929038394019437
control_best,10125_0.h5,0,12,0.04455174423631377,0.004061237320233714,0.8757574221794551,1.0477670459994497
control_best,10125_0.h5,0,13,0.044369409543190345,0.00404555442331856,0.8614105507354693,1.0375903014984516
control_best,10125_0.h5,0,14,0.04479610494940307,0.004086640871169763,0.8130313522844629,0.9760508999822355
control_best,10125_0.h5,0,15,0.04475176086390502,0.004087283332917865,0.7175793942563011,0.9445814006856725
control_best,10125_0.h5,0,16,0.04470201365969112,0.004087291925327453,0.7562417073660708,0.8969480892712559
control_best,10125_0.h5,0,17,0.046342797796913596,0.00424064081876825,0.8454356347021593,0.8542101869938746
control_best,10125_0.h5,0,18,0.047991828143371516,0.004394491017922486,0.8608947526772032,0.7922785811330177
control_best,10125_0.h5,0,19,0.04963947006339522,0.004545682032998036,0.8786712664779295,0.7322956318070815
control_best,10125_0.h5,0,20,0.05085056624373425,0.004658491367208762,0.9558527263557325,0.7991079504002317
control_best,10125_0.h5,20,1,0.02301129307361017,0.0021099155342870633,0.6007519097534828,1.033658247126831
control_best,10125_0.h5,20,2,0.031391183069141,0.002882490362965789,0.7578676042600497,0.8472323805337834
control_best,10125_0.h5,20,3,0.03441945121994318,0.003163953403614999,0.7456497849483201,0.736674070226192
control_best,10125_0.h5,20,4,0.037343252493211,0.0034352805164076937,0.7818310994757482,0.6600370082685124
control_best,10125_0.h5,20,5,0.040640321121784326,0.0037428165275093456,0.9063077133093709,0.6039919722902479
