experiment,trajectory,window_start,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2
A_fixed_stride20,10125_0.h5,0,1,0.026885272677234805,0.0024344007087898105,0.8900103222613606,1.4278245539787657,0.04013191366281228
A_fixed_stride20,10125_0.h5,0,2,0.031054285642303146,0.002813368883084472,0.7578308693951966,1.290724047171855,0.03548332952314303
A_fixed_stride20,10125_0.h5,0,3,0.03659383374009512,0.003315330625711429,0.7387227667079763,1.131330306628592,0.04620212484639129
A_fixed_stride20,10125_0.h5,0,4,0.038989035333402214,0.0035316121489744473,0.8114655075798266,1.0792632522331456,0.043736609461782844
A_fixed_stride20,10125_0.h5,0,5,0.03916139991131814,0.0035492785139995737,0.9416760931402769,1.0890870765634761,0.03929608980815328
A_fixed_stride20,10125_0.h5,0,6,0.03839368490133872,0.003479273738208775,1.0315530552987218,1.121535343926472,0.03873750804297932
A_fixed_stride20,10125_0.h5,0,7,0.03741457466284883,0.003395527005202099,1.0324578461919016,1.1223671490245333,0.048133847221836314
A_fixed_stride20,10125_0.h5,0,8,0.03816071857654883,0.003466072623899375,0.9545941462421865,1.064730922160264,0.05822848726755854
A_fixed_stride20,10125_0.h5,0,9,0.039373460272794786,0.0035807087179707334,0.9624420191266722,1.0668217352342113,0.06725611287942679
A_fixed_stride20,10125_0.h5,0,10,0.04118866395968257,0.003749757398979026,0.9433365738341994,1.0659555325908914,0.06671211568699387
A_fixed_stride20,10125_0.h5,0,11,0.041294496710747836,0.0037601051878545476,0.8733079271573735,1.1028052907910235,0.07123443857005378
A_fixed_stride20,10125_0.h5,0,12,0.044003934735672184,0.004011300231876777,0.8577347289780046,1.0545611350474855,0.0815384682442302
A_fixed_stride20,10125_0.h5,0,13,0.04384750484405041,0.003997967721446829,0.85232399105558,1.0394702291937767,0.06769481850695173
A_fixed_stride20,10125_0.h5,0,14,0.044110075950310426,0.004024056096228584,0.7989333517691459,0.9851523728198902,0.05859761438796547
A_fixed_stride20,10125_0.h5,0,15,0.04397667364941233,0.004016492798820488,0.7052339617408963,0.9561638035928895,0.05333990463988051
A_fixed_stride20,10125_0.h5,0,16,0.04375762921576487,0.004000942908894991,0.7295696924597835,0.9116396068000922,0.04752842515375755
A_fixed_stride20,10125_0.h5,0,17,0.045676727013687704,0.004179691392194677,0.8365581613679404,0.8850717175152457,0.05299206279990665
A_fixed_stride20,10125_0.h5,0,18,0.04755133353930637,0.0043541560347410795,0.8431138693856125,0.7981715677749398,0.06595082611352485
A_fixed_stride20,10125_0.h5,0,19,0.04949332660383976,0.004532299100072015,0.8614546582037775,0.7353277434806215,0.06793849858987239
A_fixed_stride20,10125_0.h5,0,20,0.05130759088863516,0.004700360032990524,0.9247738312047278,0.8049717344146813,0.0678161339990432
A_fixed_stride20,10125_0.h5,20,1,0.022928363437183137,0.0021023116796235943,0.564907339225324,1.0153985322037742,0.033123753215578325
A_fixed_stride20,10125_0.h5,20,2,0.03134046126272034,0.002877832841206324,0.7302710833894975,0.8357561887912694,0.04566476163881558
A_fixed_stride20,10125_0.h5,20,3,0.03461630355798355,0.003182048742235372,0.7245929325331124,0.7471224659134672,0.06344545785651075
A_fixed_stride20,10125_0.h5,20,4,0.0374150023918499,0.0034418809331467856,0.7642939049417484,0.6808372146750156,0.07419975805330403
A_fixed_stride20,10125_0.h5,20,5,0.039980032536614384,0.003682006500391344,0.8966661771397315,0.6298188774060294,0.09180679079565769
A_fixed_stride20,10125_0.h5,20,6,0.03775794440472637,0.003480397739711644,0.8292885115655131,0.6415704733818015,0.0778134133607904
A_fixed_stride20,10125_0.h5,20,7,0.03921003755763395,0.003617835965238407,0.8035636642904066,0.6024743818041631,0.06351405078879697
A_fixed_stride20,10125_0.h5,20,8,0.04001328561864283,0.0036945150952083883,0.758184122418947,0.6074648379524304,0.06335950222009272
A_fixed_stride20,10125_0.h5,20,9,0.040717772805734805,0.003761896182284324,0.7914791874724695,0.5728583692148858,0.05725895901953206
A_fixed_stride20,10125_0.h5,20,10,0.04260065436332406,0.003937570051800731,0.8089527577975015,0.523225806556916,0.06884685877532906
A_fixed_stride20,10125_0.h5,20,11,0.042874894888103324,0.003964070290114773,0.8172796822743932,0.5037567089443539,0.06376933221448888
A_fixed_stride20,10125_0.h5,20,12,0.04236647552441536,0.0039186482688430445,0.8045535228819053,0.50404621962453,0.0652194507777327
A_fixed_stride20,10125_0.h5,20,13,0.043427051740953966,0.004020382041871806,0.806776178487611,0.4763576647316701,0.06020187714452806
A_fixed_stride20,10125_0.h5,20,14,0.04504050409891333,0.004172719658473224,0.799253602761091,0.46679174971132953,0.06271603274529763
A_fixed_stride20,10125_0.h5,20,15,0.04609355979863396,0.004273483149873294,0.7886260455772319,0.4494997454592299,0.053659977631057836
A_fixed_stride20,10125_0.h5,20,16,0.04670687383311941,0.004330173697988063,0.8003861971952815,0.4357529120805706,0.05309832178533204
A_fixed_stride20,10125_0.h5,20,17,0.047758699758165615,0.004427685156351805,0.8089058378403167,0.3973280398292189,0.04276063004011152
