experiment,trajectory,windows,rel_l2,u_rmse,v_rmse,tke_rel_l2,mean_field_rel_l2,fluctuation_rel_l2,tke_field_rel_l2,pred_tke_mean,target_tke_mean,tke_energy_ratio
candidate_best,10125_0.h5,29,0.04197113475154231,0.00458005992887484,0.0029107068556451583,0.4364419664964631,0.02268844669792906,0.7794577478160087,0.4364419664964631,1.39774475912359e-05,1.8175024714923018e-05,0.7690469647482459
candidate_best,10125_15.h5,42,0.08730141674223256,0.009395781136114478,0.005166506511830167,0.48421979402752047,0.05188774790916793,0.6993327813910138,0.48421979402752047,5.8142969204773675e-05,7.957394632849506e-05,0.7306784681100195
candidate_best,11400_5.h5,42,0.04282834861809081,0.005586250855623825,0.0028175723132631723,0.5198159610911869,0.022681512568917685,0.8830475958988624,0.5198159610911869,1.2725853023272612e-05,1.811573162430563e-05,0.7024752456698194
candidate_best,19050_0.h5,42,0.04923305685436863,0.010090663471026814,0.006117883865051461,0.5212995454684131,0.023229610752991268,1.0110785666276942,0.5212995454684131,3.7506426737463796e-05,5.3865737535947917e-05,0.6962946847693945
candidate_best,20325_10.h5,42,0.0777660255971324,0.018032451065235426,0.006678038567954949,0.5219693733443429,0.04042578615410467,0.8306953089062397,0.5219693733443429,0.00014317177988777444,0.00019982966555809624,0.7164690962571335
candidate_best,20325_20.h5,42,0.10288516429512001,0.021079723459153172,0.012737194564451703,0.4646525491465637,0.05584436765784605,0.7343215331626951,0.4646525491465637,0.00031570041973035125,0.0004241817234868227,0.7442574779866926
candidate_best,21600_15.h5,42,0.09986747986914461,0.022765605530144187,0.008599293560749954,0.4949963908136916,0.05317324631089953,0.7439429453120495,0.4949963908136916,0.00024391565332266714,0.0003878792038515198,0.6288443693311232
candidate_best,21600_5.h5,23,0.04605236341432567,0.010865472323020984,0.005807063611950388,0.5323719409778441,0.02108438569339106,1.0853262145885154,0.5323719409778441,3.775649778203513e-05,5.150881262857102e-05,0.7330104472470849
candidate_best,22875_15.h5,42,0.10505294701782229,0.025358951532219606,0.008855788376240169,0.5346112926160884,0.05348138860617736,0.8022941023247583,0.5346112926160884,0.00026190046588942185,0.0004220973674686106,0.6204740566378874
candidate_best,25425_20.h5,42,0.13113206865615648,0.03414020581311257,0.013801458220733675,0.5930075222719482,0.07211001993758803,0.751431348117859,0.5930075222719482,0.0004956860328539861,0.00085362465711576,0.5806838271621834
candidate_best,26700_10.h5,42,0.10518139559082924,0.03164145992612029,0.008143427581804735,0.550949968380835,0.055117994386214356,0.8126162875984562,0.550949968380835,0.00035290967905249256,0.0006006664178923474,0.587530230657479
candidate_best,3750_0.h5,42,0.04839343467033904,0.002158850359598364,0.0012304005285443446,0.3534822882453439,0.02776738419289958,0.6413359211131994,0.3534822882453439,3.955248057183681e-06,5.139943786729318e-06,0.7695119287871647
candidate_best,6300_0.h5,42,0.0472565100077253,0.003241942828340066,0.002054747979479933,0.21130317745807753,0.02691808559689522,0.4482275220768563,0.21130317745807753,2.2132569222079246e-05,2.523785244039417e-05,0.8769592925686182
candidate_best,6300_20.h5,42,0.10795922449686864,0.0069165582185942796,0.004812838540158454,0.5336745528762424,0.07133862006995995,0.7369148658709871,0.5336745528762424,2.6600533990701716e-05,3.760546922566317e-05,0.7073581194021816
candidate_best,7575_20.h5,42,0.11196623973616442,0.00852957151924691,0.0060656976493118015,0.5266362680630646,0.07221172328226562,0.7174027406532426,0.5266362680630646,4.361703726721894e-05,6.407075421962819e-05,0.680763599530982
candidate_best,8850_20.h5,42,0.11131040925305628,0.009790353476322865,0.006883242989339616,0.539356709751043,0.07034750685651228,0.7381196150478224,0.539356709751043,5.553524398454163e-05,8.16809953771538e-05,0.6799041041078554
