experiment,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,windows,trajectories
A1_aoa_meanfield,1,0.039244838306557984,0.005354649411558781,0.5641758171069695,1.1577354836327263,0.06517196699644205,640,16
A1_aoa_meanfield,2,0.04968159134704475,0.006735328030257432,0.5865037569503487,1.0823857946632678,0.0825120716646731,640,16
A1_aoa_meanfield,3,0.057973834127103885,0.007843616804566177,0.5972911657989888,0.9698030642854484,0.09643085276366144,640,16
A1_aoa_meanfield,4,0.06542302585657986,0.008839776211747075,0.6213839931994695,0.8545575183195367,0.10838222910101633,640,16
A1_aoa_meanfield,5,0.06900648634983861,0.009304780770327056,0.6426646275494672,0.7931840646809206,0.11308308354522137,640,16
A1_aoa_meanfield,6,0.0719373445186418,0.009661880470679268,0.6620683754238319,0.7475255398755932,0.11620559427911141,640,16
A1_aoa_meanfield,7,0.07461363349536289,0.009983065552217776,0.6846043427476591,0.7098192780317076,0.11910254767635498,640,16
A1_aoa_meanfield,8,0.07701796294022385,0.01027848534837516,0.7055377895189154,0.6700033997146111,0.1224800844053,640,16
A1_aoa_meanfield,9,0.07898406649610132,0.01050944145262683,0.7222550033889475,0.6375009656877191,0.12493668742617285,640,16
A1_aoa_meanfield,10,0.08084882278953118,0.010737460398373175,0.7349828112336956,0.611091847908622,0.1278702893474862,640,16
A1_aoa_meanfield,11,0.08260241479660127,0.010961961671575614,0.7361635117465921,0.5971639141559238,0.13082799743624576,640,16
A1_aoa_meanfield,12,0.08436633702777356,0.011185926564507459,0.7307257477975819,0.5879208759369458,0.1325965102023229,640,16
A1_aoa_meanfield,13,0.08623433721153709,0.011431164747943309,0.7233630936656752,0.5870691789634188,0.13492294940558797,640,16
A1_aoa_meanfield,14,0.08789914010981578,0.011636951443706295,0.7131469688362341,0.5911573814130848,0.13688096947810907,640,16
A1_aoa_meanfield,15,0.08957380416976275,0.011838481334677986,0.7050085548924718,0.5977772271378491,0.1385832572214803,640,16
A1_aoa_meanfield,16,0.09120870292019206,0.012040523998537079,0.6999030323083335,0.6002107484117458,0.14080929777304557,640,16
A1_aoa_meanfield,17,0.09297141601474693,0.012270421770362364,0.7019055438605708,0.5987650872441111,0.1430244313123184,640,16
A1_aoa_meanfield,18,0.0949531766327926,0.012519433143735843,0.711157922217686,0.5867530067064918,0.14473418396295862,640,16
A1_aoa_meanfield,19,0.09726159829168403,0.012816091347336338,0.7242314556194945,0.5696728382451539,0.1472795601810383,640,16
A1_aoa_meanfield,20,0.09981594235449072,0.0131409187561588,0.7406159021972658,0.5438284389192507,0.14933682161767836,640,16
