experiment,trajectory,window_start,horizon,rel_l2,mvpe,velocity_squared_error,pred_speed_mean,target_speed_mean
LOSS-E0-best,10125_0.h5,0,1,0.11755899339914322,0.07657179236412048,0.0002266193478135392,0.11875978112220764,0.11671076714992523
LOSS-E0-best,10125_0.h5,0,2,0.10812302678823471,0.06532806158065796,0.00019190076272934675,0.11927904188632965,0.1167493611574173
LOSS-E0-best,10125_0.h5,0,3,0.10707956552505493,0.06241790950298309,0.0001882265933090821,0.11690999567508698,0.11675611138343811
LOSS-E0-best,10125_0.h5,0,4,0.10727638006210327,0.05541026592254639,0.00018884229939430952,0.11753629148006439,0.1167365163564682
LOSS-E0-best,10125_0.h5,0,5,0.10628928989171982,0.056860994547605515,0.00018559780437499285,0.11672572046518326,0.11680537462234497
LOSS-E0-best,10125_0.h5,0,6,0.10502094775438309,0.05806981399655342,0.00018115044804289937,0.11839178204536438,0.11678599566221237
LOSS-E0-best,10125_0.h5,0,7,0.10674765706062317,0.058185867965221405,0.0001877065806183964,0.11773959547281265,0.11699791252613068
LOSS-E0-best,10125_0.h5,0,8,0.10960623621940613,0.06117582321166992,0.00019821786554530263,0.11783024668693542,0.11709319800138474
LOSS-E0-best,10125_0.h5,0,9,0.10990256071090698,0.060970012098550797,0.0001997912477236241,0.1173311248421669,0.11729097366333008
LOSS-E0-best,10125_0.h5,0,10,0.10887801647186279,0.06017901003360748,0.0001964994298759848,0.11762309074401855,0.1174183115363121
LOSS-E0-best,10125_0.h5,0,11,0.10734112560749054,0.06033420190215111,0.0001910635910462588,0.11842861771583557,0.11739951372146606
LOSS-E0-best,10125_0.h5,0,12,0.1065986156463623,0.06063731014728546,0.00018885151075664908,0.11861725896596909,0.11754325032234192
LOSS-E0-best,10125_0.h5,0,13,0.10566666722297668,0.06063171848654747,0.00018564992933534086,0.1183217465877533,0.11759224534034729
LOSS-E0-best,10125_0.h5,0,14,0.10701025277376175,0.06423402577638626,0.00019060455088037997,0.11868556588888168,0.11765368282794952
LOSS-E0-best,10125_0.h5,0,15,0.10834421217441559,0.06737782061100006,0.00019583510584197938,0.11951200664043427,0.11778955906629562
LOSS-E0-best,10125_0.h5,0,16,0.11248373985290527,0.06961061805486679,0.00021155664580874145,0.11955443024635315,0.11789768934249878
LOSS-E0-best,10125_0.h5,0,17,0.11277084052562714,0.06595107913017273,0.00021297179046086967,0.1179857924580574,0.1179213672876358
LOSS-E0-best,10125_0.h5,0,18,0.11133752018213272,0.06311068683862686,0.00020787183893844485,0.11945799738168716,0.11796361207962036
LOSS-E0-best,10125_0.h5,0,19,0.11359158903360367,0.06350017338991165,0.00021640441264025867,0.12167173624038696,0.11797899007797241
LOSS-E0-best,10125_0.h5,0,20,0.13705044984817505,0.07236400991678238,0.00031527524697594345,0.121751569211483,0.11803761124610901
LOSS-E0-best,10125_0.h5,20,1,0.1185610219836235,0.07588654011487961,0.00023635347315575927,0.12002168595790863,0.11818245053291321
LOSS-E0-best,10125_0.h5,20,2,0.10928140580654144,0.06296246498823166,0.0002013923367485404,0.12058838456869125,0.11847475916147232
LOSS-E0-best,10125_0.h5,20,3,0.10545375943183899,0.05968988686800003,0.00018793447816278785,0.11812491714954376,0.11863352358341217
LOSS-E0-best,10125_0.h5,20,4,0.10741014033555984,0.05365297943353653,0.0001952632883330807,0.1185888797044754,0.11874035000801086
LOSS-E0-best,10125_0.h5,20,5,0.10707426071166992,0.056642595678567886,0.0001944835967151448,0.11773891746997833,0.11890000849962234
LOSS-E0-best,10125_0.h5,20,6,0.1038823053240776,0.05601196736097336,0.0001833809947129339,0.11942581832408905,0.11892938613891602
LOSS-E0-best,10125_0.h5,20,7,0.10580673068761826,0.05601515248417854,0.0001906162069644779,0.1186688095331192,0.11904202401638031
LOSS-E0-best,10125_0.h5,20,8,0.10777854174375534,0.05795246735215187,0.00019806197087746114,0.11876364052295685,0.11912963539361954
LOSS-E0-best,10125_0.h5,20,9,0.10808159410953522,0.05781151354312897,0.00019942480139434338,0.11834564805030823,0.11917213350534439
LOSS-E0-best,10125_0.h5,20,10,0.10777933895587921,0.056440096348524094,0.00019848381634801626,0.1186777800321579,0.11921177804470062
LOSS-E0-best,10125_0.h5,20,11,0.10678887367248535,0.0565783865749836,0.00019496589084155858,0.11957059800624847,0.11925938725471497
LOSS-E0-best,10125_0.h5,20,12,0.10579638183116913,0.056695252656936646,0.00019151356536895037,0.119881272315979,0.11923590302467346
LOSS-E0-best,10125_0.h5,20,13,0.10547328740358353,0.058176178485155106,0.00019069046538788825,0.11969178915023804,0.11933492124080658
