trajectory_id,rel_l2_20000,rel_l2_30000,rel_l2_delta_percent,tke_20000,tke_30000,tke_delta_percent,mvpe_20000,mvpe_30000,mvpe_delta_percent
10125_0.h5,0.070249043,0.063866697,-9.085314,0.204797596,0.205781519,0.480437,0.034777276,0.027800880,-20.060213
11400_10.h5,0.103872478,0.092769556,-10.688993,0.163887143,0.209502265,27.833252,0.039693952,0.032137834,-19.035943
11400_15.h5,0.123467647,0.111104824,-10.013006,0.172515020,0.202296898,17.263354,0.033457424,0.029123602,-12.953245
13950_5.h5,0.074083522,0.066745304,-9.905331,0.185935497,0.266945153,43.568688,0.031180240,0.021072742,-32.416359
16500_10.h5,0.109687544,0.098418243,-10.274003,0.208784640,0.257830441,23.491096,0.041383114,0.031806268,-23.141917
20325_20.h5,0.160126656,0.142500386,-11.007705,0.162578404,0.186609372,14.781157,0.065385044,0.038767464,-40.708972
20325_5.h5,0.071197301,0.065922715,-7.408408,0.228363022,0.242069930,6.002245,0.034417544,0.022684246,-34.091036
22875_15.h5,0.159584612,0.146809578,-8.005179,0.185118914,0.197725534,6.810012,0.071468160,0.036917031,-48.344786
24150_10.h5,0.150503993,0.138775423,-7.792863,0.259100676,0.295717716,14.132360,0.047909509,0.034438089,-28.118470
25425_15.h5,0.191486970,0.178601906,-6.728951,0.256744027,0.284125626,10.664941,0.079033017,0.043627650,-44.798198
26700_0.h5,0.092482015,0.086268142,-6.719008,0.373554766,0.314142942,-15.904448,0.041795075,0.026425675,-36.773233
3750_0.h5,0.087909937,0.081371218,-7.437975,0.246903569,0.258340627,4.632196,0.039398260,0.036199354,-8.119411
3750_20.h5,0.177185223,0.165141687,-6.797145,0.361926287,0.361029208,-0.247863,0.092216179,0.085274994,-7.527079
8850_10.h5,0.106109001,0.095945738,-9.578134,0.198469460,0.257729679,29.858609,0.038179945,0.029463612,-22.829613
8850_20.h5,0.160971299,0.148230299,-7.915075,0.269353747,0.286372513,6.318370,0.053926460,0.050593179,-6.181162
8850_5.h5,0.074059620,0.066771470,-9.840923,0.240030810,0.279323608,16.369897,0.034850813,0.025147155,-27.843420
