trajectory_id,rw00_rel_l2,rw00_tke,rw00_mvpe,rw01_rel_l2,rw01_tke,rw01_mvpe,rel_l2_improvement_percent,tke_improvement_percent,mvpe_improvement_percent,rel_l2_win,tke_win,mvpe_win
10125_0.h5,0.11187131702899933,0.2835548520088196,0.07355117052793503,0.22306108474731445,0.938727080821991,0.21557071805000305,-99.390774,-231.05661,-193.089446,0,0,0
11400_10.h5,0.1457483321428299,0.2794196605682373,0.09293833374977112,0.23015719652175903,0.42828166484832764,0.21325868368148804,-57.91412,-53.275422,-129.462564,0,0,0
11400_15.h5,0.1655905395746231,0.27535760402679443,0.09679844230413437,0.23187868297100067,0.41116634011268616,0.1728774756193161,-40.031359,-49.320859,-78.595307,0,0,0
13950_5.h5,0.10987627506256104,0.303422749042511,0.0848204493522644,0.18992549180984497,0.5098006129264832,0.17371578514575958,-72.853959,-68.016609,-104.804132,0,0,0
16500_10.h5,0.1493961066007614,0.2891191244125366,0.10199525952339172,0.20002381503582,0.33882856369018555,0.15313874185085297,-33.888238,-17.193411,-50.142999,0,0,0
20325_20.h5,0.20843040943145752,0.2363496869802475,0.11706522107124329,0.24412941932678223,0.40298035740852356,0.17368830740451813,-17.127544,-70.501752,-48.368837,0,0,0
20325_5.h5,0.10110700130462646,0.3009340167045593,0.07874248176813126,0.18034401535987854,0.6707895994186401,0.17098775506019592,-78.369463,-122.902551,-117.148039,0,0,0
22875_15.h5,0.18434390425682068,0.24456027150154114,0.09068317711353302,0.2324928194284439,0.3488979637622833,0.16477838158607483,-26.119071,-42.663386,-81.707773,0,0,0
24150_10.h5,0.18258310854434967,0.3489530384540558,0.1012791097164154,0.24733459949493408,0.45585113763809204,0.1739218831062317,-35.464119,-30.63395,-71.725328,0,0,0
25425_15.h5,0.21337150037288666,0.29496222734451294,0.09361521899700165,0.2641851007938385,0.4381757378578186,0.18365046381950378,-23.814615,-48.55317,-96.175863,0,0,0
26700_0.h5,0.12625226378440857,0.3769451379776001,0.07599997520446777,0.24641461670398712,0.6348912119865417,0.21254312992095947,-95.176395,-68.430667,-179.662104,0,0,0
3750_0.h5,0.14562183618545532,0.3484548330307007,0.08974051475524902,0.6614804863929749,2.071949005126953,0.5678621530532837,-354.245396,-494.610494,-532.782367,0,0,0
3750_20.h5,0.2521589994430542,0.49343791604042053,0.15036875009536743,0.6612105965614319,0.806745171546936,0.4995581805706024,-162.21971,-63.494767,-232.222074,0,0,0
8850_10.h5,0.1452217996120453,0.34158411622047424,0.08282554149627686,0.25128644704818726,0.5568379759788513,0.21921610832214355,-73.036313,-63.016355,-164.67211,0,0,0
8850_20.h5,0.20460805296897888,0.3679540455341339,0.10693223029375076,0.2749435007572174,0.5791662335395813,0.1961539089679718,-34.375699,-57.401784,-83.437593,0,0,0
8850_5.h5,0.11447688192129135,0.4003041386604309,0.0825120210647583,0.24473321437835693,0.8332143425941467,0.24726183712482452,-113.783963,-108.145323,-199.667653,0,0,0
