update,stage,point_score,rel_l2,tke,mvpe,source_stage_a_update,elapsed_seconds
0,B,90.9340379051464,0.10046396404504776,0.4658931493759155,0.07299985736608505,,
500,B,91.05210517236077,0.0979795902967453,0.4606926441192627,0.07149612903594971,57000,209.32393300905824
1000,B,90.99154463866182,0.09724435955286026,0.46697700023651123,0.07166896015405655,57000,420.7361879199743
1500,B,90.97626369759128,0.09812133014202118,0.46671539545059204,0.07198189944028854,57000,635.2400195077062
2000,B,91.01196015266362,0.09719912707805634,0.46678832173347473,0.07053249329328537,57000,846.1611829679459
2500,B,91.0615336359515,0.09672150015830994,0.4645560085773468,0.06938505172729492,57000,1062.1359469853342
3000,B,90.96092589421626,0.09764083474874496,0.4657498896121979,0.07412200421094894,57000,1278.3608556762338
3500,B,91.02319236191892,0.09643064439296722,0.4668103754520416,0.07054398953914642,57000,1494.4340065866709
4000,B,90.92885867432665,0.09777391701936722,0.4753255546092987,0.06932305544614792,57000,1710.3562638424337
4500,B,90.97935140074385,0.09781264513731003,0.4641619324684143,0.07388938963413239,57000,1926.9536413606256
5000,B,91.0388499993545,0.09589065611362457,0.4681931138038635,0.06909134984016418,57000,2142.1218571327627
5500,B,91.07456712642282,0.09619425237178802,0.46495959162712097,0.06877724826335907,57000,2364.0526338405907
6000,B,91.07505933600653,0.0952393040060997,0.46676626801490784,0.06840461492538452,57000,2583.632845422253
