horizon,baseline_rel_l2,a1_rel_l2,delta_rel_l2_pct,baseline_mvpe,a1_mvpe,delta_mvpe_pct,baseline_fluctuation_rms,a1_fluctuation_rms,target_fluctuation_rms
1,0.15603438019752502,0.15598167479038239,0.03377807318869022,0.03996383026242256,0.0380144901573658,4.877760945976442,0.06086057797074318,0.06099911034107208,0.0648491382598877
2,0.14920540153980255,0.14960187673568726,-0.2657244253847871,0.02660166472196579,0.02629440650343895,1.1550337985920403,0.06308213621377945,0.063340924680233,0.06484415382146835
3,0.14587214589118958,0.1469169557094574,-0.7162503930306047,0.03612406179308891,0.03950953483581543,-9.371795071434104,0.06319038569927216,0.06345973163843155,0.06483808159828186
4,0.1513550579547882,0.15320591628551483,-1.2228585920660144,0.048338502645492554,0.05267065390944481,-8.96211307107217,0.06365780532360077,0.06393124163150787,0.06484305113554001
5,0.15464502573013306,0.15669667720794678,-1.3266844297947245,0.0548008531332016,0.058832768350839615,-7.3573949803990235,0.06399103254079819,0.06427879631519318,0.06484661251306534
6,0.1561225950717926,0.15815381705760956,-1.301042930322099,0.05752309784293175,0.06161913275718689,-7.120678593213925,0.0640464574098587,0.06434405595064163,0.06483472883701324
7,0.15607742965221405,0.15791180729866028,-1.1752997538040928,0.053441282361745834,0.057313330471515656,-7.2454251444787525,0.06395693868398666,0.06424811482429504,0.06483562290668488
8,0.15831048786640167,0.1601332277059555,-1.1513702371330221,0.054141800850629807,0.05795343592762947,-7.040096592862639,0.06401658803224564,0.0643090009689331,0.06482788920402527
9,0.16179674863815308,0.1636711061000824,-1.15846423225796,0.05801951885223389,0.06191450357437134,-6.713231683388021,0.06414671987295151,0.06443779915571213,0.06481289863586426
10,0.16462913155555725,0.16641098260879517,-1.082342496981827,0.061770010739564896,0.06557051092386246,-6.152662333703088,0.06431569159030914,0.06460539251565933,0.06482909619808197
11,0.16396422684192657,0.1654210090637207,-0.8884756448725686,0.05941390618681908,0.06269586831331253,-5.523895561038797,0.06414216011762619,0.06442417204380035,0.06483007967472076
12,0.16149680316448212,0.16267645359039307,-0.7304481592180454,0.05270398035645485,0.055389974266290665,-5.096377715059716,0.06391314417123795,0.06419103592634201,0.06483199447393417
13,0.16118116676807404,0.16243430972099304,-0.7774747993493385,0.050868481397628784,0.053504180163145065,-5.181398565672817,0.06401487439870834,0.06430482864379883,0.06485239416360855
14,0.16519096493721008,0.16671237349510193,-0.9209998612636839,0.0571376197040081,0.06008357182145119,-5.15588876943789,0.0646970346570015,0.06500110775232315,0.06482704728841782
15,0.16736376285552979,0.16868649423122406,-0.7903331958639523,0.05731890723109245,0.05975467711687088,-4.249505099527005,0.06493968516588211,0.06522096693515778,0.0648195743560791
16,0.16885600984096527,0.16957597434520721,-0.4263777788661665,0.045705631375312805,0.04580153152346611,-0.20982129612392586,0.06361529976129532,0.06382916867733002,0.06482063978910446
17,0.16964854300022125,0.17069070041179657,-0.6143037795343508,0.04891325160861015,0.049744103103876114,-1.6986224958303666,0.0634264275431633,0.06354217976331711,0.06481032073497772
18,0.16978304088115692,0.17004571855068207,-0.15471372650759213,0.03965693712234497,0.03881441801786423,2.124518849959344,0.06503560394048691,0.06503582745790482,0.06482525914907455
19,0.2433030903339386,0.24200184643268585,0.5348242389633284,0.13155077397823334,0.12973059713840485,1.3836306581743574,0.06792306154966354,0.06777799129486084,0.06483940780162811
20,0.29424986243247986,0.2934389114379883,0.27559944728186997,0.18698462843894958,0.1832071840763092,2.020189784677255,0.07478515803813934,0.07489010691642761,0.06484709680080414
