horizon,baseline_rel_l2,a1_rel_l2,delta_rel_l2_pct,baseline_mvpe,a1_mvpe,delta_mvpe_pct,baseline_fluctuation_rms,a1_fluctuation_rms,target_fluctuation_rms
1,0.15603438019752502,0.15582284331321716,0.13557068899820365,0.03996383026242256,0.03733701631426811,6.572978443020778,0.06086057797074318,0.061092816293239594,0.0648491382598877
2,0.14920540153980255,0.14933975040912628,-0.09004289920957795,0.02660166472196579,0.026216743513941765,1.4469816533932331,0.06308213621377945,0.06347695738077164,0.06484415382146835
3,0.14587214589118958,0.14684076607227325,-0.6640199711644759,0.03612406179308891,0.04007406532764435,-10.934549822166264,0.06319038569927216,0.06361480057239532,0.06483808159828186
4,0.1513550579547882,0.1531483232975006,-1.1848070140134166,0.048338502645492554,0.05335383117198944,-10.375432113151222,0.06365780532360077,0.06407736986875534,0.06484305113554001
5,0.15464502573013306,0.15664374828338623,-1.292458353455928,0.0548008531332016,0.05959417298436165,-8.746797863728826,0.06399103254079819,0.06441168487071991,0.06484661251306534
6,0.1561225950717926,0.15809400379657745,-1.2627312042041725,0.05752309784293175,0.06232587248086929,-8.349297617891931,0.0640464574098587,0.06446915119886398,0.06483472883701324
7,0.15607742965221405,0.15781928598880768,-1.116020644672962,0.053441282361745834,0.05799517408013344,-8.52129948447374,0.06395693868398666,0.06437196582555771,0.06483562290668488
8,0.15831048786640167,0.16003753244876862,-1.0909224054848454,0.054141800850629807,0.058616310358047485,-8.26442681462013,0.06401658803224564,0.06443234533071518,0.06482788920402527
9,0.16179674863815308,0.16359226405620575,-1.1097351665998034,0.05801951885223389,0.06257481127977371,-7.851310244646119,0.06414671987295151,0.06456300616264343,0.06481289863586426
10,0.16462913155555725,0.16636981070041656,-1.0573336130804336,0.061770010739564896,0.06623328477144241,-7.225632598147993,0.06431569159030914,0.06473278999328613,0.06482909619808197
11,0.16396422684192657,0.1654314547777176,-0.8948463723160357,0.05941390618681908,0.06338439881801605,-6.682766520538632,0.06414216011762619,0.06455052644014359,0.06483007967472076
12,0.16149680316448212,0.1627611219882965,-0.7828754495695509,0.05270398035645485,0.056126076728105545,-6.493051091219108,0.06391314417123795,0.0643199235200882,0.06483199447393417
13,0.16118116676807404,0.16259033977985382,-0.8742789496042456,0.050868481397628784,0.054345592856407166,-6.835492948174517,0.06401487439870834,0.06444311887025833,0.06485239416360855
14,0.16519096493721008,0.1670110821723938,-1.1018261415662483,0.0571376197040081,0.06108417361974716,-6.907102424258349,0.0646970346570015,0.06515300273895264,0.06482704728841782
15,0.16736376285552979,0.16907735168933868,-1.0238708813496786,0.05731890723109245,0.06080644577741623,-6.08444702594046,0.06493968516588211,0.06536881625652313,0.0648195743560791
16,0.16885600984096527,0.16993480920791626,-0.6388871607039875,0.045705631375312805,0.04655849561095238,-1.8659937735817687,0.06361529976129532,0.0639595314860344,0.06482063978910446
17,0.16964854300022125,0.1708356738090515,-0.6997589179582362,0.04891325160861015,0.05030960217118263,-2.8547490028789686,0.0634264275431633,0.0636456161737442,0.06481032073497772
18,0.16978304088115692,0.17000573873519897,-0.13116613584388273,0.03965693712234497,0.03887368366122246,1.9750730085536115,0.06503560394048691,0.06514694541692734,0.06482525914907455
19,0.2433030903339386,0.2421049028635025,0.4924670166710825,0.13155077397823334,0.12981903553009033,1.3164030858758324,0.06792306154966354,0.06794729828834534,0.06483940780162811
20,0.29424986243247986,0.2948841154575348,-0.2155491322278768,0.18698462843894958,0.18567585945129395,0.69993399916451,0.07478515803813934,0.07513511925935745,0.06484709680080414
