horizon,frame_rel_l2_a0,frame_rmse_a0,tke_contrib_rel_l2_a0,tke_contrib_ratio_a0,mvpe_probe_rel_l2_a0,frame_rel_l2_a0p5,frame_rmse_a0p5,tke_contrib_rel_l2_a0p5,tke_contrib_ratio_a0p5,mvpe_probe_rel_l2_a0p5,frame_rel_l2_a0p5_improvement_vs_base,frame_rmse_a0p5_improvement_vs_base,tke_contrib_rel_l2_a0p5_improvement_vs_base,mvpe_probe_rel_l2_a0p5_improvement_vs_base,tke_contrib_ratio_a0p5_delta_vs_base,frame_rel_l2_a1,frame_rmse_a1,tke_contrib_rel_l2_a1,tke_contrib_ratio_a1,mvpe_probe_rel_l2_a1,frame_rel_l2_a1_improvement_vs_base,frame_rmse_a1_improvement_vs_base,tke_contrib_rel_l2_a1_improvement_vs_base,mvpe_probe_rel_l2_a1_improvement_vs_base,tke_contrib_ratio_a1_delta_vs_base
1,0.08413563532088982,0.010612630231336453,0.7175480133067923,1.0506821851047352,0.09248268560495455,0.0661215184846179,0.008416464945431648,0.6329572310676487,0.9832902599647163,0.07438806807990243,0.21410805026391988,0.20693883024587778,0.11788867179676277,0.1956541098119099,-0.0673919251400189,0.054572531413354955,0.006991113615378652,0.6199880102798662,1.0582010155923247,0.061068722972083114,0.35137434684818636,0.34124590577596536,0.13596303134799947,0.3396739879187559,0.007518830487589501
2,0.0794216350499577,0.009920002610807253,0.7122898941966241,0.8602256154516222,0.08577451638008123,0.0673949148589435,0.0085301952670546,0.6550300257015343,0.8686026396384665,0.07202953129281112,0.1514287660213639,0.1401015098764733,0.0803884330826733,0.1602455562251588,0.008377024186844273,0.06223757453049996,0.007976801542732687,0.6576939059372805,1.0062597611766781,0.06471831434199249,0.2163649805074982,0.19588715288820224,0.07664855096803136,0.24548319159020593,0.1460341457250559
3,0.08190962965204025,0.010350273795378995,0.7466873798337786,1.0777656592501657,0.09696315191086509,0.07225097656179295,0.009198740159600788,0.6816038742353225,0.9219363007949078,0.07673887633059992,0.11791840753374372,0.11125634534347528,0.08716299130828276,0.20857692001242545,-0.1558293584552578,0.06788115131782108,0.008713236449534584,0.6740009444469712,0.8972998891129947,0.06381530286673785,0.17126775439973863,0.15816367549381027,0.09734520409731351,0.3418602674405523,-0.1804657701371709
4,0.07690297937251114,0.009757193203083471,0.7082526745109415,0.7817896438691812,0.06654318813589467,0.07369134596316594,0.009449012352193066,0.7010349639416581,0.7631728076217013,0.06342630260358002,0.04176214544027401,0.03158499011713878,0.010190869486327525,0.04684003907280998,-0.018616836247479895,0.07354311193248257,0.009493407115161312,0.7063326912771033,0.8040997753157125,0.06295543308745775,0.04368969144555079,0.027035037887616853,0.0027108732560227056,0.05391618810192855,0.022310131446531378
5,0.07909733241108433,0.010133138412891934,0.7322937250898912,0.7243544925223226,0.06548101036587037,0.07669474678877054,0.009889585702279217,0.7297998117296766,0.7215272063086436,0.06322706359299604,0.030375052471138697,0.024035269300462403,0.003405618913242092,0.03442138049307064,-0.0028272862136790033,0.07638395406120768,0.009887163221988128,0.7371931768935068,0.7568614346874193,0.06257354079756385,0.034304296582022276,0.024274334454058466,-0.006690555491260186,0.04440172123278563,0.03250694216509664
6,0.08139362592096962,0.010471090358075051,0.7511688250697397,0.6978215910774977,0.06635823204881891,0.07933388061030744,0.01025663907972271,0.7515733788060169,0.7036221218760408,0.06432836720408851,0.025305978046267663,0.0204803197201866,-0.0005385656629715019,0.03058949556156132,0.0058005307985430354,0.07902462454338408,0.010242425576376411,0.7598426270606365,0.7374101221722705,0.06377761356098785,0.029105490150859725,0.021837724045834395,-0.011547073975136657,0.0388891989456942,0.03958853109477278
7,0.08621016417873822,0.011002155927535801,0.7702900827630602,0.7481464592534361,0.07675964366601133,0.0829430543201012,0.010692822927170095,0.770064707278165,0.7172372425172336,0.07023756476085904,0.0378970378929262,0.02811567136505655,0.0002925852090510661,0.08496755057293504,-0.030909216736202505,0.08169976455176733,0.010590557018284014,0.7778758002081889,0.7270716985730429,0.06664749704475355,0.052318652561889833,0.037410750398624404,-0.009847871100609806,0.13173780046786976,-0.021074760680393267
8,0.08800942697661357,0.011254984556697909,0.7805999683693546,0.7357518905315498,0.0793874298568183,0.0853367332469462,0.010996195931755383,0.7810297671864562,0.7146911559041076,0.07414434744154003,0.030368266462836746,0.022993245671627305,-0.0005506006078881409,0.06604423930507142,-0.02106073462744218,0.08415996366851813,0.01089719493954706,0.7888729271849277,0.7216637035552824,0.07079122152852722,0.04373921567650174,0.03178943652463084,-0.010598205419934947,0.10828173104728345,-0.014088186976267347
9,0.08874692167899365,0.011354596948344037,0.7828062484346332,0.7010091264755777,0.07706441283448488,0.08684339745037845,0.011176306144033709,0.7844173333464013,0.7003381691939383,0.07453141367121796,0.021448904284257164,0.015702081291078307,-0.002058088977942907,0.032868597451162995,-0.0006709572816393505,0.08613888247301998,0.011126911876414885,0.7919484396277381,0.7206970375560718,0.07311374372776855,0.029387376560588763,0.020052237253772143,-0.011678740699101908,0.05126450668223981,0.01968791108049417
10,0.09028357039204883,0.01155063475678533,0.7886526205220876,0.6926618098056342,0.07710852039386219,0.08858843242668968,0.011390947990148143,0.788932612259363,0.6968305938754923,0.0758841437107479,0.01877570811608531,0.013824934300115443,-0.00035502543197019065,0.015878617263828998,0.0041687840698581,0.08798985731637195,0.011350883247470089,0.7953414303455998,0.720802980728603,0.07544233831392183,0.025405653162769548,0.017293552564104586,-0.008481313127551848,0.021608274564596464,0.02814117092296886
