variant,horizon,frame_rel_l2,frame_rmse,tke_contrib_rel_l2,tke_contrib_ratio,mvpe_probe_rel_l2,frame_rel_l2_improvement_vs_base,frame_rmse_improvement_vs_base,tke_contrib_rel_l2_improvement_vs_base,mvpe_probe_rel_l2_improvement_vs_base,tke_contrib_ratio_delta_vs_base
base,1,0.08413563532088982,0.010612630231336453,0.7175480133067923,1.0506821851047352,0.09248268560495455,0.0,0.0,0.0,0.0,0.0
corrected,1,0.04473721792543632,0.005970114746526471,0.6477532135810725,1.2311776937320462,0.046352481424896265,0.46827265575626276,0.4374519213061613,0.09726847323299403,0.4987982764374542,0.180495508627311
spatial_tke_map,1,0.056261107929147534,0.007233292508130598,0.7065795067697408,1.4624867692522314,0.06278433058757332,0.331304652130218,0.3184260310160918,0.015286094217589086,0.32112340621507873,0.4118045841474962
window_energy,1,0.05007910477593246,0.0065719827302236165,0.7882354342922997,1.4622673467100138,0.051749200666461895,0.4047812845896648,0.3807394974698931,-0.09851246143062564,0.44044444289267537,0.4115851616052786
base,2,0.0794216350499577,0.009920002610807253,0.7122898941966241,0.8602256154516222,0.08577451638008123,0.0,0.0,0.0,0.0,0.0
corrected,2,0.05271527808949014,0.006974382927894009,0.6587409720948126,1.1225830172540012,0.05076942418155745,0.33626047793738767,0.29693738988578144,0.07517855094969184,0.40810596988283043,0.262357401802379
spatial_tke_map,2,0.06033605151585034,0.00781509497288408,0.6864543395190469,1.2990417045244038,0.06361484721372622,0.24030710929209864,0.2121882141069198,0.036271123440150155,0.258347934812734,0.4388160890727816
window_energy,2,0.05639481247371329,0.007404677884172232,0.7696626872894408,1.33050892832128,0.05499873622953159,0.28993135890189237,0.2535608936125404,-0.0805469704965085,0.35879864380904236,0.47028331286965785
base,3,0.08190962965204025,0.010350273795378995,0.7466873798337786,1.0777656592501657,0.09696315191086509,0.0,0.0,0.0,0.0,0.0
corrected,3,0.06021286577095317,0.007940161895855679,0.6773485776763614,1.002782910494233,0.05568943731720679,0.26488660702358147,0.2328548932299105,0.09286189110743093,0.42566391232413536,-0.0749827487559327
spatial_tke_map,3,0.06561394322682933,0.008542742765905624,0.6920511824429386,1.1517091624972404,0.06544485778579742,0.19894713838209888,0.17463605941326543,0.07317144881034776,0.32505434800677024,0.07394350324707477
window_energy,3,0.06280851149075824,0.00826604965520323,0.756855614801892,1.1831623660389665,0.058750563551099096,0.2331974670429514,0.20136898611380627,-0.013617794063128352,0.3940939171912803,0.10539670678880086
base,4,0.07690297937251114,0.009757193203083471,0.7082526745109415,0.7817896438691812,0.06654318813589467,0.0,0.0,0.0,0.0,0.0
corrected,4,0.06748462191851959,0.008857095805454681,0.6921255903554046,0.8389323867698457,0.059031077997837716,0.12247064458153012,0.0922496233183474,0.02277024109605086,0.11289074582233283,0.05714274290066457
spatial_tke_map,4,0.07145189035931218,0.009299472408485797,0.6962682905745314,0.9681349248462028,0.06648197491990306,0.07088267655787917,0.046911113172692476,0.01692105708557401,0.000919902062200717,0.18634528097702163
window_energy,4,0.06924904623937204,0.009083128093177267,0.7343807410884929,0.9846177379636943,0.061178832132086476,0.09952713400171576,0.06908391541259895,-0.03689088303915433,0.08061465274030899,0.2028280940945132
base,5,0.07909733241108433,0.010133138412891934,0.7322937250898912,0.7243544925223226,0.06548101036587037,0.0,0.0,0.0,0.0,0.0
corrected,5,0.07147429574619002,0.009390432522668926,0.7157872525663077,0.7712897588998611,0.06061563438779581,0.09637539513059545,0.07329475429626986,0.022540781052790337,0.07430209080296135,0.04693526637753842
spatial_tke_map,5,0.07474912877253904,0.009765914681434331,0.7154341120609398,0.8906764385993882,0.06629197594065687,0.05497282279946958,0.036239881120186834,0.02302301993217526,-0.012384744374823953,0.16632194607706552
window_energy,5,0.0729715820520428,0.00959226550620314,0.7455366409654146,0.9030376770595921,0.062243665998400116,0.07744572632620284,0.053376642521794304,-0.01808415861258106,0.049439438233799815,0.1786831845372695
base,6,0.08139362592096962,0.010471090358075051,0.7511688250697397,0.6978215910774977,0.06635823204881891,0.0,0.0,0.0,0.0,0.0
corrected,6,0.07482055103253235,0.009840649804978134,0.7381203411244833,0.7380112761011592,0.06211916511767607,0.08075662945424611,0.06020772732714852,0.017370907191262774,0.0638815532038921,0.04018968502366149
