update,role,filename,runtime_path,size_bytes,sha256,metadata
0,backbone_initial,model_update_057000.pth,/hy-tmp/realpde_runs/sota_merge_clean_stage_a_4090_restore_20260926/checkpoints/model_update_057000.pth,95927007,1bdde38d902c2bec516570cadb8703797457c7db9c3fda67eb9a911021d1b873,Stage-A iteration=57000; stage=A; scope=clean; feature_set=P0-A
0,corrector_warm_start,corrector_tmr02_update_30000.pth,/hy-tmp/realpde_assets/joint_training_v1/corrector_tmr02_update_30000.pth,6202258,1f72b329d9a160b206a6e9f4fce5e780022b3bac7a9ce4bdf5b8c9efa30b4506,ResidualCorrector3D; in_channels=42; hidden=64; blocks=2; max_delta=0.04; updates=30000; warm_start_cross_backbone
1000,backbone_joint,backbone_joint_001000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/backbone_joint_001000.pth,32072803,b8e447031e3b18946682c1001f7afc02c8279a1091d476371c5a763800d30947,protocol=REALPDE_SOTA_MERGE_JOINT_V1; source_stage_a_update=57000; scope=clean; feature_set=P0-A; joint_update=1000
1000,corrector_joint,corrector_joint_001000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/corrector_joint_001000.pth,2067869,74294d3f3c7010e73ae2ce6d4bdb97b28bf5e08166e6888b44fd7ff02e6b9441,protocol=REALPDE_SOTA_MERGE_JOINT_V1; in_channels=42; hidden=64; blocks=2; max_delta=0.04; joint_update=1000
2000,backbone_joint,backbone_joint_002000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/backbone_joint_002000.pth,32072803,b3157454933537852b9bb6455f2dddbafbcb12610e151c42957ad7af6ede6839,protocol=REALPDE_SOTA_MERGE_JOINT_V1; source_stage_a_update=57000; scope=clean; feature_set=P0-A; joint_update=2000
2000,corrector_joint,corrector_joint_002000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/corrector_joint_002000.pth,2067869,61ae6c61565fbb41f99a4a07e7ae6c8d69573ec8fc83b855fb1b5a10a9e25f07,protocol=REALPDE_SOTA_MERGE_JOINT_V1; in_channels=42; hidden=64; blocks=2; max_delta=0.04; joint_update=2000
3000,backbone_joint,backbone_joint_003000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/backbone_joint_003000.pth,32072803,9d63d3485d513bd31be3651ea31c1e8d5d72ff6433ada1803a00d57ea5b44247,protocol=REALPDE_SOTA_MERGE_JOINT_V1; source_stage_a_update=57000; scope=clean; feature_set=P0-A; joint_update=3000
3000,corrector_joint,corrector_joint_003000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/corrector_joint_003000.pth,2067869,9812f8f1423223fdc38b57b3e14ab13931076b024bde3fc23897765a5a8a3be8,protocol=REALPDE_SOTA_MERGE_JOINT_V1; in_channels=42; hidden=64; blocks=2; max_delta=0.04; joint_update=3000
4000,backbone_joint,backbone_joint_004000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/backbone_joint_004000.pth,32072803,e41d7d4a4656376483ec2ceaf5e63477944fedd686fd28021694f4c97ccaf78f,protocol=REALPDE_SOTA_MERGE_JOINT_V1; source_stage_a_update=57000; scope=clean; feature_set=P0-A; joint_update=4000
4000,corrector_joint,corrector_joint_004000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/corrector_joint_004000.pth,2067869,a6ef1f83fef97bb18e1271350fac3a7e2eb60f61196e7ff635928772cf8a9e87,protocol=REALPDE_SOTA_MERGE_JOINT_V1; in_channels=42; hidden=64; blocks=2; max_delta=0.04; joint_update=4000
5000,backbone_joint,backbone_joint_005000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/backbone_joint_005000.pth,32072803,0744459d6c85135a483437afa18ae03ddbbf805614f08f5d6063ac95c6456cd3,protocol=REALPDE_SOTA_MERGE_JOINT_V1; source_stage_a_update=57000; scope=clean; feature_set=P0-A; joint_update=5000
5000,corrector_joint,corrector_joint_005000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/corrector_joint_005000.pth,2067869,4aed4000b0246b9e831af4186c9adcf4a6ed47fc524847c0d7aea7032b52468e,protocol=REALPDE_SOTA_MERGE_JOINT_V1; in_channels=42; hidden=64; blocks=2; max_delta=0.04; joint_update=5000
6000,backbone_joint,backbone_joint_006000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/backbone_joint_006000.pth,32072803,ca9d3efbcbe10a5b0190875c6bc749386002678e33b86d7ecda0fba55c306d86,protocol=REALPDE_SOTA_MERGE_JOINT_V1; source_stage_a_update=57000; scope=clean; feature_set=P0-A; joint_update=6000
6000,corrector_joint,corrector_joint_006000.pth,/hy-tmp/realpde_runs/realpde_joint_training_v1_4090_20260926_run2/checkpoints/corrector_joint_006000.pth,2067869,a98b4eb048e193a6337d267fe54ead8645d77ddcfaad18321f0f6c07c76ebec8,protocol=REALPDE_SOTA_MERGE_JOINT_V1; in_channels=42; hidden=64; blocks=2; max_delta=0.04; joint_update=6000
