model,floor,mult,sps,coverage,mean_width_uv,rel_l2,tke,mvpe
base,0.0025,1,41.496071517256304,0.836393674563746,0.026035096496343613,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,1,40.96016601137672,0.90143193210784,0.031035006046295166,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,0.5,40.79374480868923,0.7649603594222966,0.020517541095614433,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,0.5,40.710455224654865,0.8370221782643393,0.02551756054162979,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0025,1.5,40.351800160549715,0.9395046391363739,0.03655257448554039,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,1.5,40.3287713789591,0.870177267665288,0.03155265375971794,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,2,39.24028865054656,0.9540261624475764,0.04207015037536621,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,1,38.65128255881272,0.9324169317755742,0.03603505343198776,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,1.5,37.86027553185713,0.9635322422954584,0.041552573442459106,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0025,2,37.01928765058435,0.9786288348541279,0.047070182859897614,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0025,0.5,36.54825279121014,0.6284422530321992,0.015517503023147583,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,2.5,36.22242737822658,0.9840273419606012,0.05258761718869209,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,1,35.989777313086506,0.6806688691658858,0.021035075187683105,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,1.5,34.9869488743666,0.9747371834456686,0.04655257984995842,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,2,34.138469104346,0.9865487724927839,0.052070192992687225,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0025,2.5,33.469810027415285,0.9919352702368159,0.05758766457438469,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,3,32.96094820159823,0.9939827738364319,0.06310530751943588,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,2,31.338278060491444,0.9904214931909799,0.057070158421993256,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,2.5,30.704910640379186,0.9946000097475648,0.06258774548768997,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0025,3,30.255678677765008,0.9965349384488246,0.0681050568819046,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,2.5,28.129713348286334,0.9960110995347907,0.0675877034664154,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,3,27.713255567573842,0.9975370095385648,0.07310514897108078,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,4,27.2971239627707,0.9986840787453277,0.08414030075073242,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,3,25.373108240727614,0.9981256742906823,0.07810525596141815,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0025,4,24.991820734325827,0.9990782659831946,0.08914051204919815,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0,0.5,22.940218443106147,0.3735126569410469,0.010517537593841553,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.005,4,22.875896141803352,0.999301108663966,0.09414036571979523,0.11284460127353668,0.5001028180122375,0.08728255331516266
base,0.0075,4,20.93725569938005,0.9994460861817391,0.09914036840200424,0.11284460127353668,0.5001028180122375,0.08728255331516266
