trajectory,candidate_sps,baseline_sps,delta_sps,candidate_coverage,baseline_coverage,candidate_mean_width_uv,baseline_mean_width_uv,prediction_parity_max_abs
10125_0.h5,55.06092669585313,54.882077066856894,0.17884962899623247,0.8903860443147626,0.8836590921331263,0.01437437254935503,0.014177818782627583,0.0
3750_0.h5,63.50631578591583,63.622249094445095,-0.11593330852926442,0.9748939142352601,0.9733589652354973,0.011118088848888874,0.010934778489172459,0.0
26700_0.h5,39.75340859122407,39.84084000669554,-0.08743141547146394,0.8467170668291232,0.8118650780300969,0.03180408105254173,0.028235143050551414,0.0
13950_5.h5,49.746437365974145,49.29736322585742,0.4490741401167284,0.8699167078211124,0.8498775309984123,0.01762191206216812,0.016856320202350616,0.0
20325_5.h5,46.78884289151329,46.54322730492771,0.24561558658557914,0.8822157786162335,0.8523035017107905,0.0231167022138834,0.021358471363782883,0.0
8850_5.h5,56.270960679949326,56.25838680431055,0.012573875638778986,0.9249931946619527,0.921894020420673,0.014216533862054348,0.01404542475938797,0.0
8850_10.h5,51.15916086622521,51.12372942255827,0.03543144366693696,0.9067938098094379,0.8947211001088249,0.016991721466183662,0.01627788506448269,0.0
11400_10.h5,48.52836137144097,48.352263834172085,0.17609753726888755,0.8867687102163931,0.86379454965191,0.019690928980708122,0.018366588279604912,0.0
24150_10.h5,33.39867111259786,33.45871928769692,-0.06004817509906246,0.8160685863531155,0.7714475544012631,0.039618682116270065,0.034811366349458694,0.0
16500_10.h5,43.79384064659455,43.531436064639095,0.2624045819554581,0.8594972830592782,0.8253913621343754,0.024576356634497643,0.022388532757759094,0.0
22875_15.h5,30.508962889901532,30.77087305206395,-0.2619101621624189,0.7896103193528277,0.7544705257020805,0.04138140752911568,0.03711385279893875,0.0
11400_15.h5,45.08777402012532,44.939942921725645,0.14783109839967778,0.8685349455063781,0.840904622580253,0.021885350346565247,0.020164376124739647,0.0
25425_15.h5,26.411988014266523,26.764889996097597,-0.35290198183107435,0.7579988633595843,0.7380862222943899,0.04767388850450516,0.04417978599667549,0.0
20325_20.h5,32.59803500172941,33.05149741043293,-0.4534624087035226,0.8218186349160677,0.7881416260830035,0.040373172610998154,0.03577999398112297,0.0
8850_20.h5,42.16340624105083,42.03509635306265,0.12830988798818055,0.8612241052629621,0.836415114103261,0.02245674841105938,0.020863696932792664,0.0
3750_20.h5,49.901257257268924,49.98306784751962,-0.08181059025069715,0.923395787192955,0.9225325197644846,0.01443459466099739,0.014308547601103783,0.0
