horizon,coverage,mean_width_uv,mae_uv,sigma_mean
1,0.8457353560081563,0.021746255457401276,0.007015019189566374,0.00837312825024128
2,0.8649883820182094,0.021101228892803192,0.006381348706781864,0.008050615899264812
3,0.8601796637898331,0.02159598283469677,0.006641464773565531,0.00829798262566328
4,0.8810931424269727,0.020270468667149544,0.005890938453376293,0.007635229267179966
5,0.8829855101242413,0.02073962613940239,0.0060297055169939995,0.007869815453886986
6,0.8822901353850531,0.02083428017795086,0.0061439648270606995,0.007917143404483795
7,0.8741556957748483,0.02105763368308544,0.006418662145733833,0.008028819225728512
8,0.8738259762661229,0.02139030396938324,0.006545894779264927,0.00819514598697424
9,0.8749703622913505,0.02167012356221676,0.006609577219933271,0.008335060440003872
10,0.8751681939965857,0.021931158378720284,0.006702040322124958,0.008465578779578209
11,0.8745276490183991,0.02223650924861431,0.006816653534770012,0.00861825980246067
12,0.8734758808327011,0.022566454485058784,0.006943167187273502,0.008783224038779736
13,0.8721462591284143,0.023001018911600113,0.007100715767592192,0.009000510908663273
14,0.871550911655918,0.023699672892689705,0.007376690395176411,0.009349836967885494
15,0.8694581189539075,0.0247234757989645,0.007811500690877438,0.009861735627055168
16,0.864943184512519,0.025992726907134056,0.00811814982444048,0.010496372357010841
17,0.8638421436361912,0.026677599176764488,0.008265877142548561,0.010838799178600311
18,0.8618930938211306,0.02661241590976715,0.008349764160811901,0.010806209407746792
19,0.8457138686693855,0.028850700706243515,0.009508442133665085,0.011925349943339825
20,0.8330381911513657,0.03671764209866524,0.013155683875083923,0.015858815982937813
