step,constrained_best_sps,gain_vs_static_sps,mean_width_uv,width_ratio,coverage,floor,mult_u,mult_v,rel
500,48.525915405,3.208209947,0.018933972,1.167387764,0.846985239,0.0025,1.0,1.5,0.0075
1000,48.755944833,3.438239376,0.019075176,1.176093762,0.851781308,0.0025,1.0,1.5,0.0075
1500,48.957312630,3.639607172,0.019267421,1.187946796,0.857195496,0.0025,1.0,1.5,0.0075
2000,49.041228056,3.723522599,0.018977039,1.170043043,0.854617226,0.0025,1.0,1.5,0.0075
2500,49.121209963,3.803504506,0.018851575,1.162307466,0.852928870,0.0025,1.0,1.25,0.0075
3000,49.292972705,3.975267248,0.019333867,1.192043581,0.859485499,0.0025,1.25,1.25,0.005
3500,49.307094876,3.989389418,0.019403264,1.196322276,0.859869921,0.0025,1.25,1.25,0.005
4000,49.336225225,4.018519768,0.019411843,1.196851242,0.865031806,0.0025,1.0,1.5,0.0075
4500,49.304547127,3.986841670,0.019432217,1.198107392,0.858129820,0.0025,1.25,1.25,0.0025
5000,49.341143278,4.023437821,0.019392680,1.195669740,0.864484811,0.0025,1.0,1.5,0.0075
